# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.440
metadata : {}


# id : NWRW1800000054.440.1.1
[정치 인사이드] 막 내리는 개헌특위, 내년 선거 주판알 튕기느라 합의 못봐

[정치	[/SS+정치/NNG
인사이드]	인사이드/NNG+]/SS
막	막/NNG
내리는	내리/VV+는/ETM
개헌특위,	개헌/NNG+특위/NNG+,/SP
내년	내년/NNG
선거	선거/NNG
주판알	주판알/NNG
튕기느라	튕기/VV+느라/EC
합의	합의/NNG
못봐	못/MAG+보/VV+아/EF


# id : NWRW1800000054.440.2.1
與 "지방선거때 개헌 투표도 해야" 野 "시한 못박지말고 추진하자"… 특위 종료 이틀 앞두고도 평행선

與	與/SH
"지방선거때	"/SS+지방/NNG+선거/NNG+때/NNG
개헌	개헌/NNG
투표도	투표/NNG+도/JX
해야"	하/VV+아야/EC+"/SS
野	野/SH
"시한	"/SS+시한/NNG
못박지말고	못/NNG+박/VV+지/EC+말/VX+고/EC
추진하자"…	추진/NNG+하/XSV+자/EC+"/SS+…/SE
특위	특위/NNG
종료	종료/NNG
이틀	이틀/NNG
앞두고도	앞두/VV+고/EC+도/JX
평행선	평행선/NNG


# id : NWRW1800000054.440.3.1
국회 개헌특위가 1년간의 활동을 마치고 12월 31일로 종료된다.

국회	국회/NNG
개헌특위가	개헌/NNG+특위/NNG+가/JKS
1년간의	1/SN+년/NNB+간/XSN+의/JKG
활동을	활동/NNG+을/JKO
마치고	마치/VV+고/EC
12월	12/SN+월/NNB
31일로	31/SN+일/NNB+로/JKB
종료된다.	종료/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.440.3.2
하지만 여야는 28일까지도 개헌안을 마련하지 못했고 개헌특위 연장 여부를 놓고 싸웠다.

하지만	하지만/MAJ
여야는	여야/NNG+는/JX
28일까지도	28/SN+일/NNB+까지/JX+도/JX
개헌안을	개헌안/NNG+을/JKO
마련하지	마련/NNG+하/XSV+지/EC
못했고	못하/VX+았/EP+고/EC
개헌특위	개헌/NNG+특위/NNG
연장	연장/NNG
여부를	여부/NNG+를/JKO
놓고	놓/VV+고/EC
싸웠다.	싸우/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.440.3.3
이 때문에 국회는 파행했고 연내 처리가 시급한 법안들은 표류 중이다.

이	이/MMD
때문에	때문/NNB+에/JKB
국회는	국회/NNG+는/JX
파행했고	파행/NNG+하/XSV+았/EP+고/EC
연내	연내/NNG
처리가	처리/NNG+가/JKS
시급한	시급하/VA+ㄴ/ETM
법안들은	법안/NNG+들/XSN+은/JX
표류	표류/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.440.3.4
민주당은 "국회에서 개헌안 합의가 안 되면 대통령이 개헌안을 발의해 내년 6월 지방선거 때 개헌 국민투표를 같이 하자"고 하고 있다.

민주당은	민주당/NNP+은/JX
"국회에서	"/SS+국회/NNG+에서/JKB
개헌안	개헌안/NNG
합의가	합의/NNG+가/JKC
안	안/MAG
되면	되/VV+면/EC
대통령이	대통령/NNG+이/JKS
개헌안을	개헌안/NNG+을/JKO
발의해	발의/NNG+하/XSV+아/EC
내년	내년/NNG
6월	6/SN+월/NNB
지방선거	지방/NNG+선거/NNG
때	때/NNG
개헌	개헌/NNG
국민투표를	국민/NNG+투표/NNG+를/JKO
같이	같이/MAG
하자"고	하/VV+자/EF+"/SS+고/JKQ
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.440.3.5
이에 대해 자유한국당은 "개헌이 국가 대계인데 시간이 더 걸리더라도 국회가 합의해 개헌안을 내야 한다"고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
자유한국당은	자유한국당/NNP+은/JX
"개헌이	"/SS+개헌/NNG+이/JKS
국가	국가/NNG
대계인데	대계/NNG+이/VCP+ㄴ데/EC
시간이	시간/NNG+이/JKS
더	더/MAG
걸리더라도	걸리/VV+더라도/EC
국회가	국회/NNG+가/JKS
합의해	합의/NNG+하/XSV+아/EC
개헌안을	개헌안/NNG+을/JKO
내야	내/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.440.3.6
그러나 정치권 관계자들은 "실제로는 내년 선거 유불리를 따져 움직이는 것"이라고 하고 있다.

그러나	그러나/MAJ
정치권	정치/NNG+권/XSN
관계자들은	관계자/NNG+들/XSN+은/JX
"실제로는	"/SS+실제로/MAG+는/JX
내년	내년/NNG
선거	선거/NNG
유불리를	유불리/NNG+를/JKO
따져	따지/VV+어/EC
움직이는	움직이/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.440.4.1
민주당 우원식, 한국당 김성태 원내대표는 전날에 이어 이날도 만나 연내 본회의 개최 협상을 이어갔지만 합의에 실패했다.

민주당	민주당/NNP
우원식,	우원식/NNP+,/SP
한국당	한국당/NNP
김성태	김성태/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
전날에	전날/NNG+에/JKB
이어	잇/VV+어/EC
이날도	이날/NNG+도/JX
만나	만나/VV+아/EC
