# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.106
metadata : {}


# id : NWRW1800000041.106.1.1
[2015 대학가는길]건국대(서울캠), 수능으로 100% 선발하는 가군 모집인원 늘려

[2015	[/SS+2015/SN
대학가는길]건국대(서울캠),	대학/NNG+가/VV+는/ETM+길/NNG+]/SS+건국대/NNP+(/SS+서울캠/NNP+)/SS+,/SP
수능으로	수능/NNG+으로/JKB
100%	100/SN+%/SW
선발하는	선발/NNG+하/XSV+는/ETM
가군	가군/NNG
모집인원	모집/NNG+인원/NNG
늘려	늘리/VV+어/EF


# id : NWRW1800000041.106.2.1
enter.konkuk.ac.kr

enter.konkuk.ac.kr	enter/SL+./SP+konkuk/SL+./SP+ac/SL+./SP+kr/SL


# id : NWRW1800000041.106.3.1
건국대 서울캠퍼스는 2015학년도 정시모집에서 모집정원의 1531명을 선발한다.

건국대	건국대/NNP
서울캠퍼스는	서울/NNP+캠퍼스/NNG+는/JX
2015학년도	2015/SN+학년도/NNG
정시모집에서	정시/NNG+모집/NNG+에서/JKB
모집정원의	모집/NNG+정원/NNG+의/JKG
1531명을	1531/SN+명/NNB+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.106.3.2
가군 498명, 나군 824명, 다군 209명 규모다.

가군	가군/NNG
498명,	498/SN+명/NNB+,/SP
나군	나군/NNG
824명,	824/SN+명/NNB+,/SP
다군	다군/NNG
209명	209/SN+명/NNB
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.106.3.3
이공계 우수학과 등 ‘가’군 모집인원이 지난해에 비해 크게 늘어난 것이 특징이다.

이공계	이공/NNG+계/XSN
우수학과	우수/NNG+학과/NNG
등	등/NNB
‘가’군	‘/SS+가/NNG+’/SS+군/NNG
모집인원이	모집/NNG+인원/NNG+이/JKS
지난해에	지난해/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
크게	크/VA+게/EC
늘어난	늘어나/VV+ㄴ/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.106.4.1
가군의 전체 모집단위는 수능 100%를 활용한다.

가군의	가군/NNG+의/JKG
전체	전체/NNG
모집단위는	모집/NNG+단위/NNG+는/JX
수능	수능/NNG
100%를	100/SN+%/SW+를/JKO
활용한다.	활용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.106.4.2
나군에서는 인문계, 자연계 응시자의 경우 수능 100%를 반영하며 예체능계에서는 수능과 실기고사, 학생부 등을 모집단위별로 각각 달리 반영한다.

나군에서는	나군/NNG+에서/JKB+는/JX
인문계,	인문/NNG+계/XSN+,/SP
자연계	자연/NNG+계/XSN
응시자의	응시자/NNG+의/JKG
경우	경우/NNG
수능	수능/NNG
100%를	100/SN+%/SW+를/JKO
반영하며	반영/NNG+하/XSV+며/EC
예체능계에서는	예체능/NNG+계/XSN+에서/JKB+는/JX
수능과	수능/NNG+과/JC
실기고사,	실기/NNG+고사/NNG+,/SP
학생부	학생부/NNG
등을	등/NNB+을/JKO
모집단위별로	모집/NNG+단위/NNG+별/XSN+로/JKB
각각	각각/MAG
달리	달리/MAG
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.106.5.1
다군은 인문계, 자연계와 영화학과(연출·제작), 영상학과(인문계)는 학생부 30%, 수능 70%를 반영한다.

다군은	다군/NNG+은/JX
인문계,	인문/NNG+계/XSN+,/SP
자연계와	자연/NNG+계/XSN+와/JC
영화학과(연출·제작),	영화학/NNG+과/NNG+(/SS+연출/NNG+·/SP+제작/NNG+)/SS+,/SP
영상학과(인문계)는	영상학/NNG+과/NNG+(/SS+인문/NNG+계/XSN+)/SS+는/JX
학생부	학생부/NNG
30%,	30/SN+%/SW+,/SP
수능	수능/NNG
70%를	70/SN+%/SW+를/JKO
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.106.6.1
나군은 예년과 비슷하게 대체로 인문계 모집단위가 포진해 있으며 일부 자연계 모집단위를 선발한다.

나군은	나군/NNG+은/JX
예년과	예년/NNG+과/JKB
비슷하게	비슷하/VA+게/EC
대체로	대체로/MAG
인문계	인문/NNG+계/XSN
모집단위가	모집/NNG+단위/NNG+가/JKS
포진해	포진/NNG+하/XSV+아/EC
있으며	있/VX+으며/EC
일부	일부/NNG
자연계	자연/NNG+계/XSN
모집단위를	모집/NNG+단위/NNG+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.106.6.2
