# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.173
metadata : {}


# id : NWRW1800000028.173.1.1
무서운 스님

무서운	무섭/VA+ㄴ/ETM
스님	스님/NNG


# id : NWRW1800000028.173.2.1
전남 여수경찰서는 30일 유흥주점 여종업원을 살해해 암매장한 혐의로 여수시의 한 사찰 승려 조아무개(42)씨의 구속영장을 신청했다.

전남	전남/NNP
여수경찰서는	여수경찰서/NNP+는/JX
30일	30/SN+일/NNB
유흥주점	유흥/NNG+주점/NNG
여종업원을	여종업원/NNG+을/JKO
살해해	살해/NNG+하/XSV+아/EC
암매장한	암매장/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
여수시의	여수시/NNP+의/JKG
한	한/MMN
사찰	사찰/NNG
승려	승려/NNG
조아무개(42)씨의	조/NNP+아무개/NP+(/SS+42/SN+)/SS+씨/NNB+의/JKG
구속영장을	구속/NNG+영장/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.173.3.1
조씨는 지난 25일 오전 10시께 여수 시내 사찰인 ㅇ사 방에서 유흥주점 종업원 주아무개(45)씨를 흉기로 찔러 살해한 혐의를 받고 있다.

조씨는	조/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
오전	오전/NNG
10시께	10/SN+시/NNB+께/XSN
여수	여수/NNP
시내	시내/NNG
사찰인	사찰/NNG+이/VCP+ㄴ/ETM
ㅇ사	ㅇ/NNG+사/NNG
방에서	방/NNG+에서/JKB
유흥주점	유흥/NNG+주점/NNG
종업원	종업원/NNG
주아무개(45)씨를	주/NNP+아무개/NP+(/SS+45/SN+)/SS+씨/NNB+를/JKO
흉기로	흉기/NNG+로/JKB
찔러	찌르/VV+어/EC
살해한	살해/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.173.3.2
조씨는 주씨의 주검을 방에 그대로 두었다가 밤이 되자 흉기로 토막 낸 뒤 사찰 인근 야산에 암매장한 혐의도 받고 있다.

조씨는	조/NNP+씨/NNB+는/JX
주씨의	주/NNP+씨/NNB+의/JKG
주검을	주검/NNG+을/JKO
방에	방/NNG+에/JKB
그대로	그대로/MAG
두었다가	두/VX+었/EP+다가/EC
밤이	밤/NNG+이/JKC
되자	되/VV+자/EC
흉기로	흉기/NNG+로/JKB
토막	토막/NNG
낸	내/VV+ㄴ/ETM
뒤	뒤/NNG
사찰	사찰/NNG
인근	인근/NNG
야산에	야산/NNG+에/JKB
암매장한	암매장/NNG+하/XSV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.173.3.3
경찰은 “조씨가 이날 새벽 주씨와 술을 마신 뒤 택시에 태워 사찰로 데려가 성폭행하려다가 주씨가 거부하며 소리를 지르자 흉기로 찔러 살해한 것으로 드러났다”고 설명했다.

경찰은	경찰/NNG+은/JX
“조씨가	“/SS+조/NNP+씨/NNB+가/JKS
이날	이날/NNG
새벽	새벽/NNG
주씨와	주/NNP+씨/NNB+와/JKB
술을	술/NNG+을/JKO
마신	마시/VV+ㄴ/ETM
뒤	뒤/NNG
택시에	택시/NNG+에/JKB
태워	태우/VV+어/EC
사찰로	사찰/NNG+로/JKB
데려가	데려가/VV+아/EC
성폭행하려다가	성폭행/NNG+하/XSV+려다가/EC
주씨가	주/NNP+씨/NNB+가/JKS
거부하며	거부/NNG+하/XSV+며/EC
소리를	소리/NNG+를/JKO
지르자	지르/VV+자/EC
흉기로	흉기/NNG+로/JKB
찔러	찌르/VV+어/EC
살해한	살해/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다”고	드러나/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.173.4.1
조씨는 범행을 숨기려고 핏자국이 묻은 침대 매트리스와 소지품을 태우는 등 치밀함도 보였다고 경찰은 밝혔다.

조씨는	조/NNP+씨/NNB+는/JX
범행을	범행/NNG+을/JKO
숨기려고	숨기/VV+려고/EC
핏자국이	핏자국/NNG+이/JKS
묻은	묻/VV+은/ETM
침대	침대/NNG
매트리스와	매트리스/NNG+와/JC
소지품을	소지품/NNG+을/JKO
태우는	태우/VV+는/ETM
등	등/NNB
치밀함도	치밀하/VA+ㅁ/ETN+도/JX
보였다고	보이/VV+었/EP+다고/EC
경찰은	경찰/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.173.4.2
경찰은 주씨 가족의 가출 신고를 받고 수사하던 중 피해자 휴대전화 위치 추적을 통해 조씨를 검거했다.

경찰은	경찰/NNG+은/JX
주씨	주/NNP+씨/NNB
가족의	가족/NNG+의/JKG
가출	가출/NNG
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
수사하던	수사/NNG+하/XSV+던/ETM
중	중/NNB
피해자	피해자/NNG
휴대전화	휴대/NNG+전화/NNG
위치	위치/NNG
추적을	추적/NNG+을/JKO
통해	통하/VV+아/EC
조씨를	조/NNP+씨/NNB+를/JKO
검거했다.	검거/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.173.4.3
조씨는 20여년 전 출가했으며, ㅇ사에서 주지 스님과 생활해 왔다.

조씨는	조/NNP+씨/NNB+는/JX
20여년	20/SN+여/XSN+년/NNB
전	전/NNG
출가했으며,	출가/NNG+하/XSV+았/EP+으며/EC+,/SP
ㅇ사에서	ㅇ/NNG+사/NNG+에서/JKB
주지	주지/NNG
스님과	스님/NNG+과/JKB
