# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.12
metadata : {}


# id : NWRW1800000046.12.1.1
[깨알지식] 55년전 '순익王' GM, 지금 애플과 비교하면?

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
55년전	55/SN+년/NNB+전/NNG
'순익王'	'/SS+순익/NNG+王/SH+'/SS
GM,	GM/SL+,/SP
지금	지금/MAG
애플과	애플/NNP+과/JKB
비교하면?	비교/NNG+하/XSV+면/EC+?/SF


# id : NWRW1800000046.12.2.1
작년 4분기 매출 746억달러(약 80조9900억원)에 순이익 180억달러(약 19조5400억원)로 사상 최대 분기 수익을 올린 애플의 2013년 순익은 370억달러다.

작년	작년/NNG
4분기	4/SN+분기/NNG
매출	매출/NNG
746억달러(약	746/SN+억/NR+달러/NNB+(/SS+약/MMA
80조9900억원)에	80/SN+조/NR+9900/SN+억/NR+원/NNB+)/SS+에/JKB
순이익	순이익/NNG
180억달러(약	180/SN+억/NR+달러/NNB+(/SS+약/MMA
19조5400억원)로	19/SN+조/NR+5400/SN+억/NR+원/NNB+)/SS+로/JKB
사상	사상/NNG
최대	최대/NNG
분기	분기/NNG
수익을	수익/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
애플의	애플/NNP+의/JKG
2013년	2013/SN+년/NNB
순익은	순익/NNG+은/JX
370억달러다.	370/SN+억/NR+달러/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.12.2.2
직원 수(9만2600명)로 나눈 직원 1인당 순익은 40만달러(약 4억3800만원)에 이른다.

직원	직원/NNG
수(9만2600명)로	수/NNG+(/SS+9/SN+만/NR+2600/SN+명/NNB+)/SS+로/JKB
나눈	나누/VV+ㄴ/ETM
1인당	1/SN+인/NNG+당/XSN
순익은	순익/NNG+은/JX
40만달러(약	40/SN+만/NR+달러/NNB+(/SS+약/MMA
4억3800만원)에	4/SN+억/NR+3800/SN+만/NR+원/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.12.3.1
스마트폰은 상상도 못 하던 55년 전 미국에서 최대 순익을 올린 기업은 어디였을까.

스마트폰은	스마트폰/NNG+은/JX
상상도	상상/NNG+도/JX
못	못/MAG
하던	하/VV+던/ETM
55년	55/SN+년/NNB
전	전/NNG
미국에서	미국/NNP+에서/JKB
최대	최대/NNG
순익을	순익/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
기업은	기업/NNG+은/JX
어디였을까.	어디/NP+이/VCP+었/EP+을까/EF+./SF


# id : NWRW1800000046.12.3.2
31일(현지 시각) 영국 파이낸셜타임스(FT)가 지난 60년간 미국에서 순익 10위 안에 든 기업들을 통해 세계경제를 이끈 산업의 변화를 살펴봤다.

31일(현지	31/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
영국	영국/NNP
