# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.29
metadata : {}


# id : NWRW1800000029.29.1.1
놀이방… 도서관… 스파… 쇼핑몰 맞아?

놀이방…	놀이방/NNG+…/SE
도서관…	도서관/NNG+…/SE
스파…	스파/NNG+…/SE
쇼핑몰	쇼핑몰/NNG
맞아?	맞/VV+아/EF+?/SF


# id : NWRW1800000029.29.2.1
아이는 쇼핑몰 안에 있는 안전한 테마형 놀이방에서 놀고, 엄마는 스파를 하면서 살림으로 지친 피로를 풀며, 아빠는 인공암벽 등반체험을 할 수 있는 교외형 쇼핑몰.

아이는	아이/NNG+는/JX
쇼핑몰	쇼핑몰/NNG
안에	안/NNG+에/JKB
있는	있/VA+는/ETM
안전한	안전/NNG+하/XSA+ㄴ/ETM
테마형	테마/NNG+형/XSN
놀이방에서	놀이방/NNG+에서/JKB
놀고,	놀/VV+고/EC+,/SP
엄마는	엄마/NNG+는/JX
스파를	스파/NNG+를/JKO
하면서	하/VV+면서/EC
살림으로	살림/NNG+으로/JKB
지친	지치/VV+ㄴ/ETM
피로를	피로/NNG+를/JKO
풀며,	풀/VV+며/EC+,/SP
아빠는	아빠/NNG+는/JX
인공암벽	인공/NNG+암벽/NNG
등반체험을	등반/NNG+체험/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
교외형	교외/NNG+형/XSN
쇼핑몰.	쇼핑몰/NNG+./SF


# id : NWRW1800000029.29.2.2
28일 롯데백화점이 국내 최초의 ‘라이프스타일 센터(LSC)’를 표방하며 대구 동구 봉무동에 문을 연 ‘롯데몰 이시아폴리스점’이 지향하는 쇼핑 모습이다.

28일	28/SN+일/NNB
롯데백화점이	롯데백화점/NNP+이/JKS
국내	국내/NNG
최초의	최초/NNG+의/JKG
‘라이프스타일	‘/SS+라이프스타일/NNG
센터(LSC)’를	센터/NNG+(/SS+LSC/SL+)/SS+’/SS+를/JKO
표방하며	표방/NNG+하/XSV+며/EC
대구	대구/NNP
동구	동구/NNP
봉무동에	봉무동/NNP+에/JKB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
