# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.322
metadata : {}


# id : NWRW1800000056.322.1.1
[특파원 칼럼] “천재라고 생각하고 포기해라” / 조기원

[특파원	[/SS+특파원/NNG
칼럼]	칼럼/NNG+]/SS
“천재라고	“/SS+천재/NNG+이/VCP+라고/EC
생각하고	생각/NNG+하/XSV+고/EC
포기해라”	포기/NNG+하/XSV+아라/EF+”/SS
/	//SP
조기원	조기원/NNP


# id : NWRW1800000056.322.2.1
“(죽임을 당할 뻔한 일은) 천재(天災)라고 생각하고 포기해라.”

“(죽임을	“/SS+(/SS+죽이/VV+ㅁ/ETN+을/JKO
당할	당하/VV+ㄹ/ETM
뻔한	뻔/NNB+하/XSA+ㄴ/ETM
일은)	일/NNG+은/JX+)/SS
천재(天災)라고	천재/NNG+(/SS+天災/SH+)/SS+이/VCP+라고/EC
생각하고	생각/NNG+하/XSV+고/EC
포기해라.”	포기/NNG+하/XSV+아라/EF+./SF+”/SS


# id : NWRW1800000056.322.3.1
1923년 10월말 간토(관동)대지진 조선인학살 때 가까스로 목숨을 건진 경남 거창 출신 신창범씨에게 찾아온 조선총독부 관리는 이렇게 말했다.

1923년	1923/SN+년/NNB
10월말	10/SN+월/NNB+말/NNB
간토(관동)대지진	간토/NNP+(/SS+관동/NNP+)/SS+대/XPN+지진/NNG
조선인학살	조선인/NNG+학살/NNG
때	때/NNG
가까스로	가까스로/MAG
목숨을	목숨/NNG+을/JKO
건진	건지/VV+ㄴ/ETM
경남	경남/NNP
거창	거창/NNP
출신	출신/NNG
신창범씨에게	신창범/NNP+씨/NNB+에게/JKB
찾아온	찾아오/VV+ㄴ/ETM
조선총독부	조선총독부/NNP
관리는	관리/NNG+는/JX
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.3.2
당시 23살이었던 신씨는 그해 9월1일 도쿄 우에노에서 점심을 먹다가 지진을 만났다.

당시	당시/NNG
23살이었던	23/SN+살/NNB+이/VCP+었/EP+던/ETM
신씨는	신/NNP+씨/NNB+는/JX
그해	그해/NNG
9월1일	9/SN+월/NNB+1/SN+일/NNB
도쿄	도쿄/NNP
우에노에서	우에노/NNP+에서/JKB
점심을	점심/NNG+을/JKO
먹다가	먹/VV+다가/EC
지진을	지진/NNG+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.3.3
먹을 것도 구하기 어려웠던 신씨는 도쿄에 사는 재일동포 지인의 집으로 피난을 갔다.

먹을	먹/VV+을/ETM
것도	것/NNB+도/JX
구하기	구하/VV+기/ETN
어려웠던	어렵/VA+었/EP+던/ETM
신씨는	신/NNP+씨/NNB+는/JX
도쿄에	도쿄/NNP+에/JKB
사는	살/VV+는/ETM
재일동포	재일/NNG+동포/NNG
지인의	지인/NNG+의/JKG
집으로	집/NNG+으로/JKB
피난을	피난/NNG+을/JKO
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.3.4
9월3일 사람들이 “쓰나미(지진해일)가 온다”고 소리쳤다.

9월3일	9/SN+월/NNB+3/SN+일/NNB
사람들이	사람/NNG+들/XSN+이/JKS
“쓰나미(지진해일)가	“/SS+쓰나미/NNG+(/SS+지진/NNG+해일/NNG+)/SS+가/JKS
온다”고	오/VV+ㄴ다/EF+”/SS+고/JKQ
소리쳤다.	소리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.3.5
그는 고지대에 있는 도쿄 아라카와강 제방으로 다시 피난했다.

그는	그/NP+는/JX
고지대에	고/XPN+지대/NNG+에/JKB
있는	있/VA+는/ETM
도쿄	도쿄/NNP
아라카와강	아라카와강/NNP
제방으로	제방/NNG+으로/JKB
다시	다시/MAG
피난했다.	피난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.4.1
큰 비극이 기다리고 있었다.

큰	크/VA+ㄴ/ETM
비극이	비극/NNG+이/JKS
기다리고	기다리/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.322.4.2
9월4일 일본인들이 “조선인을 잡아라” “조선인을 죽이자”고 소리쳤다.

9월4일	9/SN+월/NNB+4/SN+일/NNB
일본인들이	일본인/NNG+들/XSN+이/JKS
“조선인을	“/SS+조선인/NNG+을/JKO
잡아라”	잡/VV+아라/EF+”/SS
죽이자”고	죽이/VV+자/EF+”/SS+고/JKQ
소리쳤다.	소리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.4.3
간토대지진 뒤 조선인들이 “우물에 독을 풀었다” “방화를 했다” 같은 헛소문이 퍼지면서, 군경과 일본 민간인들로 구성된 ‘자경단’이 조선인을 학살하던 때였다.

간토대지진	간토/NNP+대/XPN+지진/NNG
뒤	뒤/NNG
조선인들이	조선인/NNG+들/XSN+이/JKS
“우물에	“/SS+우물/NNG+에/JKB
독을	독/NNG+을/JKO
풀었다”	풀/VV+었/EP+다/EF+”/SS
“방화를	“/SS+방화/NNG+를/JKO
