# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.1
metadata : {}


# id : NWRW1800000026.1.1.1
[만물상] 무기중개상

[만물상]	[/SS+만물상/NNG+]/SS
무기중개상	무기/NNG+중개상/NNG


# id : NWRW1800000026.1.2.1
사우디아라비아 출신 무기중개상 아드난 카쇼기가 1976년 영국 한 호텔에서 파티를 열었다.

사우디아라비아	사우디아라비아/NNP
출신	출신/NNG
무기중개상	무기/NNG+중개상/NNG
아드난	아드난/NNP
카쇼기가	카쇼기/NNP+가/JKS
1976년	1976/SN+년/NNB
영국	영국/NNP
한	한/MMN
호텔에서	호텔/NNG+에서/JKB
파티를	파티/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.1.2.2
키신저 당시 미 국무장관, 여러 나라의 아랍 왕족 등이 참석했다.

키신저	키신저/NNP
당시	당시/NNG
미	미/NNP
국무장관,	국무/NNG+장관/NNG+,/SP
여러	여러/MMN
나라의	나라/NNG+의/JKG
아랍	아랍/NNP
왕족	왕족/NNG
등이	등/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.1.2.3
카쇼기는 파티가 끝난 후 안내역으로 미국에서 불러온 아르바이트생 동양 여성에게 "내 회사에서 파트타임으로 일할 생각은 없느냐"고 했다.

카쇼기는	카쇼기/NNP+는/JX
파티가	파티/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
안내역으로	안내역/NNG+으로/JKB
미국에서	미국/NNP+에서/JKB
불러온	부르/VV+어/EC+오/VX+ㄴ/ETM
아르바이트생	아르바이트/NNG+생/XSN
동양	동양/NNG
여성에게	여성/NNG+에게/JKB
"내	"/SS+나/NP+의/JKG
회사에서	회사/NNG+에서/JKB
파트타임으로	파트타임/NNG+으로/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
생각은	생각/NNG+은/JX
없느냐"고	없/VA+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.1.2.4
20여년 뒤 한국에서 군 정찰기 도입 로비를 하다 현직 국방장관과 '연서(戀書) 스캔들'을 일으킨 재미 무기중개상 린다 김이었다.

20여년	20/SN+여/XSN+년/NNB
뒤	뒤/NNG
한국에서	한국/NNP+에서/JKB
군	군/NNG
정찰기	정찰기/NNG
도입	도입/NNG
로비를	로비/NNG+를/JKO
하다	하/VV+다/EC
현직	현직/NNG
국방장관과	국방/NNG+장관/NNG+과/JC
'연서(戀書)	'/SS+연서/NNG+(/SS+戀書/SH+)/SS
스캔들'을	스캔들/NNG+'/SS+을/JKO
일으킨	일으키/VV+ㄴ/ETM
재미	재미/NNG
무기중개상	무기/NNG+중개상/NNG
린다	린다/NNP
김이었다.	김/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.1.3.1
▶1981년 카쇼기는 린다 김에게 "한국에 가서 박종규 전 대통령 경호실장을 데려와 보라"고 했다.

▶1981년	▶/SW+1981/SN+년/NNB
카쇼기는	카쇼기/NNP+는/JX
린다	린다/NNP
김에게	김/NNP+에게/JKB
"한국에	"/SS+한국/NNP+에/JKB
가서	가/VV+아서/EC
박종규	박종규/NNP
전	전/MMD
대통령	대통령/NNG
경호실장을	경호실장/NNG+을/JKO
데려와	데려오/VV+아/EC
보라"고	보/VX+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.1.3.2
박씨는 당시 한국 신군부 실세들의 '어른'이었다.

박씨는	박/NNP+씨/NNB+는/JX
당시	당시/NNG
한국	한국/NNP
신군부	신/XPN+군부/NNG
실세들의	실세/NNG+들/XSN+의/JKG
'어른'이었다.	'/SS+어른/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.1.3.3
린다 김은 도미(渡美) 전 서울 사교계 생활에서 쌓은 친분을 살려 카쇼기가 낸 이 과제를 거뜬히 해결했다.

린다	린다/NNP
김은	김/NNP+은/JX
도미(渡美)	도미/NNG+(/SS+渡美/SH+)/SS
전	전/MMD
서울	서울/NNP
사교계	사교/NNG+계/XSN
생활에서	생활/NNG+에서/JKB
쌓은	쌓/VV+은/ETM
친분을	친분/NNG+을/JKO
살려	살리/VV+어/EC
카쇼기가	카쇼기/NNP+가/JKS
낸	내/VV+ㄴ/ETM
이	이/MMD
과제를	과제/NNG+를/JKO
거뜬히	거뜬히/MAG
해결했다.	해결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.1.4.1
