# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.14
metadata : {}


# id : NWRW1800000033.14.1.1
금감원,감사보고서 활용 요령“감사의견 부적정-한정의견-의견거절 땐 상장폐지 위험”

금감원,감사보고서	금감원/NNG+,/SP+감사/NNG+보고서/NNG
활용	활용/NNG
요령“감사의견	요령/NNG+“/SS+감사/NNG+의견/NNG
부적정-한정의견-의견거절	부/XPN+적정/NNG+-/SO+한정/NNG+의견/NNG+-/SO+의견/NNG+거절/NNG
땐	때/NNG+ㄴ/JX
상장폐지	상장/NNG+폐지/NNG
위험”	위험/NNG+”/SS


# id : NWRW1800000033.14.2.1
■ 금감원, 감사보고서 활용 요령

■	■/SW
금감원,	금감원/NNG+,/SP
감사보고서	감사/NNG+보고서/NNG
활용	활용/NNG
요령	요령/NNG


# id : NWRW1800000033.14.3.1
정기주총 1주일전 제출해야… 시한 어겼다면 ‘부실’ 의심을

정기주총	정기/NNG+주총/NNG
1주일전	1/SN+주일/NNB+전/NNG
제출해야…	제출/NNG+하/XSV+아야/EC+…/SE
시한	시한/NNG
어겼다면	어기/VV+었/EP+다면/EC
‘부실’	‘/SS+부실/NNG+’/SS
의심을	의심/NNG+을/JKO


# id : NWRW1800000033.14.4.1
12월 결산법인의 주주총회가 마무리되는 가운데 각 기업의 감사보고서 공시가 잇따르고 있다.

12월	12/SN+월/NNB
결산법인의	결산/NNG+법인/NNG+의/JKG
주주총회가	주주/NNG+총회/NNG+가/JKS
마무리되는	마무리/NNG+되/XSV+는/ETM
가운데	가운데/NNG
각	각/MMD
기업의	기업/NNG+의/JKG
감사보고서	감사/NNG+보고서/NNG
공시가	공시/NNG+가/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.14.4.2
감사보고서는 회사가 작성한 재무제표를 감사(공인회계사)가 검토한 뒤 이에 대한 의견을 내는 것으로 재무제표를 잘 모르는 초보 투자자들에게도 좋은 참고자료다.

감사보고서는	감사/NNG+보고서/NNG+는/JX
회사가	회사/NNG+가/JKS
작성한	작성/NNG+하/XSV+ㄴ/ETM
재무제표를	재무제표/NNG+를/JKO
감사(공인회계사)가	감사/NNG+(/SS+공인/NNG+회계사/NNG+)/SS+가/JKS
검토한	검토/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
내는	내/VV+는/ETM
것으로	것/NNB+으로/JKB
잘	잘/MAG
모르는	모르/VV+는/ETM
초보	초보/NNG
투자자들에게도	투자자/NNG+들/XSN+에게/JKB+도/JX
좋은	좋/VA+은/ETM
참고자료다.	참고/NNG+자료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.14.4.3
금융감독원은 25일 감사보고서 활용 시 유의사항 등을 제시해 투자자들의 주의를 당부했다.

금융감독원은	금융/NNG+감독원/NNG+은/JX
25일	25/SN+일/NNB
감사보고서	감사/NNG+보고서/NNG
활용	활용/NNG
시	시/NNB
유의사항	유의/NNG+사항/NNG
등을	등/NNB+을/JKO
제시해	제시/NNG+하/XSV+아/EC
투자자들의	투자자/NNG+들/XSN+의/JKG
주의를	주의/NNG+를/JKO
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.14.5.1
우선 감사보고서의 중간 문단을 확인해야 한다.

우선	우선/MAG
감사보고서의	감사/NNG+보고서/NNG+의/JKG
중간	중간/NNG
문단을	문단/NNG+을/JKO
확인해야	확인/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.14.5.2
