# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.313
metadata : {}


# id : NWRW1800000028.313.1.1
‘2류’ 꼬리표 떼고 케이블 지상파 맹추격

‘2류’	‘/SS+2류/NNG+’/SS
꼬리표	꼬리표/NNG
떼고	떼/VV+고/EC
케이블	케이블/NNG
지상파	지상파/NNG
맹추격	맹추격/NNG


# id : NWRW1800000028.313.2.1
이제 케이블 티브이는 지상파에 뒤처진 ‘2류’가 아니다.

이제	이제/MAG
케이블	케이블/NNG
티브이는	티브이/NNG+는/JX
지상파에	지상파/NNG+에/JKB
뒤처진	뒤처지/VV+ㄴ/ETM
‘2류’가	‘/SS+2류/NNG+’/SS+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000028.313.2.2
케이블 방송이 개국한 이래 ‘케이블스럽다’는 말은 촌스럽거나 엉성하다는 뜻으로 통했다.

케이블	케이블/NNG
방송이	방송/NNG+이/JKS
개국한	개국/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
‘케이블스럽다’는	‘/SS+케이블/NNG+스럽/XSA+다/EF+’/SS+는/ETM
말은	말/NNG+은/JX
촌스럽거나	촌/NNG+스럽/XSA+거나/EC
엉성하다는	엉성하/VA+다는/ETM
뜻으로	뜻/NNG+으로/JKB
통했다.	통하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.313.2.3
그러나 요즘 오히려 감각적이며 새롭다는 의미로 더 많이 쓰인다.

그러나	그러나/MAJ
요즘	요즘/NNG
오히려	오히려/MAG
감각적이며	감각/NNG+적/XSN+이/VCP+며/EC
새롭다는	새롭/VA+다는/ETM
의미로	의미/NNG+로/JKB
더	더/MAG
많이	많이/MAG
쓰인다.	쓰이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.313.2.4
케이블 티브이 자체제작 프로그램이 연일 자체 최고 시청률을 경신하고 있는 것만 봐도 달라진 위상을 실감할 수 있다.

케이블	케이블/NNG
티브이	티브이/NNG
자체제작	자체/NNG+제작/NNG
프로그램이	프로그램/NNG+이/JKS
연일	연일/MAG
자체	자체/NNG
최고	최고/NNG
시청률을	시청/NNG+률/XSN+을/JKO
경신하고	경신/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
