# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.50
metadata : {}


# id : NWRW1800000056.50.1.1
TV 보면서도 왜 스마트폰을 더듬을까

TV	TV/SL
보면서도	보/VV+면서/EC+도/JX
왜	왜/MAG
스마트폰을	스마트폰/NNG+을/JKO
더듬을까	더듬/VV+을까/EF


# id : NWRW1800000056.50.2.1
[한겨레] 구본권의 스마트 돋보기

[한겨레]	[/SS+한겨레/NNP+]/SS
구본권의	구본권/NNP+의/JKG
스마트	스마트/NNG
돋보기	돋보기/NNG


# id : NWRW1800000056.50.3.1
대화를 하거나 모임에서 주제에 귀를 기울이는 대신 스마트폰을 꺼내 들여다보는 풍경은 이제 낯설지 않다.

대화를	대화/NNG+를/JKO
하거나	하/VV+거나/EC
모임에서	모임/NNG+에서/JKB
주제에	주제/NNG+에/JKB
귀를	귀/NNG+를/JKO
기울이는	기울이/VV+는/ETM
대신	대신/NNG
스마트폰을	스마트폰/NNG+을/JKO
꺼내	꺼내/VV+어/EC
들여다보는	들여다보/VV+는/ETM
풍경은	풍경/NNG+은/JX
이제	이제/MAG
낯설지	낯설/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000056.50.3.2
상대에 대한 에티켓이 아니라는 지적도 있었지만, 이제는 모바일 시대 새로운 규범으로 여겨지는 듯하다.

상대에	상대/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
에티켓이	에티켓/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
지적도	지적/NNG+도/JX
있었지만,	있/VA+었/EP+지만/EC+,/SP
이제는	이제/NNG+는/JX
모바일	모바일/NNG
시대	시대/NNG
새로운	새롭/VA+ㄴ/ETM
규범으로	규범/NNG+으로/JKB
여겨지는	여기/VV+어/EC+지/VX+는/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000056.50.3.3
카페에선 연인들도, 친구끼리도 서로 눈을 바라보는 대신 고개를 숙인 채 각자 스마트폰을 매만지고 있다.

카페에선	카페/NNG+에서/JKB+ㄴ/JX
연인들도,	연인/NNG+들/XSN+도/JX+,/SP
친구끼리도	친구/NNG+끼리/XSN+도/JX
서로	서로/MAG
눈을	눈/NNG+을/JKO
바라보는	바라보/VV+는/ETM
대신	대신/NNG
고개를	고개/NNG+를/JKO
숙인	숙이/VV+ㄴ/ETM
채	채/NNB
각자	각자/MAG
스마트폰을	스마트폰/NNG+을/JKO
매만지고	매만지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.50.4.1
스마트폰이 다른 사람과의 만남이나 대화에 들어와 주인 노릇을 하더니 급기야 내가 스스로 선택한 시공간에까지 침입하는 현상이 확산되고 있다.

스마트폰이	스마트폰/NNG+이/JKS
다른	다른/MMD
사람과의	사람/NNG+과/JKB+의/JKG
만남이나	만남/NNG+이나/JC
대화에	대화/NNG+에/JKB
들어와	들어오/VV+아/EC
주인	주인/NNG
노릇을	노릇/NNG+을/JKO
하더니	하/VV+더니/EC
급기야	급기야/MAG
내가	내/NP+가/JKS
스스로	스스로/MAG
선택한	선택/NNG+하/XSV+ㄴ/ETM
시공간에까지	시공간/NNG+에/JKB+까지/JX
침입하는	침입/NNG+하/XSV+는/ETM
