# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.203
metadata : {}


# id : NWRW1800000030.203.1.1
양승호에 따뜻하던 그들이… 성적 나쁘자 '협박 문자' 하루 400통

양승호에	양승호/NNP+에/JKB
따뜻하던	따뜻하/VA+던/ETM
그들이…	그/NP+들/XSN+이/JKS+…/SE
성적	성적/NNG
나쁘자	나쁘/VA+자/EC
'협박	'/SS+협박/NNG
문자'	문자/NNG+'/SS
하루	하루/NNG
400통	400/SN+통/NNB


# id : NWRW1800000030.203.2.1
•'프로야구 최고 인기 구단' 롯데 감독으로 산다는 건…

•'프로야구	•/SW+'/SS+프로/NNG+야구/NNG
최고	최고/NNG
인기	인기/NNG
구단'	구단/NNG+'/SS
롯데	롯데/NNP
감독으로	감독/NNG+으로/JKB
산다는	살/VV+ㄴ다는/ETM
건…	거/NNB+ㄴ/JX+…/SE


# id : NWRW1800000030.203.3.1
롯데 양승호 감독(51)은 지난 18일 고심 끝에 휴대폰 전화번호를 바꿨다.

롯데	롯데/NNP
양승호	양승호/NNP
감독(51)은	감독/NNG+(/SS+51/SN+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
고심	고심/NNG
끝에	끝/NNG+에/JKB
휴대폰	휴대폰/NNG
전화번호를	전화번호/NNG+를/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.203.3.2
초반 성적이 기대에 못 미치면서 팬들의 비난 문자메시지가 하루에 300~400통씩 쇄도하는 바람에 전화기가 본연의 기능인 통화기능을 상실할 정도였다고 한다.

초반	초반/NNG
성적이	성적/NNG+이/JKS
기대에	기대/NNG+에/JKB
못	못/MAG
미치면서	미치/VV+면서/EC
팬들의	팬/NNG+들/XSN+의/JKG
비난	비난/NNG
문자메시지가	문자/NNG+메시지/NNG+가/JKS
하루에	하루/NNG+에/JKB
300~400통씩	300/SN+~/SO+400/SN+통/NNB+씩/XSN
쇄도하는	쇄도/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
전화기가	전화기/NNG+가/JKS
본연의	본연/NNG+의/JKG
기능인	기능/NNG+이/VCP+ㄴ/ETM
통화기능을	통화/NNG+기능/NNG+을/JKO
상실할	상실/NNG+하/XSV+ㄹ/ETM
정도였다고	정도/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.203.4.1
"제 안전에 위협을 느낄 정도로 심한 협박 문자를 받으니 소름이 쫙 끼치더라고요.

"제	"/SS+저/NP+의/JKG
안전에	안전/NNG+에/JKB
위협을	위협/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
심한	심하/VA+ㄴ/ETM
협박	협박/NNG
문자를	문자/NNG+를/JKO
받으니	받/VV+으니/EC
소름이	소름/NNG+이/JKS
쫙	쫙/MAG
끼치더라고요.	끼치/VV+더라고/EF+요/JX+./SF


# id : NWRW1800000030.203.4.2
가족들이 보면 충격받을까 봐 어쩔 수 없이 번호를 바꿨습니다."

가족들이	가족/NNG+들/XSN+이/JKS
보면	보/VV+면/EC
충격받을까	충격/NNG+받/XSV+을까/EF
봐	보/VV+아/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
번호를	번호/NNG+를/JKO
바꿨습니다."	바꾸/VV+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000030.203.5.1
롯데의 올해 목표는 우승이다.

롯데의	롯데/NNP+의/JKG
올해	올해/NNG
목표는	목표/NNG+는/JX
우승이다.	우승/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.203.5.2
하지만 21일 한화에 1대4로 패하면서 꼴찌로 추락했다.

하지만	하지만/MAJ
21일	21/SN+일/NNB
한화에	한화/NNP+에/JKB
1대4로	1/SN+대/NNB+4/SN+로/JKB
패하면서	패/NNG+하/XSV+면서/EC
꼴찌로	꼴찌/NNG+로/JKB
추락했다.	추락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.203.5.3
계속된 부진에 롯데 팬들의 비난은 새로 지휘봉을 잡은 양 감독에게 쏠렸고, 그의 전화번호가 인터넷상에 공개되면서 '문자 테러'가 이어졌다.

계속된	계속/NNG+되/XSV+ㄴ/ETM
부진에	부진/NNG+에/JKB
롯데	롯데/NNP
팬들의	팬/NNG+들/XSN+의/JKG
