# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.231
metadata : {}


# id : NWRW1800000049.231.1.1
[윤승옥 기자의 야구&]대만에 배운 승부조작, 대만 몰락 따라가나

[윤승옥	[/SS+윤승옥/NNP
기자의	기자/NNG+의/JKG
야구&]대만에	야구/NNG+&/SW+]/SS+대만/NNP+에/JKB
배운	배우/VV+ㄴ/ETM
승부조작,	승부/NNG+조작/NNG+,/SP
대만	대만/NNP
몰락	몰락/NNG
따라가나	따라가/VV+나/EC


# id : NWRW1800000049.231.2.1
4년 만에 부활한 줄 알았는데, 그것도 아니었다.

4년	4/SN+년/NNB
만에	만/NNB+에/JKB
부활한	부활/NNG+하/XSV+ㄴ/ETM
줄	줄/NNB
알았는데,	알/VV+았/EP+는데/EC+,/SP
그것도	그것/NP+도/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000049.231.2.2
2012년 LG 박현준과 김성현의 승부 조작 사건이 처음 터졌고, 올해 NC 이태양과 상무(넥센 출신) 문우람이 같은 수법으로 적발됐다.

2012년	2012/SN+년/NNB
LG	LG/SL
박현준과	박현준/NNP+과/JC
김성현의	김성현/NNP+의/JKG
승부	승부/NNG
조작	조작/NNG
사건이	사건/NNG+이/JKS
처음	처음/NNG
터졌고,	터지/VV+었/EP+고/EC+,/SP
올해	올해/NNG
NC	NC/SL
이태양과	이태양/NNP+과/JC
상무(넥센	상무/NNP+(/SS+넥센/NNP
출신)	출신/NNG+)/SS
문우람이	문우람/NNP+이/JKS
같은	같/VA+은/ETM
수법으로	수법/NNG+으로/JKB
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.231.2.3
그런데 두 사건의 중간 지점인 2014년에 KIA 유창식이 승부 조작을 했다고 자진 신고하면서 야구계는 충격에 빠졌다.

그런데	그런데/MAJ
두	두/MMN
사건의	사건/NNG+의/JKG
중간	중간/NNG
지점인	지점/NNG+이/VCP+ㄴ/ETM
2014년에	2014/SN+년/NNB+에/JKB
KIA	KIA/SL
유창식이	유창식/NNP+이/JKS
승부	승부/NNG
조작을	조작/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
자진	자진/NNG
신고하면서	신고/NNG+하/XSV+면서/EC
야구계는	야구/NNG+계/XSN+는/JX
충격에	충격/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.231.2.4
승부 조작이 여태 계속돼 왔다는 얘기다.

승부	승부/NNG
조작이	조작/NNG+이/JKS
여태	여태/MAG
계속돼	계속/NNG+되/XSV+어/EC
왔다는	오/VX+았/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.231.3.1
브로커가 아닌 선수가 먼저 승부 조작을 제의할 정도로 수법이 대담해졌고, 사례금은 500만 원에서 2000만 원으로까지 올랐다.

브로커가	브로커/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
선수가	선수/NNG+가/JKS
먼저	먼저/MAG
승부	승부/NNG
조작을	조작/NNG+을/JKO
제의할	제의/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
수법이	수법/NNG+이/JKS
대담해졌고,	대담/NNG+하/XSA+아/EC+지/VX+었/EP+고/EC+,/SP
사례금은	사례금/NNG+은/JX
500만	500/SN+만/NR
원에서	원/NNB+에서/JKB
2000만	2000/SN+만/NR
원으로까지	원/NNB+으로/JKB+까지/JX
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.231.3.2
4년 전 한국야구위원회(KBO)의 일벌백계 조치는 무용지물이었다.

4년	4/SN+년/NNB
전	전/NNG
한국야구위원회(KBO)의	한국야구위원회/NNP+(/SS+KBO/SL+)/SS+의/JKG
일벌백계	일벌백계/NNG
조치는	조치/NNG+는/JX
무용지물이었다.	무용지물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.231.4.1
승부 조작의 볼모가 된 한국 야구는 어디로 갈 것인가.

승부	승부/NNG
조작의	조작/NNG+의/JKG
볼모가	볼모/NNG+가/JKC
된	되/VV+ㄴ/ETM
한국	한국/NNP
야구는	야구/NNG+는/JX
어디로	어디/NP+로/JKB
갈	가/VV+ㄹ/ETM
것인가.	것/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000049.231.4.2
이제 우리는 대만 야구를 진지하게 살펴야 한다.

이제	이제/MAG
우리는	우리/NP+는/JX
대만	대만/NNP
야구를	야구/NNG+를/JKO
진지하게	진지하/VA+게/EC
살펴야	살피/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.231.4.3
대만 야구는 조직폭력배가 주도한 승부 조작으로 패가망신한 경우다.

대만	대만/NNP
야구는	야구/NNG+는/JX
조직폭력배가	조직폭력배/NNG+가/JKS
주도한	주도/NNG+하/XSV+ㄴ/ETM
승부	승부/NNG
조작으로	조작/NNG+으로/JKB
패가망신한	패가망신/NNG+하/XSV+ㄴ/ETM
경우다.	경우/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.231.4.4
과거 우리가 승부 조작의 청정 국가를 자처할 땐 막연한 ‘반면교사’였지만, 이제는 우리의 미래를 보여 주는 거울일지도 모른다.

과거	과거/NNG
우리가	우리/NP+가/JKS
승부	승부/NNG
조작의	조작/NNG+의/JKG
청정	청정/NNG
국가를	국가/NNG+를/JKO
자처할	자처/NNG+하/XSV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
막연한	막연하/VA+ㄴ/ETM
‘반면교사’였지만,	‘/SS+반면교사/NNG+’/SS+이/VCP+었/EP+지만/EC+,/SP
이제는	이제/NNG+는/JX
우리의	우리/NP+의/JKG
미래를	미래/NNG+를/JKO
보여	보이/VV+어/EC
주는	주/VX+는/ETM
거울일지도	거울/NNG+이/VCP+ㄹ지/EF+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.231.5.1
대만의 국기(國技)는 야구다.

대만의	대만/NNP+의/JKG
