# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.200
metadata : {}


# id : NWRW1800000046.200.1.1
마지막 태극마크… 회춘한 '차미네이터'

마지막	마지막/NNG
태극마크…	태극/NNG+마크/NNG+…/SE
회춘한	회춘/NNG+하/XSV+ㄴ/ETM
'차미네이터'	'/SS+차미네이터/NNP+'/SS


# id : NWRW1800000046.200.2.1
아시안컵 4강行 이끈 '대표팀 맏형' 차두리

아시안컵	아시안/NNP+컵/NNG
4강行	4/SN+강/NNB+行/SH
이끈	이끌/VV+ㄴ/ETM
'대표팀	'/SS+대표/NNG+팀/NNG
맏형'	맏/XPN+형/NNG+'/SS
차두리	차두리/NNP


# id : NWRW1800000046.200.3.1
그는 정말 회춘(回春)이라도 한 걸까.

그는	그/NP+는/JX
정말	정말/MAG
회춘(回春)이라도	회춘/NNG+(/SS+回春/SH+)/SS+이/VCP+라도/EC
한	하/VV+ㄴ/ETM
걸까.	거/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000046.200.3.2
22일 호주 아시안컵 우즈베키스탄전에서 손흥민(23·레버쿠젠)의 추가 골을 이끌어냈던 차두리(35· FC서울)의 '폭풍 드리블'이 화제다.

22일	22/SN+일/NNB
호주	호주/NNP
아시안컵	아시안/NNP+컵/NNG
우즈베키스탄전에서	우즈베키스탄전/NNG+에서/JKB
손흥민(23·레버쿠젠)의	손흥민/NNP+(/SS+23/SN+·/SP+레버쿠젠/NNP+)/SS+의/JKG
추가	추가/NNG
골을	골/NNG+을/JKO
이끌어냈던	이끌/VV+어/EC+내/VX+었/EP+던/ETM
차두리(35·	차두리/NNP+(/SS+35/SN+·/SP
FC서울)의	FC서울/NNP+)/SS+의/JKG
'폭풍	'/SS+폭풍/NNG
드리블'이	드리블/NNG+'/SS+이/JKS
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.200.3.3
차두리가 공을 잡고 60여m를 질주하는 데 걸린 시간은 약 6초.
