# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.70
metadata : {}


# id : NWRW1800000025.70.1.1
[생각이 쑥쑥!… 열려라, 책세상!]뜨끈… 깍둑… 엄마 입에 손대고 들어봐요

[생각이	[/SS+생각/NNG+이/JKS
쑥쑥!…	쑥쑥/MAG+!/SF+…/SE
열려라,	열리/VV+어라/EF+,/SP
책세상!]뜨끈…	책/NNG+세상/NNG+!/SF+]/SS+뜨끈/XR+…/SE
깍둑…	깍둑/XR+…/SE
엄마	엄마/NNG
입에	입/NNG+에/JKB
손대고	손대/VV+고/EC
들어봐요	듣/VV+어/EC+보/VX+아요/EF


# id : NWRW1800000025.70.2.1
◇ 소리가 들리는 동시집·이상교 지음·박지은 그림·168쪽·1만3000원·토토북

◇	◇/SW
소리가	소리/NNG+가/JKS
들리는	들리/VV+는/ETM
동시집·이상교	동시집/NNG+·/SP+이상교/NNP
지음·박지은	짓/VV+음/ETN+·/SP+박지은/NNP
그림·168쪽·1만3000원·토토북	그림/NNG+·/SP+168/SN+쪽/NNG+·/SP+1/SN+만/NR+3000/SN+원/NNB+·/SP+토토북/NNP


# id : NWRW1800000025.70.3.1
‘후룩후루룩 뜨끈뜨근 무국/깍둑깍둑 알맞게 익은 깍두기/똑똑딱딱 젓가락질/식탁은 한상 가득 차려놓고는/꿀꺽꿀꺽 침만 삼켜요’(제목 ‘식탁’)

‘후룩후루룩	‘/SS+후룩/MAG+후루룩/MAG
뜨끈뜨근	뜨끈뜨근/MAG
무국/깍둑깍둑	무국/NNG+//SP+깍둑깍둑/MAG
알맞게	알맞/VA+게/EC
익은	익/VV+은/ETM
깍두기/똑똑딱딱	깍두기/NNG+//SP+똑똑/MAG+딱딱/MAG
젓가락질/식탁은	젓가락/NNG+질/XSN+//SP+식탁/NNG+은/JX
한상	한/MMN+상/NNG
가득	가득/MAG
차려놓고는/꿀꺽꿀꺽	차리/VV+어/EC+놓/VX+고/EC+는/JX+//SP+꿀꺽꿀꺽/MAG
침만	침/NNG+만/JX
삼켜요’(제목	삼키/VV+어요/EF+’/SS+(/SS+제목/NNG
‘식탁’)	‘/SS+식탁/NNG+’/SS+)/SS


# id : NWRW1800000025.70.4.1
‘이마에 땀이 난다.

‘이마에	‘/SS+이마/NNG+에/JKB
땀이	땀/NNG+이/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.70.4.2
줄줄/콧등에 땀이 난다.

줄줄/콧등에	줄줄/MAG+//SP+콧등/NNG+에/JKB
땀이	땀/NNG+이/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.70.4.3
송골송골/손바닥에 땀이 난다.

송골송골/손바닥에	송골송골/MAG+//SP+손바닥/NNG+에/JKB
땀이	땀/NNG+이/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.70.4.4
끈적끈적/“그만 쉬었다 하렴.”/미끈미끈 땀이 난다’(제목 ’땀‘)

끈적끈적/“그만	끈적끈적/MAG+//SP+“/SS+그만/MAG
쉬었다	쉬/VV+었/EP+다/EF
하렴.”/미끈미끈	하/VV+렴/EF+./SF+”/SS+//SP+미끈미끈/MAG
땀이	땀/NNG+이/JKS
난다’(제목	나/VV+ㄴ다/EF+’/SS+(/SS+제목/NNG
’땀‘)	’/SS+땀/NNG+‘/SS+)/SS


# id : NWRW1800000025.70.5.1
엄마와 아이가 소리 내어 함께 읽도록 만든 동시집이다.

엄마와	엄마/NNG+와/JC
아이가	아이/NNG+가/JKS
소리	소리/NNG
내어	내/VV+어/EC
함께	함께/MAG
읽도록	읽/VV+도록/EC
만든	만들/VV+ㄴ/ETM
동시집이다.	동시집/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.70.5.2
정끝별 시인은 “동시 속에서 꿈틀꿈틀 거리는 소리말(의성어)과 모양말(의태어)을 읽을 때는 아기의 손을 엄마 입술에 대고 읽어 주는 게 좋다”고 추천했다.

정끝별	정끝별/NNP
시인은	시인/NNG+은/JX
“동시	“/SS+동시/NNG
속에서	속/NNG+에서/JKB
꿈틀꿈틀	꿈틀꿈틀/MAG
거리는	거리/XSV+는/ETM
소리말(의성어)과	소리/NNG+말/NNG+(/SS+의성어/NNG+)/SS+과/JC
모양말(의태어)을	모양/NNG+말/NNG+(/SS+의태어/NNG+)/SS+을/JKO
읽을	읽/VV+을/ETM
때는	때/NNG+는/JX
아기의	아기/NNG+의/JKG
손을	손/NNG+을/JKO
엄마	엄마/NNG
입술에	입술/NNG+에/JKB
대고	대/VV+고/EC
읽어	읽/VV+어/EC
주는	주/VX+는/ETM
게	거/NNB+이/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


