# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.137
metadata : {}


# id : NWRW1800000022.137.1.1
[수도권Ⅰ] 4·29 시흥시장 보궐선거 3자 대결구도

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
4·29	4/SN+·/SP+29/SN
시흥시장	시흥시장/NNG
보궐선거	보궐/NNG+선거/NNG
3자	3자/NNG
대결구도	대결/NNG+구도/NNG


# id : NWRW1800000022.137.2.1
29일 실시되는 시흥시장 보궐선거에 출마할 여야 각당의 후보 공천이 마무리되면서 본격적인 선거전의 막이 올랐다.

29일	29/SN+일/NNB
실시되는	실시/NNG+되/XSV+는/ETM
시흥시장	시흥시장/NNG
보궐선거에	보궐/NNG+선거/NNG+에/JKB
출마할	출마/NNG+하/XSV+ㄹ/ETM
여야	여야/NNG
각당의	각/MMD+당/NNG+의/JKG
후보	후보/NNG
공천이	공천/NNG+이/JKS
마무리되면서	마무리/NNG+되/XSV+면서/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
선거전의	선거전/NNG+의/JKG
막이	막/NNG+이/JKS
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.137.2.2
4·29 재·보궐선거의 후보 등록은 14~15일 이틀 동안 진행된다.

4·29	4/SN+·/SP+29/SN
재·보궐선거의	재/XPN+·/SP+보궐/NNG+선거/NNG+의/JKG
후보	후보/NNG
등록은	등록/NNG+은/JX
14~15일	14/SN+~/SO+15/SN+일/NNB
이틀	이틀/NNG
동안	동안/NNG
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.137.3.1
한나라당은 후보로 김문수 경기도지사 비서실장을 지낸 노용수(44) 전 경기도의원을 공천했다.

한나라당은	한나라당/NNP+은/JX
후보로	후보/NNG+로/JKB
김문수	김문수/NNP
경기도지사	경기/NNP+도지사/NNG
비서실장을	비서실장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
노용수(44)	노용수/NNP+(/SS+44/SN+)/SS
전	전/MMD
경기도의원을	경기도/NNP+의원/NNG+을/JKO
공천했다.	공천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.137.3.2
민주당에서는 고 제정구 의원의 비서를 지낸 김윤식(43) 전 경기도의원이 출마한다.

민주당에서는	민주당/NNP+에서/JKB+는/JX
고	고/MMA
제정구	제정구/NNP
의원의	의원/NNG+의/JKG
비서를	비서/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
김윤식(43)	김윤식/NNP+(/SS+43/SN+)/SS
전	전/MMD
경기도의원이	경기도/NNP+의원/NNG+이/JKS
출마한다.	출마/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.137.3.3
민주당은 당초 백청수 전 시흥시장을 공천했으나 백씨가 출마를 철회함에 따라 후보를 교체했다.

민주당은	민주당/NNP+은/JX
당초	당초/NNG
백청수	백청수/NNP
전	전/MMD
시흥시장을	시흥시장/NNG+을/JKO
공천했으나	공천/NNG+하/XSV+았/EP+으나/EC
백씨가	백/NNP+씨/NNB+가/JKS
출마를	출마/NNG+를/JKO
철회함에	철회/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
후보를	후보/NNG+를/JKO
교체했다.	교체/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.137.4.1
민노당과 진보신당은 후보를 내지 않고 시민단체와 공동으로 산부인과 전문의 최준열(50·무소속)씨를 시민후보로 추대했다.

민노당과	민노당/NNP+과/JKB
진보신당은	진보신당/NNP+은/JX
후보를	후보/NNG+를/JKO
내지	내/VV+지/EC
않고	않/VX+고/EC
시민단체와	시민/NNG+단체/NNG+와/JKB
공동으로	공동/NNG+으로/JKB
산부인과	산부인과/NNG
전문의	전문의/NNG
최준열(50·무소속)씨를	최준열/NNP+(/SS+50/SN+·/SP+무/XPN+소속/NNG+)/SS+씨/NNB+를/JKO
시민후보로	시민/NNG+후보/NNG+로/JKB
추대했다.	추대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.137.4.2
이에 따라 이번 선거는 이들 후보들의 3자 대결로 펼쳐질 전망이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이번	이번/NNG
선거는	선거/NNG+는/JX
이들	이/NP+들/XSN
후보들의	후보/NNG+들/XSN+의/JKG
3자	3자/NNG
대결로	대결/NNG+로/JKB
펼쳐질	펼쳐지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.137.5.1
시흥시는 이연수 전 시장이 지난 1월 대법원에서 뇌물수수죄로 징역 3년6월에 추징금 5000만원을 선고한 원심이 확정돼 시장직을 상실하면서 보궐선거를 치르게 됐다.

시흥시는	시흥시/NNP+는/JX
이연수	이연수/NNP
전	전/MMD
시장이	시장/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
대법원에서	대/XPN+법원/NNG+에서/JKB
뇌물수수죄로	뇌물/NNG+수수죄/NNG+로/JKB
징역	징역/NNG
3년6월에	3/SN+년/NNB+6/SN+월/NNB+에/JKB
추징금	추징금/NNG
5000만원을	5000/SN+만/NR+원/NNB+을/JKO
선고한	선고/NNG+하/XSV+ㄴ/ETM
원심이	원심/NNG+이/JKS
확정돼	확정/NNG+되/XSV+어/EC
시장직을	시장직/NNG+을/JKO
상실하면서	상실/NNG+하/XSV+면서/EC
보궐선거를	보궐/NNG+선거/NNG+를/JKO
치르게	치르/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


