# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.104
metadata : {}


# id : NWRW1800000024.104.1.1
미 국방장관 “북 미사일 요격 안해”

미	미/NNP
국방장관	국방/NNG+장관/NNG
“북	“/SS+북/NNP
미사일	미사일/NNG
요격	요격/NNG
안해”	안/MAG+하/VV+아/EF+”/SS


# id : NWRW1800000024.104.2.1
로버트 게이츠 미국 국방장관은 29일 “북한의 미사일 발사가 임박한 것 같지만, 미국은 그것을 요격하지는 않을 것”이라고 말했다.

로버트	로버트/NNP
게이츠	게이츠/NNP
미국	미국/NNP
국방장관은	국방/NNG+장관/NNG+은/JX
29일	29/SN+일/NNB
“북한의	“/SS+북한/NNP+의/JKG
미사일	미사일/NNG
발사가	발사/NNG+가/JKS
임박한	임박/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같지만,	같/VA+지만/EC+,/SP
미국은	미국/NNP+은/JX
그것을	그것/NP+을/JKO
요격하지는	요격/NNG+하/XSV+지/EC+는/JX
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.104.2.2
게이츠 장관은 이날 ‘폭스 뉴스 선데이’에 출연해 “만일 북한의 미사일이 지금 하와이로 향하고 있거나 하와이 등지를 향해 날아오는 것처럼 보인다면, (요격을) 고려할 수 있다”며 “그러나 지금은 그럴 계획이 없다”고 말했다.

게이츠	게이츠/NNP
장관은	장관/NNG+은/JX
이날	이날/NNG
‘폭스	‘/SS+폭스/NNP
뉴스	뉴스/NNG
선데이’에	선데이/NNG+’/SS+에/JKB
출연해	출연/NNG+하/XSV+아/EC
“만일	“/SS+만일/MAG
북한의	북한/NNP+의/JKG
미사일이	미사일/NNG+이/JKS
지금	지금/MAG
하와이로	하와이/NNP+로/JKB
향하고	향하/VV+고/EC
있거나	있/VX+거나/EC
하와이	하와이/NNP
등지를	등지/NNB+를/JKO
향해	향하/VV+아/EC
날아오는	날아오/VV+는/ETM
것처럼	것/NNB+처럼/JKB
보인다면,	보이/VV+ㄴ다면/EC+,/SP
(요격을)	(/SS+요격/NNG+을/JKO+)/SS
고려할	고려/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“그러나	“/SS+그러나/MAJ
지금은	지금/NNG+은/JX
그럴	그렇/VA+ㄹ/ETM
계획이	계획/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.104.2.3
미국의 장관급 고위 인사가 북한의 ‘미사일’을 요격하지 않겠다고 명확히 밝힌 것은 이번이 처음이다.

미국의	미국/NNP+의/JKG
장관급	장관급/NNG
고위	고위/NNG
인사가	인사/NNG+가/JKS
북한의	북한/NNP+의/JKG
‘미사일’을	‘/SS+미사일/NNG+’/SS+을/JKO
요격하지	요격/NNG+하/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
명확히	명확히/MAG
밝힌	밝히/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.104.3.1
게이츠 장관은 북한이 정말 미사일을 발사할 것 같으냐는 질문에는, “아마 그럴 것이다”라며 “아직 이에 대해 준비하고 있는 아무것도 없다”고 말했다.

게이츠	게이츠/NNP
장관은	장관/NNG+은/JX
북한이	북한/NNP+이/JKS
정말	정말/MAG
미사일을	미사일/NNG+을/JKO
발사할	발사/NNG+하/XSV+ㄹ/ETM
것	것/NNB
같으냐는	같/VA+으냐는/ETM
질문에는,	질문/NNG+에/JKB+는/JX+,/SP
“아마	“/SS+아마/MAG
그럴	그렇/VA+ㄹ/ETM
것이다”라며	것/NNB+이/VCP+다/EF+”/SS+이/VCP+라며/EC
“아직	“/SS+아직/MAG
이에	이/NP+에/JKB
대해	대하/VV+아/EC
준비하고	준비/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
아무것도	아무것/NNG+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.104.3.2
게이츠 장관은 북한이 지금 당장은 핵탄두를 미사일에 장착할 능력은 갖추고 있다고 믿지는 않는다고 말했다.

게이츠	게이츠/NNP
장관은	장관/NNG+은/JX
북한이	북한/NNP+이/JKS
지금	지금/MAG
당장은	당장/NNG+은/JX
핵탄두를	핵탄두/NNG+를/JKO
