# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.342
metadata : {}


# id : NWRW1800000038.342.1.1
방통위 핵심기능 안 넘기려는 민주당, '발목잡기' 시선에 곤혹

방통위	방통위/NNG
핵심기능	핵심/NNG+기능/NNG
안	안/MAG
넘기려는	넘기/VV+려는/ETM
민주당,	민주당/NNP+,/SP
'발목잡기'	'/SS+발목/NNG+잡/VV+기/ETN+'/SS
시선에	시선/NNG+에/JKB
곤혹	곤혹/NNG


# id : NWRW1800000038.342.2.1
"방송의 공공성 관련 기능과 IPTV 인허가권·법령제정권 미래부에 이관 못한다"

"방송의	"/SS+방송/NNG+의/JKG
공공성	공공/NNG+성/XSN
관련	관련/NNG
기능과	기능/NNG+과/JC
IPTV	IPTV/SL
인허가권·법령제정권	인허가/NNG+권/XSN+·/SP+법령/NNG+제정/NNG+권/XSN
미래부에	미래부/NNG+에/JKB
이관	이관/NNG
못한다"	못/MAG+하/VV+ㄴ다/EF+"/SS


# id : NWRW1800000038.342.3.1
정부 조직 개편안을 둘러싼 여야 대치가 길어지면서 민주통합당이 곤혹스러운 상황에 빠지고 있다.

정부	정부/NNG
조직	조직/NNG
개편안을	개편안/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
여야	여야/NNG
대치가	대치/NNG+가/JKS
길어지면서	길어지/VV+면서/EC
민주통합당이	민주통합당/NNP+이/JKS
곤혹스러운	곤혹/NNG+스럽/XSA+ㄴ/ETM
상황에	상황/NNG+에/JKB
빠지고	빠지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.342.3.2
당내에선 "더 이상 밀려선 안 된다"는 강경론이 여전하지만, 외부적으론 "민주당이 새 정부의 발목을 잡고 있다"는 비판 여론이 커지고 있기 때문이다.

당내에선	당내/NNG+에서/JKB+ㄴ/JX
"더	"/SS+더/MAG
이상	이상/NNG
밀려선	밀리/VV+어서/EC+ㄴ/JX
안	안/MAG
된다"는	되/VV+ㄴ다/EF+"/SS+는/ETM
강경론이	강경/NNG+론/XSN+이/JKS
여전하지만,	여전하/VA+지만/EC+,/SP
외부적으론	외부/NNG+적/XSN+으로/JKB+ㄴ/JX
"민주당이	"/SS+민주당/NNP+이/JKS
새	새/MMA
정부의	정부/NNG+의/JKG
발목을	발목/NNG+을/JKO
잡고	잡/VV+고/EC
있다"는	있/VX+다/EF+"/SS+는/ETM
비판	비판/NNG
여론이	여론/NNG+이/JKS
커지고	커지/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.342.3.3
양보를 하기도, 계속 버티기도 힘든 진퇴양난의 상황이다.

양보를	양보/NNG+를/JKO
하기도,	하/VV+기/ETN+도/JX+,/SP
계속	계속/MAG
버티기도	버티/VV+기/ETN+도/JX
힘든	힘들/VA+ㄴ/ETM
진퇴양난의	진퇴양난/NNG+의/JKG
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.342.4.1
민주당은 27일 그동안 쟁점이 돼 온 방송통신위원회의 방송 진흥 업무 이관 문제에 대한 새로운 타협안을 제시했다.

민주당은	민주당/NNP+은/JX
27일	27/SN+일/NNB
그동안	그동안/NNG
쟁점이	쟁점/NNG+이/JKC
돼	되/VV+어/EC
온	오/VX+ㄴ/ETM
방송통신위원회의	방송/NNG+통신/NNG+위원회/NNG+의/JKG
방송	방송/NNG
진흥	진흥/NNG
업무	업무/NNG
이관	이관/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
타협안을	타협안/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.342.4.2
박근혜 대통령과 새누리당이 연일 야당의 양보를 요구하며 압박하는 데 대응하는 차원이었다.

박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JC
새누리당이	새누리당/NNP+이/JKS
연일	연일/MAG
야당의	야당/NNG+의/JKG
양보를	양보/NNG+를/JKO
요구하며	요구/NNG+하/XSV+며/EC
압박하는	압박/NNG+하/XSV+는/ETM
데	데/NNB
대응하는	대응/NNG+하/XSV+는/ETM
차원이었다.	차원/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.342.5.1
