# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.368
metadata : {}


# id : NWRW1800000044.368.1.1
“잔디밭에 고추 심은게 창조경제인가”

“잔디밭에	“/SS+잔디밭/NNG+에/JKB
고추	고추/NNG
심은게	심/VV+은/ETM+거/NNB+이/JKS
창조경제인가”	창조/NNG+경제/NNG+이/VCP+ㄴ가/EF+”/SS


# id : NWRW1800000044.368.2.1
[한겨레] 미래과학부장관 후보 청문회

[한겨레]	[/SS+한겨레/NNP+]/SS
미래과학부장관	미래/NNG+과학부/NNG+장관/NNG
후보	후보/NNG
청문회	청문회/NNG


# id : NWRW1800000044.368.3.1
“탈세금액 기부할 생각없나” 질문에

“탈세금액	“/SS+탈세/NNG+금액/NNG
기부할	기부/NNG+하/XSV+ㄹ/ETM
생각없나”	생각/NNG+없/VA+나/EF+”/SS
질문에	질문/NNG+에/JKB


# id : NWRW1800000044.368.4.1
“국세청과 협의 하겠다” 즉답 피해

“국세청과	“/SS+국세청/NNG+과/JKB
협의	협의/NNG
하겠다”	하/VV+겠/EP+다/EF+”/SS
즉답	즉답/NNG
피해	피하/VV+아/EF


# id : NWRW1800000044.368.5.1
7일 국회에서 열린 최양희 미래창조과학부 장관 후보자 청문회에서는 최 후보자의 탈세, 불법 농지전용, 병역 의혹 등 도덕성 검증과 함께 통신정책 등 직무능력 검증에 관련된 질의가 집중됐다.

7일	7/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
최양희	최양희/NNP
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
장관	장관/NNG
후보자	후보자/NNG
청문회에서는	청문회/NNG+에서/JKB+는/JX
최	최/NNP
후보자의	후보자/NNG+의/JKG
탈세,	탈세/NNG+,/SP
불법	불법/NNG
농지전용,	농지/NNG+전용/NNG+,/SP
병역	병역/NNG
의혹	의혹/NNG
등	등/NNB
도덕성	도덕/NNG+성/XSN
검증과	검증/NNG+과/JKB
함께	함께/MAG
통신정책	통신/NNG+정책/NNG
직무능력	직무/NNG+능력/NNG
검증에	검증/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
질의가	질의/NNG+가/JKS
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.368.5.2
애초 제기된 의혹에 대해 의원과 후보자 사이에 치열한 공방이 예상됐으나, 최 후보자가 의혹 대부분을 인정하고 사과하는 모습을 보이며 날 선 논쟁은 연출되지 않았다.

애초	애초/NNG
제기된	제기/NNG+되/XSV+ㄴ/ETM
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
의원과	의원/NNG+과/JC
후보자	후보자/NNG
사이에	사이/NNG+에/JKB
치열한	치열/NNG+하/XSA+ㄴ/ETM
공방이	공방/NNG+이/JKS
예상됐으나,	예상/NNG+되/XSV+었/EP+으나/EC+,/SP
최	최/NNP
후보자가	후보자/NNG+가/JKS
의혹	의혹/NNG
대부분을	대/XPN+부분/NNG+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
사과하는	사과/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보이며	보이/VV+며/EC
날	날/NNG
선	서/VV+ㄴ/ETM
논쟁은	논쟁/NNG+은/JX
연출되지	연출/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.368.5.3
야당은 최 후보자가 낮은 자세로 일관하자 끝까지 추궁하지 않았다.

야당은	야당/NNG+은/JX
최	최/NNP
후보자가	후보자/NNG+가/JKS
낮은	낮/VA+은/ETM
자세로	자세/NNG+로/JKB
일관하자	일관/NNG+하/XSV+자/EC
끝까지	끝/NNG+까지/JX
추궁하지	추궁/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.368.6.1
우상호 새정치민주연합 의원은 잔디밭 정원으로 쓰고 있던 농지에 다급하게 고추를 옮겨 심은 사진을 보이며 “농지엔 잔디를 심을 수 없다. 저게 불법이다 싶으니까 (고추 옮겨 심기를) 한 것 아닌가. 잔디와 고추를 융합시키는 게 창조경제인가”라고 물으며 최 후보자의 불법 농지전용 의혹을 지적했다.

우상호	우상호/NNP
새정치민주연합	새정치민주연합/NNP
의원은	의원/NNG+은/JX
잔디밭	잔디밭/NNG
정원으로	정원/NNG+으로/JKB
쓰고	쓰/VV+고/EC
있던	있/VX+던/ETM
농지에	농지/NNG+에/JKB
다급하게	다급하/VA+게/EC
고추를	고추/NNG+를/JKO
옮겨	옮기/VV+어/EC
심은	심/VV+은/ETM
사진을	사진/NNG+을/JKO
보이며	보이/VV+며/EC
“농지엔	“/SS+농지/NNG+에/JKB+ㄴ/JX
잔디를	잔디/NNG+를/JKO
심을	심/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF
저게	저거/NP+이/JKS
불법이다	불법/NNG+이/VCP+다/EF
싶으니까	싶/VX+으니까/EC
(고추	(/SS+고추/NNG
심기를)	심/VV+기/ETN+를/JKO+)/SS
한	하/VV+ㄴ/ETM
것	것/NNB
아닌가.	아니/VCN+ㄴ가/EF+./SF
잔디와	잔디/NNG+와/JC
융합시키는	융합/NNG+시키/XSV+는/ETM
게	거/NNB+이/JKS
창조경제인가”라고	창조/NNG+경제/NNG+이/VCP+ㄴ가/EF+”/SS+라고/JKQ
물으며	묻/VV+으며/EC
최	최/NNP
후보자의	후보자/NNG+의/JKG
불법	불법/NNG
농지전용	농지/NNG+전용/NNG
의혹을	의혹/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.368.6.2
이에 최 후보자는 “지적하신 부분 송구하게 생각한다”고 말했다.

이에	이/NP+에/JKB
최	최/NNP
후보자는	후보자/NNG+는/JX
“지적하신	“/SS+지적/NNG+하/XSV+시/EP+ㄴ/ETM
부분	부분/NNG
송구하게	송구하/VA+게/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.368.6.3
하지만 더이상 자세한 해명은 하지 않았다.

하지만	하지만/MAJ
더이상	더/MAG+이상/NNG
자세한	자세하/VA+ㄴ/ETM
해명은	해명/NNG+은/JX
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.368.6.4
우상호 의원은 최 후보자가 농지법 위반 사실에 대해 “개선하겠다”는 뜻을 밝히자 “오전에 사과하셨기 때문에 재론하지 않겠다”고 말했다.

우상호	우상호/NNP
의원은	의원/NNG+은/JX
최	최/NNP
후보자가	후보자/NNG+가/JKS
농지법	농지법/NNG
위반	위반/NNG
사실에	사실/NNG+에/JKB
대해	대하/VV+아/EC
“개선하겠다”는	“/SS+개선/NNG+하/XSV+겠/EP+다/EF+”/SS+는/ETM
뜻을	뜻/NNG+을/JKO
밝히자	밝히/VV+자/EC
“오전에	“/SS+오전/NNG+에/JKB
사과하셨기	사과/NNG+하/XSV+시/EP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
재론하지	재론/NNG+하/XSV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.368.6.5
이후 최 후보자가 농지법 위반 상황을 해소하기 위해 땅을 매각하거나, 잔디밭을 원래 농지로 돌릴 의사가 있는지 따져묻는 야당 의원들도 없었다.

이후	이후/NNG
최	최/NNP
후보자가	후보자/NNG+가/JKS
농지법	농지법/NNG
위반	위반/NNG
상황을	상황/NNG+을/JKO
해소하기	해소/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
땅을	땅/NNG+을/JKO
매각하거나,	매각/NNG+하/XSV+거나/EC+,/SP
잔디밭을	잔디밭/NNG+을/JKO
원래	원래/MAG
농지로	농지/NNG+로/JKB
돌릴	돌리/VV+ㄹ/ETM
의사가	의사/NNG+가/JKS
있는지	있/VA+는지/EF
따져묻는	따지/VV+어/EC+묻/VV+는/ETM
야당	야당/NNG
의원들도	의원/NNG+들/XSN+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000044.368.6.6
이대로면 최 후보자의 농지법 위반 사실은 면죄부를 받게 된다.

이대로면	이대로/MAG+이/VCP+면/EC
최	최/NNP
후보자의	후보자/NNG+의/JKG
농지법	농지법/NNG
위반	위반/NNG
사실은	사실/NNG+은/JX
면죄부를	면죄부/NNG+를/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.368.7.1
최 후보자의 탈세 행위에 대해서도 비판이 이어졌지만 탈세액 전액 납부에 대한 대답은 이끌어내지 못했다.

최	최/NNP
후보자의	후보자/NNG+의/JKG
탈세	탈세/NNG
행위에	행위/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
비판이	비판/NNG+이/JKS
이어졌지만	이어지/VV+었/EP+지만/EC
탈세액	탈세액/NNG
전액	전액/NNG
납부에	납부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대답은	대답/NNG+은/JX
이끌어내지	이끌/VV+어/EC+내/VX+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.368.7.2
유승희 새정치연합 의원은 서울 반포동 아파트 매도와 방배동 아파트 매입 때 최 후보자가 ‘다운계약서’(실거래 금액 이하로 꾸민 계약서)를 작성함으로써 양도세와 취득세 등을 탈세한 행위에 대해 “탈세 목적으로 부동산 다운계약서를 작성한 것 아니냐.

유승희	유승희/NNP
새정치연합	새정치연합/NNP
의원은	의원/NNG+은/JX
서울	서울/NNP
반포동	반포동/NNP
아파트	아파트/NNG
매도와	매도/NNG+와/JC
방배동	방배동/NNP
매입	매입/NNG
때	때/NNG
최	최/NNP
후보자가	후보자/NNG+가/JKS
‘다운계약서’(실거래	‘/SS+다운/NNG+계약서/NNG+’/SS+(/SS+실거래/NNG
금액	금액/NNG
이하로	이하/NNG+로/JKB
꾸민	꾸미/VV+ㄴ/ETM
계약서)를	계약서/NNG+)/SS+를/JKO
작성함으로써	작성/NNG+하/XSV+ㅁ/ETN+으로써/JKB
양도세와	양도세/NNG+와/JC
취득세	취득세/NNG
등을	등/NNB+을/JKO
탈세한	탈세/NNG+하/XSV+ㄴ/ETM
행위에	행위/NNG+에/JKB
대해	대하/VV+아/EC
“탈세	“/SS+탈세/NNG
목적으로	목적/NNG+으로/JKB
부동산	부동산/NNG
다운계약서를	다운/NNG+계약서/NNG+를/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐.	아니/VCN+냐/EF+./SF


# id : NWRW1800000044.368.7.3
허위신고로 탈세한 세금을 합치면 4179만원 정도”라고 지적했다.

허위신고로	허위/NNG+신고/NNG+로/JKB
탈세한	탈세/NNG+하/XSV+ㄴ/ETM
세금을	세금/NNG+을/JKO
합치면	합치/VV+면/EC
4179만원	4179/SN+만/NR+원/NNB
정도”라고	정도/NNG+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.368.7.4
전병헌 새정치연합 의원은 포스코 계열사 사외이사 급여 탈세 의혹을 지적했다.

전병헌	전병헌/NNP
새정치연합	새정치연합/NNP
의원은	의원/NNG+은/JX
포스코	포스코/NNP
계열사	계열사/NNG
사외이사	사외/NNG+이사/NNG
급여	급여/NNG
탈세	탈세/NNG
의혹을	의혹/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.368.7.5
전 의원은 “사외이사로 6년간 2억5000만원 정도 받았는데 소득세 과세 대상임에도 단 한 푼의 세금을 내지 않았기 때문에 소득세 탈세”라고 말했다.

전	전/NNP
의원은	의원/NNG+은/JX
“사외이사로	“/SS+사외/NNG+이사/NNG+로/JKB
6년간	6/SN+년/NNB+간/XSN
2억5000만원	2/SN+억/NR+5000/SN+만/NR+원/NNB
정도	정도/NNG
받았는데	받/VV+았/EP+는데/EC
소득세	소득세/NNG
과세	과세/NNG
대상임에도	대상/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
단	단/MMA
한	한/MMN
푼의	푼/NNB+의/JKG
세금을	세금/NNG+을/JKO
내지	내/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
탈세”라고	탈세/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.368.7.6
최 후보자는 “깊이 반성하고 있다”며 탈세를 인정했다.

최	최/NNP
후보자는	후보자/NNG+는/JX
“깊이	“/SS+깊이/MAG
반성하고	반성/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
탈세를	탈세/NNG+를/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.368.7.7
그러나 탈세가 확인된 전체 금액에 대해 시효와 관계없이 전액 납부하거나 사회적으로 기부할 의사가 없느냐는 야당 의원들의 질문에는 “국세청과 협의하겠다”며 즉답을 피했다.

그러나	그러나/MAJ
탈세가	탈세/NNG+가/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
전체	전체/NNG
금액에	금액/NNG+에/JKB
대해	대하/VV+아/EC
시효와	시효/NNG+와/JKB
관계없이	관계없이/MAG
전액	전액/NNG
납부하거나	납부/NNG+하/XSV+거나/EC
사회적으로	사회/NNG+적/XSN+으로/JKB
기부할	기부/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
없느냐는	없/VA+느냐는/ETM
야당	야당/NNG
의원들의	의원/NNG+들/XSN+의/JKG
질문에는	질문/NNG+에/JKB+는/JX
“국세청과	“/SS+국세청/NNG+과/JKB
협의하겠다”며	협의/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
즉답을	즉답/NNG+을/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.368.7.8
과거의 탈세액과 무관하게 최 후보자는 국세청이 내라는 액수만 내면 되는 상황이다.

과거의	과거/NNG+의/JKG
탈세액과	탈세액/NNG+과/JKB
무관하게	무관하/VA+게/EC
최	최/NNP
후보자는	후보자/NNG+는/JX
국세청이	국세청/NNG+이/JKS
내라는	내/VV+라는/ETM
액수만	액수/NNG+만/JX
내면	내/VV+면/EC
되는	되/VV+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.368.8.1
여당 의원들은 청문회에서 최 후보자의 의혹에 관해서는 일절 묻지 않았다.

여당	여당/NNG
의원들은	의원/NNG+들/XSN+은/JX
청문회에서	청문회/NNG+에서/JKB
최	최/NNP
후보자의	후보자/NNG+의/JKG
의혹에	의혹/NNG+에/JKB
관해서는	관하/VV+아서/EC+는/JX
일절	일절/MAG
묻지	묻/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.368.8.2
오히려 일부 의원은 최 후보자가 위법 행위에 대해 청문회에서 해명하는 일이 “곤혹스러운 부분도 있다”며 두둔하며 해명 기회를 보장하기도 했다.

오히려	오히려/MAG
일부	일부/NNG
의원은	의원/NNG+은/JX
최	최/NNP
후보자가	후보자/NNG+가/JKS
위법	위법/NNG
행위에	행위/NNG+에/JKB
대해	대하/VV+아/EC
청문회에서	청문회/NNG+에서/JKB
해명하는	해명/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
“곤혹스러운	“/SS+곤혹/NNG+스럽/XSA+ㄴ/ETM
부분도	부분/NNG+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
두둔하며	두둔/NNG+하/XSV+며/EC
해명	해명/NNG
기회를	기회/NNG+를/JKO
보장하기도	보장/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


