# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.52
metadata : {}


# id : NWRW1800000052.52.1.1
뜨거운 촛불 민심에…재벌 총수들 다수 “국정조사 증인 서겠다”

뜨거운	뜨겁/VA+ㄴ/ETM
촛불	촛불/NNG
민심에…재벌	민심/NNG+에/JKB+…/SE+재벌/NNG
총수들	총수/NNG+들/XSN
다수	다수/NNG
“국정조사	“/SS+국정/NNG+조사/NNG
증인	증인/NNG
서겠다”	서/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000052.52.2.1
다음달 5일 시작 국정조사에 재벌 총수 9명 출석 요구

다음달	다음/NNG+달/NNG
5일	5/SN+일/NNB
시작	시작/NNG
국정조사에	국정/NNG+조사/NNG+에/JKB
재벌	재벌/NNG
총수	총수/NNG
9명	9/SN+명/NNB
출석	출석/NNG
요구	요구/NNG


# id : NWRW1800000052.52.3.1
국정조사·특검 앞두고 ‘뇌물죄’ 수사로 튈까 전전긍긍

국정조사·특검	국정/NNG+조사/NNG+·/SP+특검/NNG
앞두고	앞두/VV+고/EC
‘뇌물죄’	‘/SS+뇌물죄/NNG+’/SS
수사로	수사/NNG+로/JKB
튈까	튀/VV+ㄹ까/EF
전전긍긍	전전긍긍/NNG


# id : NWRW1800000052.52.4.1
‘박근혜-최순실 게이트’ 국정조사 증인으로 채택된 재벌 총수들 다수가 ‘촛불 민심’을 의식한듯 국회에 출석할 뜻을 밝혔다.

‘박근혜-최순실	‘/SS+박근혜/NNP+-/SO+최순실/NNP
게이트’	게이트/NNG+’/SS
국정조사	국정/NNG+조사/NNG
증인으로	증인/NNG+으로/JKB
채택된	채택/NNG+되/XSV+ㄴ/ETM
재벌	재벌/NNG
총수들	총수/NNG+들/XSN
다수가	다수/NNG+가/JKS
‘촛불	‘/SS+촛불/NNG
민심’을	민심/NNG+’/SS+을/JKO
의식한듯	의식/NNG+하/XSV+ㄴ/ETM+듯/NNB
국회에	국회/NNG+에/JKB
출석할	출석/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.52.4.2
총수들이 증언대에 설 대기업들은 국정조사뿐 아니라 특별검사 조사까지 받아야 할 처지여서 대응에 부심하고 있다.

총수들이	총수/NNG+들/XSN+이/JKS
증언대에	증언대/NNG+에/JKB
설	서/VV+ㄹ/ETM
대기업들은	대/XPN+기업/NNG+들/XSN+은/JX
국정조사뿐	국정/NNG+조사/NNG+뿐/JX
아니라	아니/VCN+라/EC
특별검사	특별/NNG+검사/NNG
조사까지	조사/NNG+까지/JX
받아야	받/VV+아야/EC
할	하/VX+ㄹ/ETM
처지여서	처지/NNG+이/VCP+어서/EC
대응에	대응/NNG+에/JKB
부심하고	부심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.52.5.1
여야가 국정조사 청문회 증인으로 채택하기로 합의한 이들은 재계 상위권을 망라하는 9명으로, 역대 최대 규모로 재벌 총수들이 증언대에 설 전망이다.

여야가	여야/NNG+가/JKS
국정조사	국정/NNG+조사/NNG
청문회	청문회/NNG
증인으로	증인/NNG+으로/JKB
채택하기로	채택/NNG+하/XSV+기/ETN+로/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
이들은	이/NNB+들/XSN+은/JX
재계	재계/NNG
상위권을	상위/NNG+권/XSN+을/JKO
망라하는	망라/NNG+하/XSV+는/ETM
9명으로,	9/SN+명/NNB+으로/JKB+,/SP
역대	역대/NNG
최대	최대/NNG
규모로	규모/NNG+로/JKB
재벌	재벌/NNG
총수들이	총수/NNG+들/XSN+이/JKS
증언대에	증언대/NNG+에/JKB
설	서/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.52.5.2
이재용 삼성전자 부회장, 정몽구 현대차 회장, 최태원 에스케이(SK) 회장, 구본무 엘지(LG) 회장, 신동빈 롯데 회장, 김승연 한화 회장, 조양호 한진 회장, 손경식 씨제이(CJ) 회장, 허창수 지에스(GS) 회장(전국경제인연합회 회장)이 곧 소환장을 받을 것으로 보인다.

이재용	이재용/NNP
삼성전자	삼성전자/NNP
부회장,	부회장/NNG+,/SP
정몽구	정몽구/NNP
현대차	현대차/NNP
회장,	회장/NNG+,/SP
최태원	최태원/NNP
에스케이(SK)	에스케이/NNP+(/SS+SK/SL+)/SS
구본무	구본무/NNP
엘지(LG)	엘지/NNP+(/SS+LG/SL+)/SS
신동빈	신동빈/NNP
롯데	롯데/NNP
김승연	김승연/NNP
한화	한화/NNP
조양호	조양호/NNP
한진	한진/NNP
손경식	손경식/NNP
씨제이(CJ)	씨제이/NNP+(/SS+CJ/SL+)/SS
허창수	허창수/NNP
지에스(GS)	지에스/NNP+(/SS+GS/SL+)/SS
회장(전국경제인연합회	회장/NNG+(/SS+전국경제인연합회/NNP
회장)이	회장/NNG+)/SS+이/JKS
곧	곧/MAG
소환장을	소환장/NNG+을/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.52.5.3
국회가 잠정 결정한 소환일은 다음달 5일이다.

국회가	국회/NNG+가/JKS
잠정	잠정/NNG
결정한	결정/NNG+하/XSV+ㄴ/ETM
소환일은	소환일/NNG+은/JX
다음달	다음/NNG+달/NNG
5일이다.	5/SN+일/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.52.6.1
<한겨레>가 22일 관련 기업들에게 물으니 상당수가 출석하겠다거나 그럴 가능성이 높다고 답했다.

<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
22일	22/SN+일/NNB
관련	관련/NNG
기업들에게	기업/NNG+들/XSN+에게/JKB
물으니	묻/VV+으니/EC
상당수가	상당수/NNG+가/JKS
출석하겠다거나	출석/NNG+하/XSV+겠/EP+다거나/EC
그럴	그러/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다고	높/VA+다고/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.52.6.2
씨제이 관계자는 “현재로서는 국정조사에 손경식 회장이 나가기로 했다.

씨제이	씨제이/NNP
관계자는	관계자/NNG+는/JX
“현재로서는	“/SS+현재/NNG+로서/JKB+는/JX
국정조사에	국정/NNG+조사/NNG+에/JKB
손경식	손경식/NNP
회장이	회장/NNG+이/JKS
나가기로	나가/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.52.6.3
출석요구서가 오면 다른 기업과 보조를 맞춰 진행할 것”이라고 밝혔다.

출석요구서가	출석/NNG+요구서/NNG+가/JKS
오면	오/VV+면/EC
다른	다른/MMD
기업과	기업/NNG+과/JC
보조를	보조/NNG+를/JKO
맞춰	맞추/VV+어/EC
진행할	진행/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.52.6.4
롯데 쪽은 “국민 사이에 초미의 관심사이므로 신 회장이 국회에서 말하는 게 의무를 다 하는 것 아니겠냐”고 말했다.

롯데	롯데/NNP
쪽은	쪽/NNB+은/JX
“국민	“/SS+국민/NNG
사이에	사이/NNG+에/JKB
초미의	초미/NNG+의/JKG
관심사이므로	관심사/NNG+이/VCP+므로/EC
신	신/NNP
회장이	회장/NNG+이/JKS
국회에서	국회/NNG+에서/JKB
말하는	말/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
의무를	의무/NNG+를/JKO
다	다/MAG
하는	하/VV+는/ETM
것	것/NNB
아니겠냐”고	아니/VCN+겠/EP+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.52.6.5
한화, 지에스, 에스케이, 엘지, 한진도 총수가 출석할 것으로 예상된다거나 출석을 피하기 어렵다는 입장을 밝혔다.

한화,	한화/NNP+,/SP
지에스,	지에스/NNP+,/SP
에스케이,	에스케이/NNP+,/SP
엘지,	엘지/NNP+,/SP
한진도	한진/NNP+도/JX
총수가	총수/NNG+가/JKS
출석할	출석/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다거나	예상/NNG+되/XSV+ㄴ다거나/EC
출석을	출석/NNG+을/JKO
피하기	피하/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.52.6.6
이재용 삼성전자 부회장과 정몽구 현대차 회장 쪽은 출석 여부를 고민하는 것으로 알려졌다.

이재용	이재용/NNP
삼성전자	삼성전자/NNP
부회장과	부회장/NNG+과/JC
정몽구	정몽구/NNP
현대차	현대차/NNP
회장	회장/NNG
쪽은	쪽/NNB+은/JX
출석	출석/NNG
여부를	여부/NNG+를/JKO
고민하는	고민/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.52.7.1
