# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.255
metadata : {}


# id : NWRW1800000049.255.1.1
[특파원 칼럼/장원재]탄광의 카나리아 재일교포 60만

[특파원	[/SS+특파원/NNG
칼럼/장원재]탄광의	칼럼/NNG+//SP+장원재/NNP+]/SS+탄광/NNG+의/JKG
카나리아	카나리아/NNG
재일교포	재일/NNG+교포/NNG
60만	60/SN+만/NR


# id : NWRW1800000049.255.2.1
일본 법무성 입국관리국은 지난해 10월 말부터 올 1월 초까지 두 달 넘게 불법 체류 신고 메일 접수를 중단했다.

일본	일본/NNP
법무성	법무성/NNG
입국관리국은	입국/NNG+관리국/NNG+은/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
말부터	말/NNB+부터/JX
올	올/NNG
1월	1/SN+월/NNB
초까지	초/NNB+까지/JX
두	두/MMN
달	달/NNB
넘게	넘/VV+게/EC
불법	불법/NNG
체류	체류/NNG
신고	신고/NNG
메일	메일/NNG
접수를	접수/NNG+를/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.255.2.2
지난해 일본 넷우익(인터넷 우익) 사이에서 큰 화제였던 ‘7월 자이니치(재일교포) 추방 운동’ 때문이었다.

지난해	지난해/NNG
일본	일본/NNP
넷우익(인터넷	넷/NNG+우익/NNG+(/SS+인터넷/NNG
우익)	우익/NNG+)/SS
사이에서	사이/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
화제였던	화제/NNG+이/VCP+었/EP+던/ETM
‘7월	‘/SS+7/SN+월/NNB
자이니치(재일교포)	자이니치/NNG+(/SS+재일/NNG+교포/NNG+)/SS
추방	추방/NNG
운동’	운동/NNG+’/SS
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.255.3.1
지난해 7월 9일부터 재일교포 신분증이 지방자치단체가 발행하는 ‘외국인등록증명서’에서 국가가 발행하는 ‘특별영주자증명서’로 바뀌었다.

지난해	지난해/NNG
7월	7/SN+월/NNB
9일부터	9/SN+일/NNB+부터/JX
재일교포	재일/NNG+교포/NNG
신분증이	신분증/NNG+이/JKS
지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
발행하는	발행/NNG+하/XSV+는/ETM
‘외국인등록증명서’에서	‘/SS+외국인/NNG+등록/NNG+증명서/NNG+’/SS+에서/JKB
국가가	국가/NNG+가/JKS
‘특별영주자증명서’로	‘/SS+특별/NNG+영주자/NNG+증명서/NNG+’/SS+로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.255.3.2
이를 계기로 넷우익들은 지난해 초부터 ‘재일교포를 신고하면 최대 5만 엔(약 52만 원)의 포상금을 받을 수 있다’는 헛소문을 퍼뜨렸다

이를	이/NP+를/JKO
계기로	계기/NNG+로/JKB
넷우익들은	넷/NNG+우익/NNG+들/XSN+은/JX
지난해	지난해/NNG
초부터	초/NNB+부터/JX
‘재일교포를	‘/SS+재일/NNG+교포/NNG+를/JKO
신고하면	신고/NNG+하/XSV+면/EC
최대	최대/NNG
5만	5/SN+만/NR
엔(약	엔/NNB+(/SS+약/MMA
52만	52/SN+만/NR
원)의	원/NNB+)/SS+의/JKG
포상금을	포상금/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다’는	있/VA+다/EF+’/SS+는/ETM
헛소문을	헛/XPN+소문/NNG+을/JKO
퍼뜨렸다	퍼뜨리/VV+었/EP+다/EF


# id : NWRW1800000049.255.4.1
우익들은 증명서가 바뀌면 교포들이 통명(일본식 이름)을 쓸 수 없고, 군대에 안 간 사실도 드러날 것이라고 추정했다.

우익들은	우익/NNG+들/XSN+은/JX
증명서가	증명서/NNG+가/JKS
바뀌면	바뀌/VV+면/EC
교포들이	교포/NNG+들/XSN+이/JKS
통명(일본식	통명/NNG+(/SS+일본식/NNG
이름)을	이름/NNG+)/SS+을/JKO
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
군대에	군대/NNG+에/JKB
안	안/MAG
간	가/VV+ㄴ/ETM
사실도	사실/NNG+도/JX
드러날	드러나/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.255.4.2
병역법 위반으로 한국 여권이 말소되고, 일본 특별영주권도 사라지면 불법 체류자가 되기 때문에 신고하면 돈을 받고 이들을 내쫓을 수 있다는 논리였다.

병역법	병역법/NNG
위반으로	위반/NNG+으로/JKB
한국	한국/NNP
여권이	여권/NNG+이/JKS
말소되고,	말소/NNG+되/XSV+고/EC+,/SP
일본	일본/NNP
특별영주권도	특별/NNG+영주/NNG+권/XSN+도/JX
사라지면	사라지/VV+면/EC
불법	불법/NNG
체류자가	체류자/NNG+가/JKC
되기	되/VV+기/ETN
때문에	때문/NNB+에/JKB
신고하면	신고/NNG+하/XSV+면/EC
돈을	돈/NNG+을/JKO
받고	받/VV+고/EC
이들을	이/NP+들/XSN+을/JKO
내쫓을	내쫓/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
논리였다.	논리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.255.5.1
이는 전제부터가 틀린 것이다.

이는	이/NP+는/JX
전제부터가	전제/NNG+부터/JX+가/JKS
틀린	틀리/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.255.5.2
증명서 변경과 재류(체류) 자격은 관련이 없고, 일본에서 자란 재일교포는 병역 대상도 아니다.

증명서	증명서/NNG
변경과	변경/NNG+과/JC
재류(체류)	재류/NNG+(/SS+체류/NNG+)/SS
자격은	자격/NNG+은/JX
관련이	관련/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
일본에서	일본/NNP+에서/JKB
자란	자라/VV+ㄴ/ETM
재일교포는	재일/NNG+교포/NNG+는/JX
병역	병역/NNG
대상도	대상/NNG+도/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.255.5.3
그럼에도 월 500건 미만이던 신고는 지난해 5월 1821건, 6월 1562건으로 늘었다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
월	월/NNG
500건	500/SN+건/NNB
미만이던	미만/NNG+이/VCP+던/ETM
신고는	신고/NNG+는/JX
지난해	지난해/NNG
5월	5/SN+월/NNB
1821건,	1821/SN+건/NNB+,/SP
6월	6/SN+월/NNB
1562건으로	1562/SN+건/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.255.6.1
실제로 7월 9일이 되자 홈페이지가 마비될 정도로 신고가 폭증했다.

실제로	실제로/MAG
7월	7/SN+월/NNB
9일이	9/SN+일/NNB+이/JKC
되자	되/VV+자/EC
홈페이지가	홈페이지/NNG+가/JKS
마비될	마비/NNG+되/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
신고가	신고/NNG+가/JKS
폭증했다.	폭증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.255.6.2
하지만 이들이 바라던 ‘재일교포 추방’은 실현되지 않았다.

하지만	하지만/MAJ
이들이	이/NP+들/XSN+이/JKS
바라던	바라/VV+던/ETM
‘재일교포	‘/SS+재일/NNG+교포/NNG
추방’은	추방/NNG+’/SS+은/JX
실현되지	실현/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.255.6.3
그러자 ‘심판의 날’ 이후의 사이비종교 신도들처럼 넷우익들은 음모론으로 빠져들었다.

그러자	그러/VV+자/EC
‘심판의	‘/SS+심판/NNG+의/JKG
