# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.389
metadata : {}


# id : NWRW1800000052.389.1.1
“대립 치닫는 남북 ‘화이부동’으로 다시 화합하기를”

“대립	“/SS+대립/NNG
치닫는	치닫/VV+는/ETM
남북	남북/NNP
‘화이부동’으로	‘/SS+화이부동/NNG+’/SS+으로/JKB
다시	다시/MAG
화합하기를”	화합/NNG+하/XSV+기/ETN+를/JKO+”/SS


# id : NWRW1800000052.389.2.1
임동원 이사장 ‘심산상’ 수상 강연

임동원	임동원/NNP
이사장	이사장/NNG
‘심산상’	‘/SS+심산상/NNP+’/SS
수상	수상/NNG
강연	강연/NNG


# id : NWRW1800000052.389.3.1
‘화이부동.’ 임동원 한겨레통일문화재단 이사장 겸 한반도평화포럼 이사장이 3일 서울 종로구 성균관대 600주년 기념관에서 진행된 ‘제19회 심산상 시상식’에서 제시한 사자성어다.

‘화이부동.’	‘/SS+화이부동/NNG+./SF+’/SS
임동원	임동원/NNP
한겨레통일문화재단	한겨레통일문화재단/NNP
이사장	이사장/NNG
겸	겸/NNB
한반도평화포럼	한반도평화포럼/NNP
이사장이	이사장/NNG+이/JKS
3일	3/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
성균관대	성균관대/NNP
600주년	600/SN+주년/NNB
기념관에서	기념관/NNG+에서/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
‘제19회	‘/SS+제/XPN+19/SN+회/NNB
심산상	심산상/NNP
시상식’에서	시상식/NNG+’/SS+에서/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
사자성어다.	사자성어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.389.3.2
“서로 다르지만 다름을 인정하고 화합한다”는 뜻의 사자성어를 통해 현재 ‘대결’로 치닫는 남북관계가 다시 ‘대화와 화합’으로 나아가야 한다고 강조한 것이다.

“서로	“/SS+서로/MAG
다르지만	다르/VA+지만/EC
다름을	다르/VA+ㅁ/ETN+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
화합한다”는	화합/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
뜻의	뜻/NNG+의/JKG
사자성어를	사자성어/NNG+를/JKO
통해	통하/VV+아/EC
현재	현재/MAG
‘대결’로	‘/SS+대결/NNG+’/SS+로/JKB
치닫는	치닫/VV+는/ETM
남북관계가	남북/NNP+관계/NNG+가/JKS
다시	다시/MAG
‘대화와	‘/SS+대화/NNG+와/JC
화합’으로	화합/NNG+’/SS+으로/JKB
나아가야	나아가/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
강조한	강조/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.389.4.1
독립운동가이자 통일운동가 심산 김창숙 성균관대 초대 총장을 기리는 이 상을 주최한 심산김창숙연구회는 매회 시상식 때 수상자가 가장 선호하는 글귀를 서예로 써서 기념으로 준다.

독립운동가이자	독립운동가/NNG+이/VCP+자/EC
통일운동가	통일/NNG+운동가/NNG
심산	심산/NNP
김창숙	김창숙/NNP
성균관대	성균관대/NNP
초대	초대/NNG
총장을	총장/NNG+을/JKO
기리는	기리/VV+는/ETM
이	이/MMD
상을	상/NNG+을/JKO
주최한	주최/NNG+하/XSV+ㄴ/ETM
심산김창숙연구회는	심산김창숙연구회/NNP+는/JX
매회	매회/MAG
시상식	시상식/NNG
때	때/NNG
수상자가	수상자/NNG+가/JKS
가장	가장/MAG
선호하는	선호/NNG+하/XSV+는/ETM
글귀를	글귀/NNG+를/JKO
서예로	서예/NNG+로/JKB
써서	쓰/VV+어서/EC
기념으로	기념/NNG+으로/JKB
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.389.4.2
이날도 서예가인 유천 이동익 선생이 예서체로 쓴 ‘화이부동’을 대형 액자에 표구해줬다.

이날도	이날/NNG+도/JX
서예가인	서예가/NNG+이/VCP+ㄴ/ETM
유천	유천/NNP
이동익	이동익/NNP
선생이	선생/NNG+이/JKS
예서체로	예서체/NNG+로/JKB
쓴	쓰/VV+ㄴ/ETM
‘화이부동’을	‘/SS+화이부동/NNG+’/SS+을/JKO
대형	대형/NNG
액자에	액자/NNG+에/JKB
표구해줬다.	표구/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.389.5.1
김정탁 심산김창숙연구회 회장(성균관대 신문방송학과 교수)은 시상식에서 “현재의 남북관계는 해방 정국에서 김구 선생 등과 함께 통일정부 수립운동을 벌였던 심산 선생이 보신다면 매우 못마땅해할 상황”이라며 “2000년 남북정상회담 성사에 큰 기여를 하는 등 임 이사장의 피스 메이커 활동은 심산의 평화통일 정신을 이 시대에 잘 구현한 것”이라고 선정 이유를 설명했다.

김정탁	김정탁/NNP
심산김창숙연구회	심산김창숙연구회/NNP
회장(성균관대	회장/NNG+(/SS+성균관대/NNP
신문방송학과	신문/NNG+방송학과/NNG
교수)은	교수/NNG+)/SS+은/JX
시상식에서	시상식/NNG+에서/JKB
“현재의	“/SS+현재/NNG+의/JKG
남북관계는	남북/NNP+관계/NNG+는/JX
해방	해방/NNG
정국에서	정국/NNG+에서/JKB
김구	김구/NNP
선생	선생/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
통일정부	통일/NNG+정부/NNG
수립운동을	수립/NNG+운동/NNG+을/JKO
벌였던	벌이/VV+었/EP+던/ETM
심산	심산/NNP
선생이	선생/NNG+이/JKS
보신다면	보/VV+시/EP+ㄴ다면/EC
매우	매우/MAG
못마땅해할	못마땅하/VA+아/EC+하/VX+ㄹ/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“2000년	“/SS+2000/SN+년/NNB
남북정상회담	남북/NNP+정상/NNG+회담/NNG
성사에	성사/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기여를	기여/NNG+를/JKO
하는	하/VV+는/ETM
등	등/NNB
임	임/NNP
이사장의	이사장/NNG+의/JKG
피스	피스/NNG
메이커	메이커/NNG
활동은	활동/NNG+은/JX
심산의	심산/NNP+의/JKG
평화통일	평화/NNG+통일/NNG
정신을	정신/NNG+을/JKO
이	이/MMD
시대에	시대/NNG+에/JKB
잘	잘/MAG
구현한	구현/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
선정	선정/NNG
이유를	이유/NNG+를/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.389.6.1
임 이사장은 수상 강연에서 “박근혜 대통령이 ‘한반도에 전쟁의 위험이 올 수도 있다’고 경고할 정도로 현재 남북간 긴장이 높아져 있다”며 “새로운 사고로 한반도 평화프로세스를 다시 시작해야 할 때”라고 강조했다.

임	임/NNP
이사장은	이사장/NNG+은/JX
수상	수상/NNG
강연에서	강연/NNG+에서/JKB
“박근혜	“/SS+박근혜/NNP
대통령이	대통령/NNG+이/JKS
‘한반도에	‘/SS+한반도/NNP+에/JKB
전쟁의	전쟁/NNG+의/JKG
위험이	위험/NNG+이/JKS
올	오/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다’고	있/VA+다/EF+’/SS+고/JKQ
경고할	경고/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
현재	현재/MAG
남북간	남북/NNP+간/NNB
긴장이	긴장/NNG+이/JKS
높아져	높아지/VV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“새로운	“/SS+새롭/VA+ㄴ/ETM
사고로	사고/NNG+로/JKB
한반도	한반도/NNP
평화프로세스를	평화/NNG+프로세스/NNG+를/JKO
다시	다시/MAG
시작해야	시작/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
때”라고	때/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.389.6.2
