# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.175
metadata : {}


# id : NWRW1800000056.175.1.1
“1월 조기 탄핵”…전국 동시다발 집중촛불

“1월	“/SS+1/SN+월/NNB
조기	조기/NNG
탄핵”…전국	탄핵/NNG+”/SS+…/SE+전국/NNG
동시다발	동시다발/NNG
집중촛불	집중/NNG+촛불/NNG


# id : NWRW1800000056.175.2.1
[한겨레] “2017년 우리가 새롭게 쓰는 혁명은 박근혜와 함께 박근혜 체제를 청산하는 일이다.”

[한겨레]	[/SS+한겨레/NNP+]/SS
“2017년	“/SS+2017/SN+년/NNB
우리가	우리/NP+가/JKS
새롭게	새롭/VA+게/EC
쓰는	쓰/VV+는/ETM
혁명은	혁명/NNG+은/JX
박근혜와	박근혜/NNP+와/JKB
함께	함께/MAG
박근혜	박근혜/NNP
체제를	체제/NNG+를/JKO
청산하는	청산/NNG+하/XSV+는/ETM
일이다.”	일/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000056.175.3.1
1600여개 시민사회단체가 모인 박근혜정권퇴진 비상국민행동(퇴진행동)은 11일 오후 서울 정동 프란치스코 교육회관에서 전국대표자회의 신년 기자회견을 열고 신년메시지를 발표했다.

1600여개	1600/SN+여/XSN+개/NNB
시민사회단체가	시민/NNG+사회단체/NNG+가/JKS
모인	모이/VV+ㄴ/ETM
박근혜정권퇴진	박근혜/NNP+정권/NNG+퇴진/NNG
비상국민행동(퇴진행동)은	비상/NNG+국민/NNG+행동/NNG+(/SS+퇴진/NNG+행동/NNG+)/SS+은/JX
11일	11/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
정동	정동/NNP
프란치스코	프란치스코/NNP
교육회관에서	교육/NNG+회관/NNG+에서/JKB
전국대표자회의	전국/NNG+대표자/NNG+회의/NNG
신년	신년/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
신년메시지를	신년/NNG+메시지/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.175.3.2
퇴진행동은 신년 메시지에서 “1987년 호헌철폐와 독재 타도 함성으로 시민주권 시대를 열었다면, 30년 이후인 지금 세계사에 남을 시민혁명의 한장을 다시 쓰고 있다.

퇴진행동은	퇴진/NNG+행동/NNG+은/JX
신년	신년/NNG
메시지에서	메시지/NNG+에서/JKB
“1987년	“/SS+1987/SN+년/NNB
호헌철폐와	호헌/NNG+철폐/NNG+와/JC
독재	독재/NNG
타도	타도/NNG
함성으로	함성/NNG+으로/JKB
시민주권	시민/NNG+주권/NNG
시대를	시대/NNG+를/JKO
열었다면,	열/VV+었/EP+다면/EC+,/SP
30년	30/SN+년/NNB
이후인	이후/NNG+이/VCP+ㄴ/ETM
지금	지금/MAG
세계사에	세계사/NNG+에/JKB
남을	남/VV+을/ETM
시민혁명의	시민/NNG+혁명/NNG+의/JKG
한장을	한/MMN+장/NNB+을/JKO
다시	다시/MAG
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.175.3.3
놀라운 시간을 관통하고 있다”고 밝혔다.

놀라운	놀랍/VA+ㄴ/ETM
시간을	시간/NNG+을/JKO
관통하고	관통/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.175.3.4
이어 “우리가 사는 세상을 더는 헬조선이라 쓰지 않을 것이다.

이어	이어/MAG
“우리가	“/SS+우리/NP+가/JKS
사는	살/VV+는/ETM
세상을	세상/NNG+을/JKO
더는	더/MAG+는/JX
헬조선이라	헬조선/NNG+이/VCP+라/EC
쓰지	쓰/VV+지/EC
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.175.3.5
힘이 없어도 몫이 있는 세상을 만들 것이다.

힘이	힘/NNG+이/JKS
없어도	없/VA+어도/EC
몫이	몫/NNG+이/JKS
있는	있/VA+는/ETM
세상을	세상/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.175.3.6
1987년 시민이 헌법을 바꿨다면, 2017년 우리는 세상을 바꿀 것이다.

1987년	1987/SN+년/NNB
시민이	시민/NNG+이/JKS
헌법을	헌법/NNG+을/JKO
바꿨다면,	바꾸/VV+었/EP+다면/EC+,/SP
2017년	2017/SN+년/NNB
우리는	우리/NP+는/JX
세상을	세상/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.175.3.7
반칙과 패권을 부수고 정의와 진실, 민주주의가 승리하는 세상, 주권자가 통치하는 함께 사는 세상을 만들 것이다”라고 밝혔다.

반칙과	반칙/NNG+과/JC
패권을	패권/NNG+을/JKO
부수고	부수/VV+고/EC
정의와	정의/NNG+와/JC
진실,	진실/NNG+,/SP
민주주의가	민주주의/NNG+가/JKS
승리하는	승리/NNG+하/XSV+는/ETM
세상,	세상/NNG+,/SP
주권자가	주권자/NNG+가/JKS
통치하는	통치/NNG+하/XSV+는/ETM
함께	함께/MAG
사는	살/VV+는/ETM
세상을	세상/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.175.4.1
