# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.71
metadata : {}


# id : NWRW1800000026.71.1.1
[녹색 행복도시 의정부] 4대 하천 생태복원… 생명력 넘치는 도시로

[녹색	[/SS+녹색/NNG
행복도시	행복/NNG+도시/NNG
의정부]	의정부/NNP+]/SS
4대	4/SN+대/NNG
하천	하천/NNG
생태복원…	생태/NNG+복원/NNG+…/SE
생명력	생명력/NNG
넘치는	넘치/VV+는/ETM
도시로	도시/NNG+로/JKB


# id : NWRW1800000026.71.2.1
중랑천·부용천·백석천·회룡천 등 시내를 흐르는 4대 하천의 생태복원 사업도 도시에 생기를 불어넣고 있다.

중랑천·부용천·백석천·회룡천	중랑천/NNP+·/SP+부용천/NNP+·/SP+백석천/NNP+·/SP+회룡천/NNP
등	등/NNB
시내를	시내/NNG+를/JKO
흐르는	흐르/VV+는/ETM
4대	4/SN+대/NNG
하천의	하천/NNG+의/JKG
생태복원	생태/NNG+복원/NNG
사업도	사업/NNG+도/JX
도시에	도시/NNG+에/JKB
생기를	생기/NNG+를/JKO
불어넣고	불어넣/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.71.2.2
6.3㎞와 3.6㎞의 복원을 마친 중랑천과 부용천은 수질이 4등급에서 2등급으로 개선돼 물고기와 철새들의 보금자리가 됐다.

6.3㎞와	6/SN+./SP+3/SN+㎞/SW+와/JC
3.6㎞의	3/SN+./SP+6/SN+㎞/SW+의/JKG
복원을	복원/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
중랑천과	중랑천/NNP+과/JC
부용천은	부용천/NNP+은/JX
수질이	수질/NNG+이/JKS
4등급에서	4/SN+등급/NNG+에서/JKB
2등급으로	2/SN+등급/NNG+으로/JKB
개선돼	개선/NNG+되/XSV+어/EC
물고기와	물고기/NNG+와/JC
철새들의	철새/NNG+들/XSN+의/JKG
보금자리가	보금자리/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.71.2.3
하천에 마련된 공원과 체육시설은 주민들로 붐비고 있다.

하천에	하천/NNG+에/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
공원과	공원/NNG+과/JC
체육시설은	체육/NNG+시설/NNG+은/JX
주민들로	주민/NNG+들/XSN+로/JKB
붐비고	붐비/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.71.3.1
의정부시는 올해 중랑천과 부용천에서 거둔 성공을 백석천과 회룡천에서 이어간다는 계획이다.

의정부시는	의정부시/NNP+는/JX
올해	올해/NNG
중랑천과	중랑천/NNP+과/JC
부용천에서	부용천/NNP+에서/JKB
거둔	거두/VV+ㄴ/ETM
성공을	성공/NNG+을/JKO
백석천과	백석천/NNP+과/JC
회룡천에서	회룡천/NNP+에서/JKB
이어간다는	잇/VV+어/EC+가/VX+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.71.3.2
시청 등 도심 한가운데를 지나는 백석천은 그 동안 물이 말라 수질이 악화된 데다 각종 쓰레기로 몸살을 앓던 곳이었다.

시청	시청/NNG
등	등/NNB
도심	도심/NNG
한가운데를	한/XPN+가운데/NNG+를/JKO
지나는	지나/VV+는/ETM
백석천은	백석천/NNP+은/JX
그	그/MMD
동안	동안/NNG
물이	물/NNG+이/JKS
말라	마르/VV+아/EC
수질이	수질/NNG+이/JKS
악화된	악화/NNG+되/XSV+ㄴ/ETM
데다	데/NNB+다/JX
각종	각종/NNG
