# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.364
metadata : {}


# id : NWRW1800000026.364.1.1
[뉴스 블로그] 깜깜이 타이어 가격… 부르는 게 값

[뉴스	[/SS+뉴스/NNG
블로그]	블로그/NNG+]/SS
깜깜이	깜깜이/NNG
타이어	타이어/NNG
가격…	가격/NNG+…/SE
부르는	부르/VV+는/ETM
게	거/NNB+이/JKS
값	값/NNG


# id : NWRW1800000026.364.2.1
지난 6일 서울 강남구 개포동 아파트단지 근처의 한 카센터를 찾았습니다.

지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
개포동	개포동/NNP
아파트단지	아파트/NNG+단지/NNG
근처의	근처/NNG+의/JKG
한	한/MMN
카센터를	카센터/NNG+를/JKO
찾았습니다.	찾/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.364.2.2
"새 타이어를 사려고 하는데…"라며 말을 꺼내자, 가게 주인은 대뜸 "차는 가져왔느냐"고 물었습니다.

"새	"/SS+새/MMA
타이어를	타이어/NNG+를/JKO
사려고	사/VV+려고/EC
하는데…"라며	하/VX+는데/EC+…/SE+"/SS+이/VCP+라며/EC
말을	말/NNG+을/JKO
꺼내자,	꺼내/VV+자/EC+,/SP
가게	가게/NNG
주인은	주인/NNG+은/JX
대뜸	대뜸/MAG
"차는	"/SS+차/NNG+는/JX
가져왔느냐"고	가져오/VV+았/EP+느냐/EF+"/SS+고/JKQ
물었습니다.	묻/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000026.364.2.3
"일단 가격만 알아보고 있다"고 하자, "무슨 차냐, 몇 인치냐, 어떤 종류냐"는 등의 질문이 이어졌습니다.

"일단	"/SS+일단/MAG
가격만	가격/NNG+만/JX
알아보고	알아보/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
"무슨	"/SS+무슨/MMD
차냐,	차/NNG+이/VCP+냐/EF+,/SP
몇	몇/NR
인치냐,	인치/NNB+이/VCP+냐/EF+,/SP
어떤	어떤/MMD
종류냐"는	종류/NNG+이/VCP+냐/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
질문이	질문/NNG+이/JKS
이어졌습니다.	이어지/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000026.364.2.4
대중적으로 쓰이는 국산 4계절용 타이어의 제품명을 말하자, "장착 비용을 합쳐 4개에 40만원 가까이 든다"며 좀 더 저렴한 다른 모델을 권했습니다.

대중적으로	대중/NNG+적/XSN+으로/JKB
쓰이는	쓰이/VV+는/ETM
국산	국산/NNG
4계절용	4/SN+계절/NNG+용/XSN
타이어의	타이어/NNG+의/JKG
제품명을	제품명/NNG+을/JKO
말하자,	말/NNG+하/XSV+자/EC+,/SP
"장착	"/SS+장착/NNG
비용을	비용/NNG+을/JKO
합쳐	합치/VV+어/EC
4개에	4/SN+개/NNB+에/JKB
40만원	40/SN+만/NR+원/NNB
가까이	가까이/MAG
든다"며	들/VV+ㄴ다/EF+"/SS+며/EC
좀	좀/MAG
더	더/MAG
저렴한	저렴하/VA+ㄴ/ETM
다른	다른/MMD
모델을	모델/NNG+을/JKO
권했습니다.	권/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.364.3.1
이번엔 제법 규모가 있는 근처 타이어 전문매장을 찾았습니다.

이번엔	이번/NNG+에/JKB+ㄴ/JX
제법	제법/MAG
규모가	규모/NNG+가/JKS
있는	있/VA+는/ETM
근처	근처/NNG
타이어	타이어/NNG
전문매장을	전문/NNG+매장/NNG+을/JKO
찾았습니다.	찾/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.364.3.2
3층짜리 매장을 채운 타이어가 수십 종은 되겠더군요.

3층짜리	3/SN+층/NNG+짜리/XSN
매장을	매장/NNG+을/JKO
채운	채우/VV+ㄴ/ETM
타이어가	타이어/NNG+가/JKS
수십	수십/NR
종은	종/NNG+은/JX
되겠더군요.	되/VV+겠/EP+더군/EF+요/JX+./SF


# id : NWRW1800000026.364.3.3
영업사원이 "어떤 모델을 보러 왔느냐"며 다가왔습니다.

영업사원이	영업/NNG+사원/NNG+이/JKS
"어떤	"/SS+어떤/MMD
모델을	모델/NNG+을/JKO
보러	보/VV+러/EC
왔느냐"며	오/VX+았/EP+느냐/EF+"/SS+며/EC
다가왔습니다.	다가오/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.364.3.4
카센터에서 말했던 같은 타이어 제품을 언급하자 "장착하는 것과 얼라이먼트(바퀴의 기울임 각도) 교정까지 31만원에 해 주겠다"고 하더군요.

카센터에서	카센터/NNG+에서/JKB
말했던	말/NNG+하/XSV+았/EP+던/ETM
같은	같/VA+은/ETM
타이어	타이어/NNG
제품을	제품/NNG+을/JKO
언급하자	언급/NNG+하/XSV+자/EC
