# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.209
metadata : {}


# id : NWRW1800000038.209.1.1
"전기요금 최대 40% 줄인다" 선전해 석달간 2만대 판매… '폭염 특수' 전기절감기, 실제론 節電 안돼

"전기요금	"/SS+전기/NNG+요금/NNG
최대	최대/NNG
40%	40/SN+%/SW
줄인다"	줄이/VV+ㄴ다/EF+"/SS
선전해	선전/NNG+하/XSV+아/EC
석달간	석/MMN+달/NNB+간/XSN
2만대	2/SN+만/NR+대/NNB
판매…	판매/NNG+…/SE
'폭염	'/SS+폭염/NNG
특수'	특수/NNG+'/SS
전기절감기,	전기/NNG+절감기/NNG+,/SP
실제론	실제로/MAG+ㄴ/JX
節電	節電/SH
안돼	안/MAG+되/XSV+어/EF


# id : NWRW1800000038.209.2.1
대당 가격만 10만~30만원, 韓電 "전혀 근거없는 이야기"소비자들 항의 민원 줄이어

대당	대/NNB+당/XSN
가격만	가격/NNG+만/JX
10만~30만원,	10/SN+만/NR+~/SO+30/SN+만/NR+원/NNB+,/SP
韓電	韓電/SH
"전혀	"/SS+전혀/MAG
근거없는	근거/NNG+없/VA+는/ETM
이야기"소비자들	이야기/NNG+"/SS+소비자/NNG+들/XSN
항의	항의/NNG
민원	민원/NNG
줄이어	줄/NNG+잇/VV+어/EF


# id : NWRW1800000038.209.3.1
폭염(暴炎)으로 전력 수요가 급증하고 있는 가운데 전기요금을 최대 40%까지 줄여준다고 선전해 인기를 끌고 있는 가정용 '전기절감기'가 실제로는 효과가 없는 것으로 나타났다.

폭염(暴炎)으로	폭염/NNG+(/SS+暴炎/SH+)/SS+으로/JKB
전력	전력/NNG
수요가	수요/NNG+가/JKS
급증하고	급증/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
전기요금을	전기/NNG+요금/NNG+을/JKO
최대	최대/NNG
40%까지	40/SN+%/SW+까지/JX
줄여준다고	줄이/VV+어/EC+주/VX+ㄴ다고/EC
선전해	선전/NNG+하/XSV+아/EC
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
가정용	가정/NNG+용/XSN
'전기절감기'가	'/SS+전기/NNG+절감기/NNG+'/SS+가/JKS
실제로는	실제로/MAG+는/JX
효과가	효과/NNG+가/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.209.3.2
업계에서는 대당 10만~30만원의 전기절감기가 최근 3개월 동안 인터넷 쇼핑몰과 방문 판매원 등을 통해 2만대 이상 팔려나간 것으로 추산하고 있다.

업계에서는	업계/NNG+에서/JKB+는/JX
대당	대/NNB+당/XSN
10만~30만원의	10/SN+만/NR+~/SO+30/SN+만/NR+원/NNB+의/JKG
전기절감기가	전기/NNG+절감기/NNG+가/JKS
최근	최근/MAG
3개월	3/SN+개월/NNB
동안	동안/NNG
인터넷	인터넷/NNG
쇼핑몰과	쇼핑몰/NNG+과/JKB
방문	방문/NNG
판매원	판매원/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
2만대	2/SN+만/NR+대/NNB
이상	이상/NNG
팔려나간	팔리/VV+어/EC+나가/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
추산하고	추산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.209.4.1
한국전력 측은 16일 "전기절감기는 전기료 책정 방식을 시민들이 잘 알지 못한다는 점을 노린 것으로 전기 요금을 절약할 수 있다는 것은 전혀 사실무근"이라고 밝혔다.

한국전력	한국전력/NNP
측은	측/NNB+은/JX
16일	16/SN+일/NNB
