# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.145
metadata : {}


# id : NWRW1800000036.145.1.1
‘JYJ’ 소송 족쇄 풀렸다

‘JYJ’	‘/SS+JYJ/SL+’/SS
소송	소송/NNG
족쇄	족쇄/NNG
풀렸다	풀리/VV+었/EP+다/EF


# id : NWRW1800000036.145.2.1
[한겨레] SM과 ‘동방신기 전속계약 만료’ 합의

[한겨레]	[/SS+한겨레/NNP+]/SS
SM과	SM/SL+과/JKB
‘동방신기	‘/SS+동방신기/NNP
전속계약	전속/NNG+계약/NNG
만료’	만료/NNG+’/SS
합의	합의/NNG


# id : NWRW1800000036.145.3.1
아이돌 그룹 ‘동방신기’ 출신의 3인조 그룹 ‘제이와이제이’(김재중·박유천·김준수·사진)와 전 소속사 에스엠엔터테인먼트(SM)의 전속계약에 관한 법적 분쟁이 3년4개월만에 합의로 마무리됐다.

아이돌	아이돌/NNG
그룹	그룹/NNG
‘동방신기’	‘/SS+동방신기/NNP+’/SS
출신의	출신/NNG+의/JKG
3인조	3/SN+인/NNG+조/NNG
‘제이와이제이’(김재중·박유천·김준수·사진)와	‘/SS+제이와이제이/NNP+’/SS+(/SS+김재중/NNP+·/SP+박유천/NNP+·/SP+김준수/NNP+·/SP+사진/NNG+)/SS+와/JKB
전	전/MMD
소속사	소속사/NNG
에스엠엔터테인먼트(SM)의	에스엠엔터테인먼트/NNP+(/SS+SM/SL+)/SS+의/JKG
전속계약에	전속/NNG+계약/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법적	법/NNG+적/XSN
분쟁이	분쟁/NNG+이/JKS
3년4개월만에	3/SN+년/NNB+4/SN+개월/NNB+만/NNB+에/JKB
합의로	합의/NNG+로/JKB
마무리됐다.	마무리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.145.4.1
제이와이제이의 법률 대리인인 법무법인 세종은 28일 “양쪽의 전속계약을 2009년 7월로 종료하고, 앞으로 활동을 간섭하지 않기로 이날 서울중앙지법에서 임의조정을 통해 합의했다”고 밝혔다.

제이와이제이의	제이와이제이/NNP+의/JKG
법률	법률/NNG
대리인인	대리인/NNG+이/VCP+ㄴ/ETM
법무법인	법무/NNG+법인/NNG
세종은	세종/NNP+은/JX
28일	28/SN+일/NNB
“양쪽의	“/SS+양쪽/NNG+의/JKG
전속계약을	전속/NNG+계약/NNG+을/JKO
2009년	2009/SN+년/NNB
7월로	7/SN+월/NNB+로/JKB
