# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.358
metadata : {}


# id : NWRW1800000041.358.1.1
국정감사, “서면답변-화상질의 활용… 증인채택 기준 강화해야”

국정감사,	국정/NNG+감사/NNG+,/SP
“서면답변-화상질의	“/SS+서면/NNG+답변/NNG+-/SO+화상/NNG+질의/NNG
활용…	활용/NNG+…/SE
증인채택	증인/NNG+채택/NNG
기준	기준/NNG
강화해야”	강화/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000041.358.2.1
[달라지지 않은 구태 국감]국감 제도개선 커지는 목소리

[달라지지	[/SS+달라지/VV+지/EC
않은	않/VX+은/ETM
구태	구태/NNG
국감]국감	국감/NNG+]/SS+국감/NNG
제도개선	제도/NNG+개선/NNG
커지는	커지/VV+는/ETM
목소리	목소리/NNG


# id : NWRW1800000041.358.3.1
국정감사에서 증인 채택 논란이 끊이지 않자 정치권에서도 증인 채택제도를 개선하자는 목소리가 커지고 있다.

국정감사에서	국정/NNG+감사/NNG+에서/JKB
증인	증인/NNG
채택	채택/NNG
논란이	논란/NNG+이/JKS
끊이지	끊이/VV+지/EC
않자	않/VX+자/EC
정치권에서도	정치/NNG+권/XSN+에서/JKB+도/JX
채택제도를	채택/NNG+제도/NNG+를/JKO
개선하자는	개선/NNG+하/XSV+자는/ETM
목소리가	목소리/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.358.4.1
현재 국회의원은 증인 채택을 할 때 출석요구서에 신청 이유를 써야 한다.

현재	현재/MAG
국회의원은	국회/NNG+의원/NNG+은/JX
증인	증인/NNG
채택을	채택/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
출석요구서에	출석/NNG+요구서/NNG+에/JKB
신청	신청/NNG
이유를	이유/NNG+를/JKO
써야	쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.358.4.2
하지만 실제로는 분량이 한 줄 정도에 불과해 구체적인 신문 내용을 파악하기 어렵다는 것이 문제다.

하지만	하지만/MAJ
실제로는	실제로/MAG+는/JX
분량이	분량/NNG+이/JKS
한	한/MMN
줄	줄/NNG
정도에	정도/NNG+에/JKB
불과해	불과/MAG+하/XSA+아/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
신문	신문/NNG
내용을	내용/NNG+을/JKO
파악하기	파악/NNG+하/XSV+기/ETN
어렵다는	어렵/VA+다는/ETM
것이	것/NNB+이/JKS
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.358.4.3
이와 관련해 새누리당 이상일 의원은 국회 국정감사나 청문회에 출석을 요구받은 증인이나 참고인이 서면으로 충분하게 답변하면 출석하지 않아도 된다는 내용의 ‘국회에서의 증언·감정 등에 관한 법률’ 개정안을 최근 발의했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
새누리당	새누리당/NNP
이상일	이상일/NNP
의원은	의원/NNG+은/JX
국회	국회/NNG
국정감사나	국정/NNG+감사/NNG+나/JC
청문회에	청문회/NNG+에/JKB
출석을	출석/NNG+을/JKO
요구받은	요구/NNG+받/XSV+은/ETM
증인이나	증인/NNG+이나/JC
참고인이	참고인/NNG+이/JKS
서면으로	서면/NNG+으로/JKB
충분하게	충분하/VA+게/EC
답변하면	답변/NNG+하/XSV+면/EC
출석하지	출석/NNG+하/XSV+지/EC
않아도	않/VX+아도/EC
된다는	되/VV+ㄴ다는/ETM
내용의	내용/NNG+의/JKG
‘국회에서의	‘/SS+국회/NNG+에서/JKB+의/JKG
증언·감정	증언/NNG+·/SP+감정/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률/NNG+’/SS
개정안을	개정안/NNG+을/JKO
최근	최근/MAG
발의했다.	발의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.358.5.1
같은 당 이노근 의원도 국정감사 또는 국정조사와 직접 관련이 있는 사람만 증인·참고인으로 채택할 수 있도록 증인 채택을 엄격하게 하자는 내용의 개정안을 발의했다.

같은	같/VA+은/ETM
당	당/NNG
이노근	이노근/NNP
의원도	의원/NNG+도/JX
국정감사	국정/NNG+감사/NNG
또는	또는/MAG
국정조사와	국정/NNG+조사/NNG+와/JKB
직접	직접/MAG
관련이	관련/NNG+이/JKS
있는	있/VA+는/ETM
사람만	사람/NNG+만/JX
증인·참고인으로	증인/NNG+·/SP+참고인/NNG+으로/JKB
채택할	채택/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
증인	증인/NNG
채택을	채택/NNG+을/JKO
엄격하게	엄격/NNG+하/XSA+게/EC
하자는	하/VX+자는/ETM
내용의	내용/NNG+의/JKG
개정안을	개정안/NNG+을/JKO
발의했다.	발의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.358.6.1
전문가들은 증인과 참고인의 채택 기준을 더 신중하고 엄격하게 해야 한다고 강조했다.

전문가들은	전문가/NNG+들/XSN+은/JX
증인과	증인/NNG+과/JC
참고인의	참고인/NNG+의/JKG
채택	채택/NNG
기준을	기준/NNG+을/JKO
더	더/MAG
신중하고	신중/NNG+하/XSA+고/EC
엄격하게	엄격/NNG+하/XSA+게/EC
해야	하/VX+아야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.358.6.2
최창렬 용인대 교수는 26일 “여야 합의로 사안의 경중을 판단해 국감 현장에 반드시 출석시킬 필요가 없는 증인·참고인은 서면 답변이나 화상질의 같은 방법으로 출석을 대체할 수 있다”고 제안했다.

최창렬	최창렬/NNP
용인대	용인대/NNP
교수는	교수/NNG+는/JX
26일	26/SN+일/NNB
“여야	“/SS+여야/NNG
합의로	합의/NNG+로/JKB
사안의	사안/NNG+의/JKG
경중을	경중/NNG+을/JKO
판단해	판단/NNG+하/XSV+아/EC
국감	국감/NNG
현장에	현장/NNG+에/JKB
반드시	반드시/MAG
출석시킬	출석/NNG+시키/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없는	없/VA+는/ETM
증인·참고인은	증인/NNG+·/SP+참고인/NNG+은/JX
서면	서면/NNG
답변이나	답변/NNG+이나/JC
화상질의	화상/NNG+질의/NNG
같은	같/VA+은/ETM
방법으로	방법/NNG+으로/JKB
출석을	출석/NNG+을/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
