# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.421
metadata : {}


# id : NWRW1800000032.421.1.1
임태희·백용호 실장 11일께 퇴진

임태희·백용호	임태희/NNP+·/SP+백용호/NNP
실장	실장/NNG
11일께	11/SN+일/NNB+께/XSN
퇴진	퇴진/NNG


# id : NWRW1800000032.421.2.1
임기말 청와대, 1실장 체제로

임기말	임기/NNG+말/NNB
청와대,	청와대/NNP+,/SP
1실장	1/SN+실장/NNG
체제로	체제/NNG+로/JKB


# id : NWRW1800000032.421.3.1
후임에 송정호·원세훈 등 거론

후임에	후임/NNG+에/JKB
송정호·원세훈	송정호/NNP+·/SP+원세훈/NNP
등	등/NNB
거론	거론/NNG


# id : NWRW1800000032.421.4.1
임기말 청와대가 대통령실·정책실의 ‘2실장 체제’에서 대통령실 중심의 ‘1실장 체제’로 개편된다.

임기말	임기/NNG+말/NNB
청와대가	청와대/NNP+가/JKS
대통령실·정책실의	대통령실/NNG+·/SP+정책실/NNG+의/JKG
‘2실장	‘/SS+2/SN+실장/NNG
체제’에서	체제/NNG+’/SS+에서/JKB
대통령실	대통령실/NNG
중심의	중심/NNG+의/JKG
‘1실장	‘/SS+1/SN+실장/NNG
체제’로	체제/NNG+’/SS+로/JKB
개편된다.	개편/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.421.4.2
이에 따라 임태희 대통령실장과 백용호 정책실장이 11일께 함께 물러나고, 백 실장의 후임은 임명되지 않을 것으로 알려졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
임태희	임태희/NNP
대통령실장과	대통령실장/NNG+과/JC
백용호	백용호/NNP
정책실장이	정책실장/NNG+이/JKS
11일께	11/SN+일/NNB+께/XSN
함께	함께/MAG
물러나고,	물러나/VV+고/EC+,/SP
백	백/NNP
실장의	실장/NNG+의/JKG
후임은	후임/NNG+은/JX
임명되지	임명/NNG+되/XSV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.421.5.1
이명박 대통령은 5일 친인척 관리와 퇴임 준비 기능을 강화하고 정책 기능을 축소하는 내용의 대통령실 조직개편안을 단행했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
5일	5/SN+일/NNB
친인척	친인척/NNG
관리와	관리/NNG+와/JC
퇴임	퇴임/NNG
준비	준비/NNG
기능을	기능/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
정책	정책/NNG
축소하는	축소/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
대통령실	대통령실/NNG
조직개편안을	조직/NNG+개편안/NNG+을/JKO
단행했다.	단행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.421.5.2
지난해 7월 이후 1년6개월 만의 조직개편이다.

지난해	지난해/NNG
7월	7/SN+월/NNB
이후	이후/NNG
1년6개월	1/SN+년/NNB+6/SN+개월/NNB
만의	만/NNB+의/JKG
조직개편이다.	조직/NNG+개편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.421.5.3
개편안은 오는 12일 시행에 들어간다고 박정하 청와대 대변인은 전했다.

개편안은	개편안/NNG+은/JX
오는	오/VV+는/ETM
12일	12/SN+일/NNB
시행에	시행/NNG+에/JKB
들어간다고	들어가/VV+ㄴ다고/EC
박정하	박정하/NNP
청와대	청와대/NNP
대변인은	대변인/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.421.5.4
청와대 고위 관계자는 “임 실장과 함께 백용호 정책실장도 물러나는 대신, 정책실장 자리는 공석으로 두거나 경제수석비서관이 겸임할 가능성이 높다”며 “사실상 새로 임명될 대통령실장이 청와대 참모진을 모두 이끌게 되는 것”이라고 말했다.

청와대	청와대/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
“임	“/SS+임/NNP
실장과	실장/NNG+과/JKB
함께	함께/MAG
백용호	백용호/NNP
정책실장도	정책실장/NNG+도/JX
물러나는	물러나/VV+는/ETM
대신,	대신/NNG+,/SP
정책실장	정책실장/NNG
자리는	자리/NNG+는/JX
공석으로	공석/NNG+으로/JKB
두거나	두/VV+거나/EC
경제수석비서관이	경제/NNG+수석/NNG+비서관/NNG+이/JKS
겸임할	겸임/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”며	높/VA+다/EF+”/SS+며/EC
“사실상	“/SS+사실/NNG+상/XSN
새로	새로/MAG
임명될	임명/NNG+되/XSV+ㄹ/ETM
대통령실장이	대통령실장/NNG+이/JKS
참모진을	참모진/NNG+을/JKO
모두	모두/MAG
이끌게	이끌/VV+게/EC
되는	되/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.421.5.5
후임 대통령실장에는 이 대통령의 오랜 친구인 송정호 청계재단 이사장과 원세훈 국가정보원장, 박범훈 교육문화수석비서관 등이 거론된다.

후임	후임/NNG
대통령실장에는	대통령실장/NNG+에/JKB+는/JX
이	이/NNP
대통령의	대통령/NNG+의/JKG
오랜	오랜/MMA
친구인	친구/NNG+이/VCP+ㄴ/ETM
송정호	송정호/NNP
청계재단	청계재단/NNP
이사장과	이사장/NNG+과/JC
원세훈	원세훈/NNP
국가정보원장,	국가/NNG+정보원장/NNG+,/SP
박범훈	박범훈/NNP
교육문화수석비서관	교육/NNG+문화/NNG+수석/NNG+비서관/NNG
등이	등/NNB+이/JKS
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.421.6.1
이번 개편에서는 총무비서관을 총무1, 총무2 비서관으로 확대했다.

이번	이번/NNG
개편에서는	개편/NNG+에서/JKB+는/JX
총무비서관을	총무/NNG+비서관/NNG+을/JKO
총무1,	총무/NNG+1/SN+,/SP
총무2	총무/NNG+2/SN
비서관으로	비서관/NNG+으로/JKB
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.421.6.2
새로 임명될 총무2비서관은 기록물 정리와 퇴임 뒤 사저 문제 등 이 대통령의 퇴임 문제를 전담할 것으로 전해졌다.

새로	새로/MAG
임명될	임명/NNG+되/XSV+ㄹ/ETM
총무2비서관은	총무/NNG+2/SN+비서관/NNG+은/JX
기록물	기록물/NNG
정리와	정리/NNG+와/JC
퇴임	퇴임/NNG
뒤	뒤/NNG
사저	사저/NNG
문제	문제/NNG
등	등/NNB
이	이/NNP
대통령의	대통령/NNG+의/JKG
문제를	문제/NNG+를/JKO
전담할	전담/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.421.6.3
또 민정수석실에는 친인척 비리와 내부 감찰을 각각 맡을 감찰1팀과 감찰2팀 직제를 신설해, 친인척 관리 기능 등을 강화했다.

또	또/MAG
민정수석실에는	민정/NNG+수석실/NNG+에/JKB+는/JX
친인척	친인척/NNG
비리와	비리/NNG+와/JC
내부	내부/NNG
감찰을	감찰/NNG+을/JKO
각각	각각/MAG
맡을	맡/VV+을/ETM
감찰1팀과	감찰/NNG+1/SN+팀/NNG+과/JC
감찰2팀	감찰/NNG+2/SN+팀/NNG
직제를	직제/NNG+를/JKO
신설해,	신설/NNG+하/XSV+아/EC+,/SP
관리	관리/NNG
기능	기능/NNG
등을	등/NNB+을/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.421.6.4
정책과 관련해선 기획관리실과 정책기획관실을 통합해 ‘기획관리실’로 묶었다.

정책과	정책/NNG+과/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
기획관리실과	기획/NNG+관리실/NNG+과/JC
정책기획관실을	정책/NNG+기획관실/NNG+을/JKO
통합해	통합/NNG+하/XSV+아/EC
‘기획관리실’로	‘/SS+기획/NNG+관리실/NNG+’/SS+로/JKB
묶었다.	묶/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.421.7.1
이에 따라 청와대 체제는 기존의 ‘2실장, 8수석비서관, 5기획관, 46비서관’에서 기획관 자리가 하나 줄어들게 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
청와대	청와대/NNP
체제는	체제/NNG+는/JX
기존의	기존/NNG+의/JKG
‘2실장,	‘/SS+2/SN+실장/NNG+,/SP
8수석비서관,	8/SN+수석/NNG+비서관/NNG+,/SP
5기획관,	5/SN+기획관/NNG+,/SP
46비서관’에서	46/SN+비서관/NNG+’/SS+에서/JKB
기획관	기획관/NNG
자리가	자리/NNG+가/JKS
하나	하나/NR
줄어들게	줄어들/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


