# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.216
metadata : {}


# id : NWRW1800000021.216.1.1
행안부, 지자체-공무원노조 단협 조사해보니…

행안부,	행안부/NNG+,/SP
지자체-공무원노조	지자체/NNG+-/SO+공무원/NNG+노조/NNG
단협	단협/NNG
조사해보니…	조사/NNG+하/XSV+아/EC+보/VX+니/EF+…/SE


# id : NWRW1800000021.216.2.1
전국 단위의 조직인 전국공무원노동조합(전공노) 손영태 위원장 등 간부 10명은 지난해 휴직 등 절차를 밟지 않고 노조활동을 해오다 시정명령을 받았다.

전국	전국/NNG
단위의	단위/NNG+의/JKG
조직인	조직/NNG+이/VCP+ㄴ/ETM
전국공무원노동조합(전공노)	전국공무원노동조합/NNP+(/SS+전공노/NNP+)/SS
손영태	손영태/NNP
위원장	위원장/NNG
등	등/NNB
간부	간부/NNG
10명은	10/SN+명/NNB+은/JX
지난해	지난해/NNG
휴직	휴직/NNG
절차를	절차/NNG+를/JKO
밟지	밟/VV+지/EC
않고	않/VX+고/EC
노조활동을	노조/NNG+활동/NNG+을/JKO
해오다	하/VV+아/EC+오/VX+다/EC
시정명령을	시정/NNG+명령/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.216.2.2
조합비에서 노조활동에 따른 급여를 받으면서 공무원으로서의 월급도 함께 받았기 때문.

조합비에서	조합비/NNG+에서/JKB
노조활동에	노조/NNG+활동/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
급여를	급여/NNG+를/JKO
받으면서	받/VV+으면서/EC
공무원으로서의	공무원/NNG+으로서/JKB+의/JKG
월급도	월급/NNG+도/JX
함께	함께/MAG
받았기	받/VV+았/EP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000021.216.2.3
이에 따라 소속 기관으로부터 받은 월급을 도로 내놔야 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
소속	소속/NNG
기관으로부터	기관/NNG+으로부터/JKB
받은	받/VV+은/ETM
월급을	월급/NNG+을/JKO
도로	도로/MAG
내놔야	내놓/VV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.216.3.1
서울시공무원노동조합은 4월 16일 오후 2시부터 6시까지 조합원과 직원을 대상으로 교육프로그램을 실시했다.

서울시공무원노동조합은	서울시공무원노동조합/NNP+은/JX
4월	4/SN+월/NNB
16일	16/SN+일/NNB
오후	오후/NNG
2시부터	2/SN+시/NNB+부터/JX
6시까지	6/SN+시/NNB+까지/JX
조합원과	조합원/NNG+과/JC
직원을	직원/NNG+을/JKO
