# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.219
metadata : {}


# id : NWRW1800000029.219.1.1
[휴지통]“선친이 50년전 기부한 땅 다시 사야하다니”

[휴지통]“선친이	[/SS+휴지통/NNG+]/SS+“/SS+선친/NNG+이/JKS
50년전	50/SN+년/NNB+전/NNG
기부한	기부/NNG+하/XSV+ㄴ/ETM
땅	땅/NNG
다시	다시/MAG
사야하다니”	사/VV+아야/EC+하/VX+다니/EF+”/SS


# id : NWRW1800000029.219.2.1
재측량 결과 선산 포함… 값 수십배 올라 후손 허탈

재측량	재/XPN+측량/NNG
결과	결과/NNG
선산	선산/NNG
포함…	포함/NNG+…/SE
값	값/NNG
수십배	수십/NR+배/NNG
올라	오르/VV+아/EC
후손	후손/NNG
허탈	허탈/NNG


# id : NWRW1800000029.219.3.1
“원래 우리 땅을 다시 돈 주고 사야 하다니….”

“원래	“/SS+원래/MAG
우리	우리/NP
땅을	땅/NNG+을/JKO
다시	다시/MAG
돈	돈/NNG
주고	주/VV+고/EC
사야	사/VV+아야/EC
하다니….”	하/VX+다니/EF+…/SE+./SF+”/SS


# id : NWRW1800000029.219.4.1
경기 성남시에 사는 백모 씨(66)는 4월경 전북도교육청으로부터 “전북 익산시 춘포면에 있는 백 씨 소유의 선산이 춘포중학교 용지 430m²(약 130평)를 점유하고 있다”는 통보를 받고 당황했다.

경기	경기/NNP
성남시에	성남시/NNP+에/JKB
사는	살/VV+는/ETM
백모	백/NNP+모/NP
씨(66)는	씨/NNB+(/SS+66/SN+)/SS+는/JX
4월경	4/SN+월/NNB+경/XSN
전북도교육청으로부터	전북도교육청/NNP+으로부터/JKB
“전북	“/SS+전북/NNP
익산시	익산시/NNP
춘포면에	춘포면/NNP+에/JKB
있는	있/VV+는/ETM
백	백/NNP
씨	씨/NNB
소유의	소유/NNG+의/JKG
선산이	선산/NNG+이/JKS
춘포중학교	춘포중학교/NNP
용지	용지/NNG
430m²(약	430/SN+m²/SW+(/SS+약/MMA
130평)를	130/SN+평/NNB+)/SS+를/JKO
점유하고	점유/NNG+하/XSV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
통보를	통보/NNG+를/JKO
받고	받/VV+고/EC
당황했다.	당황/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.219.4.2
이 땅은 1962년 백 씨 아버지가 도교육청에 기부한 땅.

이	이/MMD
땅은	땅/NNG+은/JX
1962년	1962/SN+년/NNB
백	백/NNP
씨	씨/NNB
아버지가	아버지/NNG+가/JKS
도교육청에	도/NNG+교육청/NNG+에/JKB
기부한	기부/NNG+하/XSV+ㄴ/ETM
땅.	땅/NNG+./SF


# id : NWRW1800000029.219.4.3
당시 백 씨 아버지는 춘포중 전체 용지 2만 m² 중 4500m²(약 1300평)를 지역 교육을 위해 기부했으며 도교육청이 점유했다고 통보한 땅에는 백 씨 할머니 묘소가 있다.

당시	당시/NNG
백	백/NNP
씨	씨/NNB
아버지는	아버지/NNG+는/JX
춘포중	춘포중/NNP
전체	전체/NNG
용지	용지/NNG
2만	2/SN+만/NR
m²	m²/SW
중	중/NNB
4500m²(약	4500/SN+m²/SW+(/SS+약/MMA
1300평)를	1300/SN+평/NNB+)/SS+를/JKO
지역	지역/NNG
교육을	교육/NNG+을/JKO
위해	위하/VV+아/EC
기부했으며	기부/NNG+하/XSV+았/EP+으며/EC
도교육청이	도/NNG+교육청/NNG+이/JKS
점유했다고	점유/NNG+하/XSV+았/EP+다고/EC
통보한	통보/NNG+하/XSV+ㄴ/ETM
땅에는	땅/NNG+에/JKB+는/JX
할머니	할머니/NNG
묘소가	묘소/NNG+가/JKS
있다.	있/VV+다/EF+./SF


# id : NWRW1800000029.219.5.1
도교육청은 최근 유아교육진흥원을 짓기 위해 용지 측량을 하던 중 이 같은 점유 사실을 발견했다.

도교육청은	도/NNG+교육청/NNG+은/JX
최근	최근/MAG
유아교육진흥원을	유아/NNG+교육/NNG+진흥원/NNG+을/JKO
짓기	짓/VV+기/ETN
위해	위하/VV+아/EC
용지	용지/NNG
측량을	측량/NNG+을/JKO
하던	하/VV+던/ETM
중	중/NNB
이	이/NP
같은	같/VA+은/ETM
점유	점유/NNG
사실을	사실/NNG+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.219.5.2
도교육청은 땅을 기부할 당시 측량기술 등에 문제가 있어 실제와 차이가 난 것으로 추정하고 있다.

도교육청은	도/NNG+교육청/NNG+은/JX
땅을	땅/NNG+을/JKO
기부할	기부/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
측량기술	측량/NNG+기술/NNG
등에	등/NNB+에/JKB
문제가	문제/NNG+가/JKS
있어	있/VA+어/EC
실제와	실제/NNG+와/JKB
차이가	차이/NNG+가/JKS
난	나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.219.6.1
법대로라면 백 씨는 묘소를 이장하던지 아니면 도교육청으로부터 땅을 다시 사야 하는 상황.

법대로라면	법/NNG+대로/JX+이/VCP+라면/EC
백	백/NNP
씨는	씨/NNB+는/JX
묘소를	묘소/NNG+를/JKO
이장하던지	이장/NNG+하/XSV+던지/EC
아니면	아니/VCN+면/EC
도교육청으로부터	도/NNG+교육청/NNG+으로부터/JKB
땅을	땅/NNG+을/JKO
다시	다시/MAG
사야	사/VV+아야/EC
하는	하/VX+는/ETM
상황.	상황/NNG+./SF


# id : NWRW1800000029.219.6.2
백 씨는 “이제 와서 공짜로 땅을 반환해 달라고 할 수는 없지만 대대로 내려오던 선산을 다시 사야 하니 마음이 편치는 않다”며 “교육청이 선친의 기부를 인정해 50년 전 가격으로 넘겨줬으면 좋겠다”고 말했다.

백	백/NNP
씨는	씨/NNB+는/JX
“이제	“/SS+이제/MAG
와서	오/VV+아서/EC
공짜로	공짜/NNG+로/JKB
땅을	땅/NNG+을/JKO
반환해	반환/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
할	하/VV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
대대로	대대로/MAG
내려오던	내려오/VV+던/ETM
선산을	선산/NNG+을/JKO
다시	다시/MAG
사야	사/VV+아야/EC
하니	하/VX+니/EC
마음이	마음/NNG+이/JKS
편치는	편하/VA+지/EC+는/JX
않다”며	않/VX+다/EF+”/SS+며/EC
“교육청이	“/SS+교육청/NNG+이/JKS
선친의	선친/NNG+의/JKG
기부를	기부/NNG+를/JKO
인정해	인정/NNG+하/XSV+아/EC
50년	50/SN+년/NNB
전	전/NNG
가격으로	가격/NNG+으로/JKB
넘겨줬으면	넘겨주/VV+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.219.6.3
익산시 부동산 업계에 따르면 해당 용지는 50여 년 전 3.3m²(1평)당 1만 원 이하였으나 현재는 평당 10만∼25만 원에 달한다.

익산시	익산시/NNP
부동산	부동산/NNG
업계에	업계/NNG+에/JKB
따르면	따르/VV+면/EC
해당	해당/NNG
용지는	용지/NNG+는/JX
50여	50/SN+여/XSN
년	년/NNB
전	전/NNG
3.3m²(1평)당	3/SN+./SP+3/SN+m²/SW+(/SS+1/SN+평/NNB+)/SS+당/XSN
1만	1/SN+만/NR
원	원/NNB
이하였으나	이하/NNG+이/VCP+었/EP+으나/EC
현재는	현재/NNG+는/JX
평당	평/NNB+당/XSN
10만∼25만	10/SN+만/NR+∼/SO+25/SN+만/NR
원에	원/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.219.7.1
이에 대해 도교육청은 “안타깝지만 나라 땅을 임의로 무상으로 줄 수도 없는 상황”이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
도교육청은	도/NNG+교육청/NNG+은/JX
“안타깝지만	“/SS+안타깝/VA+지만/EC
나라	나라/NNG
땅을	땅/NNG+을/JKO
임의로	임의/NNG+로/JKB
무상으로	무상/NNG+으로/JKB
줄	주/VV+ㄹ/ETM
수도	수/NNB+도/JX
없는	없/VA+는/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


