# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.33
metadata : {}


# id : NWRW1800000046.33.1.1
['내일의 韓國'을 꿈꾸는 나라들] (5) 한국이 세운 학교 10여곳, 명문 '코리아 교육벨트'로

['내일의	[/SS+'/SS+내일/NNG+의/JKG
韓國'을	韓國/SH+'/SS+을/JKO
꿈꾸는	꿈꾸/VV+는/ETM
나라들]	나라/NNG+들/XSN+]/SS
(5)	(/SS+5/SN+)/SS
한국이	한국/NNP+이/JKS
세운	세우/VV+ㄴ/ETM
학교	학교/NNG
10여곳,	10/SN+여/XSN+곳/NNG+,/SP
명문	명문/NNG
'코리아	'/SS+코리아/NNP
교육벨트'로	교육/NNG+벨트/NNG+'/SS+로/JKB


# id : NWRW1800000046.33.2.1
입학 경쟁률도 치열… 한국어·컴퓨터 교육으로 키르기스스탄 엘리트 육성

입학	입학/NNG
경쟁률도	경쟁/NNG+률/XSN+도/JX
치열…	치열/NNG+…/SE
한국어·컴퓨터	한국어/NNP+·/SP+컴퓨터/NNG
교육으로	교육/NNG+으로/JKB
키르기스스탄	키르기스스탄/NNP
엘리트	엘리트/NNG
육성	육성/NNG


# id : NWRW1800000046.33.3.1
키르기스스탄에는 '코리아 교육 벨트'가 있다.

키르기스스탄에는	키르기스스탄/NNP+에/JKB+는/JX
'코리아	'/SS+코리아/NNP
교육	교육/NNG
벨트'가	벨트/NNG+'/SS+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.33.3.2
수도 비슈케크부터 시작해 동쪽으로 50㎞ 떨어진 이바놉카 사이에 한국의 정부출자기관과 비정부기구(NGO)들이 세운 각급 학교 10여개가 줄지어 있다.

수도	수도/NNG
비슈케크부터	비슈케크/NNP+부터/JX
시작해	시작/NNG+하/XSV+아/EC
동쪽으로	동쪽/NNG+으로/JKB
50㎞	50/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
이바놉카	이바놉카/NNP
사이에	사이/NNG+에/JKB
한국의	한국/NNP+의/JKG
정부출자기관과	정부/NNG+출자/NNG+기관/NNG+과/JC
비정부기구(NGO)들이	비/XPN+정부/NNG+기구/NNG+(/SS+NGO/SL+)/SS+들/XSN+이/JKS
세운	세우/VV+ㄴ/ETM
각급	각급/NNG
학교	학교/NNG
10여개가	10/SN+여/XSN+개/NNB+가/JKS
줄지어	줄짓/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.33.3.3
유치원부터 중등학교는 물론 기술학교·전문대학까지 다양하다.

유치원부터	유치원/NNG+부터/JX
중등학교는	중등학교/NNG+는/JX
물론	물론/MAG
기술학교·전문대학까지	기술/NNG+학교/NNG+·/SP+전문/NNG+대학/NNG+까지/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.33.3.4
모두 손꼽히는 명문이다.

모두	모두/MAG
손꼽히는	손꼽히/VV+는/ETM
명문이다.	명문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.33.4.1
지난달 한국기아대책과 한국국제협력단(코이카)이 2004년 세운 기술학교인 '추이주(州) 미래지도자학교'에 졸업생들이 찾아왔다.

지난달	지난달/NNG
한국기아대책과	한국기아대책/NNP+과/JC
한국국제협력단(코이카)이	한국국제협력단/NNP+(/SS+코이카/NNP+)/SS+이/JKS
2004년	2004/SN+년/NNB
세운	세우/VV+ㄴ/ETM
기술학교인	기술/NNG+학교/NNG+이/VCP+ㄴ/ETM
'추이주(州)	'/SS+추이주/NNP+(/SS+州/SH+)/SS
미래지도자학교'에	미래지도자학교/NNG+'/SS+에/JKB
졸업생들이	졸업/NNG+생/XSN+들/XSN+이/JKS
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.33.4.2
졸업생 멜리스(33)와 달라이(33)는 재학생 후배들에게 "여기서 익힌 한국어가 우리 인생을 바꿨다"고 했다.

졸업생	졸업/NNG+생/XSN
멜리스(33)와	멜리스/NNP+(/SS+33/SN+)/SS+와/JC
달라이(33)는	달라이/NNP+(/SS+33/SN+)/SS+는/JX
재학생	재학/NNG+생/XSN
후배들에게	후배/NNG+들/XSN+에게/JKB
"여기서	"/SS+여기/NP+서/JKB
익힌	익히/VV+ㄴ/ETM
한국어가	한국어/NNP+가/JKS
우리	우리/NP
인생을	인생/NNG+을/JKO
바꿨다"고	바꾸/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.33.4.3
둘은 2011년부터 한국에서 중고(中古) 중장비를 들여와 판매하는 사업을 시작했고, 현재 비슈케크에서 셋째로 큰 중장비업체를 운영 중이다.

둘은	둘/NR+은/JX
2011년부터	2011/SN+년/NNB+부터/JX
한국에서	한국/NNP+에서/JKB
중고(中古)	중고/NNG+(/SS+中古/SH+)/SS
중장비를	중장비/NNG+를/JKO
들여와	들여오/VV+아/EC
판매하는	판매/NNG+하/XSV+는/ETM
사업을	사업/NNG+을/JKO
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
현재	현재/MAG
비슈케크에서	비슈케크/NNP+에서/JKB
셋째로	셋째/NR+로/JKB
큰	크/VA+ㄴ/ETM
중장비업체를	중장비/NNG+업체/NNG+를/JKO
운영	운영/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.33.5.1
추이주 미래지도자학교 유종호 교장은 "한국이 세운 학교를 나온 키르기스스탄 사람들이 한국어와 컴퓨터에 능해 엘리트로 발돋움하는 경우가 많아져 입학 경쟁이 치열해졌다"고 말했다.

추이주	추이주/NNP
미래지도자학교	미래지도자학교/NNG
유종호	유종호/NNP
교장은	교장/NNG+은/JX
"한국이	"/SS+한국/NNP+이/JKS
세운	세우/VV+ㄴ/ETM
학교를	학교/NNG+를/JKO
나온	나오/VV+ㄴ/ETM
키르기스스탄	키르기스스탄/NNP
사람들이	사람/NNG+들/XSN+이/JKS
한국어와	한국어/NNP+와/JC
컴퓨터에	컴퓨터/NNG+에/JKB
능해	능하/VA+아/EC
엘리트로	엘리트/NNG+로/JKB
발돋움하는	발돋움/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많아져	많아지/VV+어/EC
입학	입학/NNG
경쟁이	경쟁/NNG+이/JKS
