# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.24
metadata : {}


# id : NWRW1800000046.24.1.1
生存 가능 72시간 지나자… 中, 바로 선체 인양

生存	生存/SH
가능	가능/NNG
72시간	72/SN+시간/NNB
지나자…	지나/VV+자/EC+…/SE
中,	中/SH+,/SP
바로	바로/MAG
선체	선체/NNG
인양	인양/NNG


# id : NWRW1800000046.24.2.1
"中 상명하달 시스템 때문… 피해자 가족 의견 반영 안돼"

"中	"/SS+中/SH
상명하달	상명/NNG+하달/NNG
시스템	시스템/NNG
때문…	때문/NNB+…/SE
피해자	피해자/NNG
가족	가족/NNG
의견	의견/NNG
반영	반영/NNG
안돼"	안/MAG+되/XSV+어/EF+"/SS


# id : NWRW1800000046.24.3.1
양쯔강에 침몰했던 대형 여객선 '둥팡즈싱(東方之星·동방의 별)'호가 5일 오전 9시쯤 3층짜리 선체를 드러내며 물 밖으로 나왔다.

양쯔강에	양쯔강/NNP+에/JKB
침몰했던	침몰/NNG+하/XSV+았/EP+던/ETM
대형	대형/NNG
여객선	여객선/NNG
'둥팡즈싱(東方之星·동방의	'/SS+둥팡즈싱/NNP+(/SS+東方之星/SH+·/SP+동방/NNG+의/JKG
별)'호가	별/NNG+)/SS+'/SS+호/NNG+가/JKS
5일	5/SN+일/NNB
오전	오전/NNG
9시쯤	9/SN+시/NNB+쯤/XSN
3층짜리	3/SN+층/NNG+짜리/XSN
선체를	선체/NNG+를/JKO
드러내며	드러내/VV+며/EC
물	물/NNG
밖으로	밖/NNG+으로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.3.2
지난 1일 밤 9시 28분쯤 승객과 승무원 456명을 태우고 침몰한 이후 83시간 30여분 만이다.

지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
밤	밤/NNG
9시	9/SN+시/NNB
28분쯤	28/SN+분/NNB+쯤/XSN
승객과	승객/NNG+과/JC
승무원	승무원/NNG
456명을	456/SN+명/NNB+을/JKO
태우고	태우/VV+고/EC
침몰한	침몰/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
83시간	83/SN+시간/NNB
30여분	30/SN+여/XSN+분/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.24.4.1
후베이성의 장강일보(長江日報)는 이날 "구조 당국은 4일 밤 생존 가능 시간인 72시간이 지나자 곧바로 선체 인양 작업에 착수했다"며 "5일 오전 7시부터 뒤집힌 선체를 바로 세우기 시작해 9시쯤 선체를 물 밖으로 끄집어 올리는 데 성공했다"고 말했다.

후베이성의	후베이성/NNP+의/JKG
장강일보(長江日報)는	장강일보/NNP+(/SS+長江日報/SH+)/SS+는/JX
이날	이날/NNG
"구조	"/SS+구조/NNG
당국은	당국/NNG+은/JX
4일	4/SN+일/NNB
밤	밤/NNG
생존	생존/NNG
가능	가능/NNG
시간인	시간/NNG+이/VCP+ㄴ/ETM
72시간이	72/SN+시간/NNB+이/JKS
지나자	지나/VV+자/EC
곧바로	곧바로/MAG
선체	선체/NNG
인양	인양/NNG
작업에	작업/NNG+에/JKB
착수했다"며	착수/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"5일	"/SS+5/SN+일/NNB
오전	오전/NNG
7시부터	7/SN+시/NNB+부터/JX
뒤집힌	뒤집히/VV+ㄴ/ETM
선체를	선체/NNG+를/JKO
바로	바로/MAG
세우기	세우/VV+기/ETN
시작해	시작/NNG+하/XSV+아/EC
9시쯤	9/SN+시/NNB+쯤/XSN
물	물/NNG
밖으로	밖/NNG+으로/JKB
끄집어	끄집/VV+어/EC
올리는	올리/VV+는/ETM
데	데/NNB
성공했다"고	성공/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.4.2
관영 CCTV는 이 장면을 생중계했다.

관영	관영/NNG
CCTV는	CCTV/SL+는/JX
이	이/MMD
장면을	장면/NNG+을/JKO
생중계했다.	생/XPN+중계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.5.1
드러난 선체의 꼭대기 부분은 크게 훼손돼 있었다.

드러난	드러나/VV+ㄴ/ETM
선체의	선체/NNG+의/JKG
꼭대기	꼭대기/NNG
부분은	부분/NNG+은/JX
크게	크/VA+게/EC
훼손돼	훼손/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.24.5.2
배가 전복되는 과정에서 심한 충격을 받았다는 증거로 보인다.

배가	배/NNG+가/JKS
전복되는	전복/NNG+되/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
심한	심하/VA+ㄴ/ETM
충격을	충격/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
증거로	증거/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.24.5.3
배가 올라오면서 피해자 소지품으로 추정되는 신발·가방·인형 등도 대거 떠올랐다.

배가	배/NNG+가/JKS
올라오면서	올라오/VV+면서/EC
피해자	피해자/NNG
소지품으로	소지품/NNG+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
신발·가방·인형	신발/NNG+·/SP+가방/NNG+·/SP+인형/NNG
등도	등/NNB+도/JX
대거	대거/MAG
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.5.4
당국은 시신과 유품의 유실을 막기 위해 하류 200m 지점에 그물을 설치했다.

당국은	당국/NNG+은/JX
시신과	시신/NNG+과/JC
유품의	유품/NNG+의/JKG
유실을	유실/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
하류	하류/NNG
200m	200/SN+m/SW
지점에	지점/NNG+에/JKB
그물을	그물/NNG+을/JKO
설치했다.	설치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.6.1
이어 선체의 물이 빠진 직후 구조대를 투입해 유해 수습에 나섰다.

이어	이어/MAG
선체의	선체/NNG+의/JKG
물이	물/NNG+이/JKS
빠진	빠지/VV+ㄴ/ETM
직후	직후/NNG
구조대를	구조대/NNG+를/JKO
투입해	투입/NNG+하/XSV+아/EC
유해	유해/NNG
수습에	수습/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.24.6.2
이에 따라 확인된 사망자 숫자는 100여명으로 늘었다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
확인된	확인/NNG+되/XSV+ㄴ/ETM
사망자	사망자/NNG
숫자는	숫자/NNG+는/JX
100여명으로	100/SN+여/XSN+명/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.24.6.3
생존자는 사고 첫날과 마찬가지로 14명이다.

생존자는	생존자/NNG+는/JX
사고	사고/NNG
첫날과	첫날/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
14명이다.	14/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.24.6.4
중국 교통운수부는 "추가 생존자는 없는 것으로 판단한다"고 밝혔다.

중국	중국/NNP
교통운수부는	교통/NNG+운수부/NNG+는/JX
"추가	"/SS+추가/NNG
생존자는	생존자/NNG+는/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
판단한다"고	판단/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.24.6.5
중국 건국 이후 최악의 인명 피해를 낸 이번 사고는 침몰 100시간 만에 사실상 종결되는 분위기다.

중국	중국/NNP
건국	건국/NNG
이후	이후/NNG
최악의	최악/NNG+의/JKG
인명	인명/NNG
피해를	피해/NNG+를/JKO
낸	내/VV+ㄴ/ETM
이번	이번/NNG
사고는	사고/NNG+는/JX
침몰	침몰/NNG
100시간	100/SN+시간/NNB
만에	만/NNB+에/JKB
사실상	사실/NNG+상/XSN
종결되는	종결/NNG+되/XSV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.24.6.6
속전속결이다.

속전속결이다.	속전속결/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.24.6.7
구조 현장을 지휘하던 리커창(李克强) 총리도 베이징으로 돌아갔다.

구조	구조/NNG
현장을	현장/NNG+을/JKO
지휘하던	지휘/NNG+하/XSV+던/ETM
리커창(李克强)	리커창/NNP+(/SS+李克强/SH+)/SS
총리도	총리/NNG+도/JX
베이징으로	베이징/NNP+으로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.7.1
베이징 외교 소식통은 "세월호와 달리 침몰에서 인양까지 4일이 걸리지 않은 것은 피해자 가족의 목소리를 전혀 반영하지 않는 중국 특유의 시스템 때문"이라고 말했다.

베이징	베이징/NNP
외교	외교/NNG
소식통은	소식통/NNG+은/JX
"세월호와	"/SS+세월호/NNP+와/JKB
달리	달리/MAG
침몰에서	침몰/NNG+에서/JKB
인양까지	인양/NNG+까지/JX
4일이	4/SN+일/NNB+이/JKS
걸리지	걸리/VV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
피해자	피해자/NNG
가족의	가족/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
전혀	전혀/MAG
반영하지	반영/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
중국	중국/NNP
특유의	특유/NNG+의/JKG
시스템	시스템/NNG
때문"이라고	때문/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.7.2
중국 당국은 피해자 가족의 사고 현장 접근을 계속 막았다.

중국	중국/NNP
당국은	당국/NNG+은/JX
피해자	피해자/NNG
가족의	가족/NNG+의/JKG
사고	사고/NNG
현장	현장/NNG
접근을	접근/NNG+을/JKO
계속	계속/MAG
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.7.3
사망·실종자 관련 정보도 제때 제공하지 않았다.

사망·실종자	사망/NNG+·/SP+실종자/NNG
관련	관련/NNG
정보도	정보/NNG+도/JX
제때	제때/NNG
제공하지	제공/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.24.7.4
배에 구멍을 뚫으면 가라앉을 수 있다는 가족의 우려에도, 배 바닥 3곳을 절단해 생존자를 찾는 구조 작업을 강행했다.

배에	배/NNG+에/JKB
구멍을	구멍/NNG+을/JKO
뚫으면	뚫/VV+으면/EC
가라앉을	가라앉/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
가족의	가족/NNG+의/JKG
우려에도,	우려/NNG+에/JKB+도/JX+,/SP
배	배/NNG
바닥	바닥/NNG
3곳을	3/SN+곳/NNG+을/JKO
절단해	절단/NNG+하/XSV+아/EC
생존자를	생존자/NNG+를/JKO
찾는	찾/VV+는/ETM
구조	구조/NNG
작업을	작업/NNG+을/JKO
강행했다.	강행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.24.7.5
이 때문에 피해자 가족 수십 명은 이날 후베이성 젠리(監利)현에 마련된 당국의 기자회견장으로 몰려가 울분을 토해냈다.

