# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.240
metadata : {}


# id : NWRW1800000054.240.1.1
'태극기 집회 주도' 김경재 자유총연맹 총재 압수수색

'태극기	'/SS+태극기/NNG
집회	집회/NNG
주도'	주도/NNG+'/SS
김경재	김경재/NNP
자유총연맹	자유총연맹/NNP
총재	총재/NNG
압수수색	압수/NNG+수색/NNG


# id : NWRW1800000054.240.2.1
법인카드 유용·뇌물수수 의혹, 노 前대통령 명예훼손 혐의 기소

법인카드	법인/NNG+카드/NNG
유용·뇌물수수	유용/NNG+·/SP+뇌물/NNG+수수/NNG
의혹,	의혹/NNG+,/SP
노	노/NNP
前대통령	前/SH+대통령/NNG
명예훼손	명예/NNG+훼손/NNG
혐의	혐의/NNG
기소	기소/NNG


# id : NWRW1800000054.240.3.1
경찰이 30일 한국자유총연맹 사무실과 김경재〈사진〉 총재 자택을 압수 수색했다.

경찰이	경찰/NNG+이/JKS
30일	30/SN+일/NNB
한국자유총연맹	한국자유총연맹/NNP
사무실과	사무실/NNG+과/JC
김경재〈사진〉	김경재/NNP+〈/SS+사진/NNG+〉/SS
총재	총재/NNG
자택을	자택/NNG+을/JKO
압수	압수/NNG
수색했다.	수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.240.3.2
경찰은 "김 총재의 뇌물 수수 혐의와 배임 혐의에 대해 수사 중"이라고 밝혔다.

경찰은	경찰/NNG+은/JX
"김	"/SS+김/NNP
총재의	총재/NNG+의/JKG
뇌물	뇌물/NNG
수수	수수/NNG
혐의와	혐의/NNG+와/JC
배임	배임/NNG
혐의에	혐의/NNG+에/JKB
대해	대하/VV+아/EC
수사	수사/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.240.3.3
김 총재는 태극기 집회를 주도하며 박근혜 전 대통령의 탄핵 무효를 주장한 친박(親朴)계 인물로 꼽힌다.

김	김/NNP
총재는	총재/NNG+는/JX
태극기	태극기/NNG
집회를	집회/NNG+를/JKO
주도하며	주도/NNG+하/XSV+며/EC
박근혜	박근혜/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
탄핵	탄핵/NNG
무효를	무효/NNG+를/JKO
주장한	주장/NNG+하/XSV+ㄴ/ETM
친박(親朴)계	친/XPN+박/NNP+(/SS+親朴/SH+)/SS+계/XSN
인물로	인물/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.240.3.4
보수 단체들 사이에선 "경찰이 친박 단체에 대한 '표적 수사'를 시작한 것 아니냐"는 우려가 나온다.

보수	보수/NNG
단체들	단체/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
"경찰이	"/SS+경찰/NNG+이/JKS
친박	친/XPN+박/NNP
단체에	단체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'표적	'/SS+표적/NNG
수사'를	수사/NNG+'/SS+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.240.4.1
경찰청 특수수사과는 이날 서울 중구에 있는 자유총연맹 사무실과 영등포구에 있는 김 총재 자택 등에 대해 압수 수색에 들어갔다.

경찰청	경찰청/NNG
특수수사과는	특수/NNG+수사과/NNG+는/JX
이날	이날/NNG
서울	서울/NNP
중구에	중구/NNP+에/JKB
있는	있/VA+는/ETM
자유총연맹	자유총연맹/NNP
사무실과	사무실/NNG+과/JC
영등포구에	영등포구/NNP+에/JKB
김	김/NNP
총재	총재/NNG
자택	자택/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
압수	압수/NNG
수색에	수색/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.240.5.1
경찰은 "김 총재는 자유총연맹이 최대 주주로 있는 한전산업개발의 사장 인사를 대가로 주복원 사장으로부터 지난해 두 차례에 거쳐 수천만원을 받은 혐의를 받고 있다"고 했다.

경찰은	경찰/NNG+은/JX
"김	"/SS+김/NNP
총재는	총재/NNG+는/JX
자유총연맹이	자유총연맹/NNP+이/JKS
최대	최대/NNG
주주로	주주/NNG+로/JKB
있는	있/VA+는/ETM
한전산업개발의	한전산업개발/NNP+의/JKG
사장	사장/NNG
인사를	인사/NNG+를/JKO
대가로	대가/NNG+로/JKB
주복원	주복원/NNP
사장으로부터	사장/NNG+으로부터/JKB
지난해	지난해/NNG
두	두/MMN
차례에	차례/NNG+에/JKB
거쳐	거치/VV+어/EC
수천만원을	수천만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.240.6.1
