# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.351
metadata : {}


# id : NWRW1800000046.351.1.1
[美·日 新밀월시대] 전쟁 반성한다며 '야스쿠니(2차대전 전범 기리는 神社) 참배' 極右 측근 내세운 아베

[美·日	[/SS+美/SH+·/SP+日/SH
新밀월시대]	新/SH+밀월/NNG+시대/NNG+]/SS
전쟁	전쟁/NNG
반성한다며	반성/NNG+하/XSV+ㄴ다며/EC
'야스쿠니(2차대전	'/SS+야스쿠니/NNP+(/SS+2/SN+차/NNB+대전/NNG
전범	전범/NNG
기리는	기리/VV+는/ETM
神社)	神社/SH+)/SS
참배'	참배/NNG+'/SS
極右	極右/SH
측근	측근/NNG
내세운	내세우/VV+ㄴ/ETM
아베	아베/NNP


# id : NWRW1800000046.351.2.1
美 상·하원 합동연설… 신도 議員·이오지마 전투 참전 美노병을 '화해 상징'으로 소개

美	美/SH
상·하원	상·하원/NNG
합동연설…	합동/NNG+연설/NNG+…/SE
신도	신도/NNP
議員·이오지마	議員/SH+·/SP+이오지마/NNP
전투	전투/NNG
참전	참전/NNG
美노병을	美/SH+노병/NNG+을/JKO
'화해	'/SS+화해/NNG
상징'으로	상징/NNG+'/SS+으로/JKB
소개	소개/NNG


# id : NWRW1800000046.351.3.1
29일 미 의회 상·하원 합동연설에 나선 아베 신조(安倍晋三) 일본 총리는 치밀하게 준비된 연설로 미 상·하원 의원들의 기립 박수를 여러 차례 이끌어냈다.

29일	29/SN+일/NNB
미	미/NNP
의회	의회/NNG
상·하원	상·하원/NNG
합동연설에	합동/NNG+연설/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리는	총리/NNG+는/JX
치밀하게	치밀하/VA+게/EC
준비된	준비/NNG+되/XSV+ㄴ/ETM
연설로	연설/NNG+로/JKB
의원들의	의원/NNG+들/XSN+의/JKG
기립	기립/NNG
박수를	박수/NNG+를/JKO
여러	여러/MMN
차례	차례/NNG
이끌어냈다.	이끌/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.351.3.2
그는 이날 연설에서 2차 대전 당시 전사한 미군에 대한 사죄와 반성의 뜻을 밝혔다.

그는	그/NP+는/JX
이날	이날/NNG
연설에서	연설/NNG+에서/JKB
2차	2/SN+차/NNB
대전	대전/NNG
당시	당시/NNG
전사한	전사/NNG+하/XSV+ㄴ/ETM
미군에	미군/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사죄와	사죄/NNG+와/JC
반성의	반성/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.351.3.3
그는 "워싱턴에 있는 2차 대전 기념물을 참배하면서 전사한 미군 병사들의 잃어버린 꿈과 미래에 대해 깊이 반성하고 묵념을 올렸다"고 말했다.

그는	그/NP+는/JX
"워싱턴에	"/SS+워싱턴/NNP+에/JKB
있는	있/VA+는/ETM
2차	2/SN+차/NNB
대전	대전/NNG
기념물을	기념물/NNG+을/JKO
참배하면서	참배/NNG+하/XSV+면서/EC
전사한	전사/NNG+하/XSV+ㄴ/ETM
미군	미군/NNG
병사들의	병사/NNG+들/XSN+의/JKG
잃어버린	잃어버리/VV+ㄴ/ETM
꿈과	꿈/NNG+과/JC
미래에	미래/NNG+에/JKB
대해	대하/VV+아/EC
깊이	깊이/MAG
반성하고	반성/NNG+하/XSV+고/EC
묵념을	묵념/NNG+을/JKO
올렸다"고	올리/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.351.3.4
또 "일본은 전쟁 이후 전쟁에 대해 사죄하는 마음을 가져왔다"고도 했다.

또	또/MAG
"일본은	"/SS+일본/NNP+은/JX
전쟁	전쟁/NNG
이후	이후/NNG
전쟁에	전쟁/NNG+에/JKB
대해	대하/VV+아/EC
사죄하는	사죄/NNG+하/XSV+는/ETM
마음을	마음/NNG+을/JKO
가져왔다"고도	가지/VV+어/EC+오/VX+았/EP+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.351.4.1
아베는 이날 연설 도중 방청석의 부인 아키에(昭惠) 여사 옆에 나란히 앉아 있는 미군 노병(老兵)과 일본 자민당 의원을 소개했다.

아베는	아베/NNP+는/JX
이날	이날/NNG
연설	연설/NNG
도중	도중/NNG
방청석의	방청석/NNG+의/JKG
부인	부인/NNG
아키에(昭惠)	아키에/NNP+(/SS+昭惠/SH+)/SS
여사	여사/NNG
옆에	옆/NNG+에/JKB
나란히	나란히/MAG
앉아	앉/VV+아/EC
있는	있/VX+는/ETM
미군	미군/NNG
노병(老兵)과	노병/NNG+(/SS+老兵/SH+)/SS+과/JC
일본	일본/NNP
자민당	자민당/NNP
의원을	의원/NNG+을/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.351.4.2
"오늘 방청석엔 2차 대전 당시 이오지마(硫黃島) 전투에 참전한 로런스 스노든 미 예비역 해병대 중장이 와 계십니다."

"오늘	"/SS+오늘/NNG
방청석엔	방청석/NNG+에/JKB+ㄴ/JX
2차	2/SN+차/NNB
대전	대전/NNG
당시	당시/NNG
이오지마(硫黃島)	이오지마/NNP+(/SS+硫黃島/SH+)/SS
전투에	전투/NNG+에/JKB
참전한	참전/NNG+하/XSV+ㄴ/ETM
로런스	로런스/NNP
스노든	스노든/NNP
미	미/NNP
예비역	예비역/NNG
해병대	해병대/NNG
중장이	중장/NNG+이/JKS
와	오/VV+아/EC
계십니다."	계시/VX+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000046.351.4.3
스노든(94) 장군은 태평양전쟁 당시 가장 참혹한 전투였던 1945년 2월 이오지마 전투에서 미 해병대 중대장으로 참전해 일본군과 격렬한 전투를 벌였다.

스노든(94)	스노든/NNP+(/SS+94/SN+)/SS
장군은	장군/NNG+은/JX
태평양전쟁	태평양/NNP+전쟁/NNG
당시	당시/NNG
가장	가장/MAG
참혹한	참혹/NNG+하/XSA+ㄴ/ETM
