# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.194
metadata : {}


# id : NWRW1800000049.194.1.1
“BNF통상, 신영자 이사장이 실소유”

“BNF통상,	“/SS+BNF통상/NNP+,/SP
신영자	신영자/NNP
이사장이	이사장/NNG+이/JKS
실소유”	실소유/NNG+”/SS


# id : NWRW1800000049.194.2.1
‘면세점 입점 뒷돈 창구’ 의심 회사… 檢 “신영자씨가 실질 영향력” 진술 확보 롯데케미칼 前재무이사 영장

‘면세점	‘/SS+면세점/NNG
입점	입점/NNG
뒷돈	뒷돈/NNG
창구’	창구/NNG+’/SS
의심	의심/NNG
회사…	회사/NNG+…/SE
檢	檢/SH
“신영자씨가	“/SS+신영자/NNP+씨/NNB+가/JKS
실질	실질/NNG
영향력”	영향력/NNG+”/SS
진술	진술/NNG
확보	확보/NNG
롯데케미칼	롯데케미칼/NNP
前재무이사	前/SH+재무/NNG+이사/NNG
영장	영장/NNG


# id : NWRW1800000049.194.3.1
신영자 롯데장학재단 이사장(74)이 롯데면세점 입점과 관련해 뒷돈을 받은 창구로 의심받고 있는 면세 컨설팅업체 BNF통상도 실질적으로는 신 이사장 소유라는 핵심 관련자의 진술을 검찰이 확보했다.

신영자	신영자/NNP
롯데장학재단	롯데장학재단/NNP
이사장(74)이	이사장/NNG+(/SS+74/SN+)/SS+이/JKS
롯데면세점	롯데면세점/NNP
입점과	입점/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
뒷돈을	뒷돈/NNG+을/JKO
받은	받/VV+은/ETM
창구로	창구/NNG+로/JKB
의심받고	의심/NNG+받/XSV+고/EC
있는	있/VX+는/ETM
면세	면세/NNG
컨설팅업체	컨설팅/NNG+업체/NNG
BNF통상도	BNF통상/NNP+도/JX
실질적으로는	실질/NNG+적/XSN+으로/JKB+는/JX
신	신/NNP
이사장	이사장/NNG
소유라는	소유/NNG+이/VCP+라는/ETM
핵심	핵심/NNG
관련자의	관련자/NNG+의/JKG
진술을	진술/NNG+을/JKO
검찰이	검찰/NNG+이/JKS
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.194.3.2
표면적으로 BNF통상은 신 이사장의 아들인 장재영 씨(48)가 지분 100%를 소유하고 있다.

표면적으로	표면/NNG+적/XSN+으로/JKB
BNF통상은	BNF통상/NNP+은/JX
신	신/NNP
이사장의	이사장/NNG+의/JKG
아들인	아들/NNG+이/VCP+ㄴ/ETM
장재영	장재영/NNP
씨(48)가	씨/NNB+(/SS+48/SN+)/SS+가/JKS
지분	지분/NNG
100%를	100/SN+%/SW+를/JKO
소유하고	소유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.194.4.1
서울중앙지검 방위사업수사부(부장 박찬호)는 증거인멸 혐의로 구속한 BNF통상 대표 이모 씨로부터 “신 이사장이 BNF통상의 의사 결정에 실질적인 영향력을 행사해왔다.

서울중앙지검	서울중앙지검/NNP
방위사업수사부(부장	방위/NNG+사업/NNG+수사부/NNG+(/SS+부장/NNG
박찬호)는	박찬호/NNP+)/SS+는/JX
증거인멸	증거/NNG+인멸/NNG
혐의로	혐의/NNG+로/JKB
구속한	구속/NNG+하/XSV+ㄴ/ETM
BNF통상	BNF통상/NNP
대표	대표/NNG
이모	이/NNP+모/NP
씨로부터	씨/NNB+로부터/JKB
“신	“/SS+신/NNP
이사장이	이사장/NNG+이/JKS
BNF통상의	BNF통상/NNP+의/JKG
의사	의사/NNG
결정에	결정/NNG+에/JKB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
행사해왔다.	행사/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.194.4.2
면세점 에 입점하려는 브랜드들이 건넨 수수료는 신 이사장을 염두에 둔 성격도 있다”는 취지의 진술을 확보한 것으로 21일 확인됐다.

면세점	면세점/NNG
에	에/JKB
입점하려는	입점/NNG+하/XSV+려는/ETM
브랜드들이	브랜드/NNG+들/XSN+이/JKS
건넨	건네/VV+ㄴ/ETM
수수료는	수수료/NNG+는/JX
신	신/NNP
이사장을	이사장/NNG+을/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
성격도	성격/NNG+도/JX
있다”는	있/VA+다/EF+”/SS+는/ETM
취지의	취지/NNG+의/JKG
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
21일	21/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.194.4.3
이 씨는 당초 신 이사장과 BNF통상의 연관성을 부인했지만 검찰이 확보한 증거를 제시하며 추궁하자 진술을 바꾼 것으로 알려졌다.

이	이/NNP
씨는	씨/NNB+는/JX
당초	당초/NNG
신	신/NNP
이사장과	이사장/NNG+과/JC
BNF통상의	BNF통상/NNP+의/JKG
연관성을	연관/NNG+성/XSN+을/JKO
부인했지만	부인/NNG+하/XSV+았/EP+지만/EC
검찰이	검찰/NNG+이/JKS
확보한	확보/NNG+하/XSV+ㄴ/ETM
증거를	증거/NNG+를/JKO
제시하며	제시/NNG+하/XSV+며/EC
추궁하자	추궁/NNG+하/XSV+자/EC
진술을	진술/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.194.5.1
