# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.30
metadata : {}


# id : NWRW1800000046.30.1.1
[깨알지식] 中 독거노인의 서글픈 두 단어 '스두·쿵차오'

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
中	中/SH
독거노인의	독거노인/NNG+의/JKG
서글픈	서글프/VA+ㄴ/ETM
두	두/MMN
단어	단어/NNG
'스두·쿵차오'	'/SS+스두/NNG+·/SP+쿵차오/NNG+'/SS


# id : NWRW1800000046.30.2.1
중국에서 지난 1일부터 시작된 제4차 노인 생활 실태조사에서 '스두(失獨) 가정'과 '쿵차오(空巢) 노인'을 가려내기 위해 자녀에 관한 질문 항목을 대폭 늘렸다고 신콰이바오가 6일 보도했다.

중국에서	중국/NNP+에서/JKB
지난	지나/VV+ㄴ/ETM
1일부터	1/SN+일/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
제4차	제/XPN+4/SN+차/NNB
노인	노인/NNG
생활	생활/NNG
실태조사에서	실태/NNG+조사/NNG+에서/JKB
'스두(失獨)	'/SS+스두/NNG+(/SS+失獨/SH+)/SS
가정'과	가정/NNG+'/SS+과/JC
'쿵차오(空巢)	'/SS+쿵차오/NNG+(/SS+空巢/SH+)/SS
노인'을	노인/NNG+'/SS+을/JKO
가려내기	가려내/VV+기/ETN
위해	위하/VV+아/EC
자녀에	자녀/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
질문	질문/NNG
항목을	항목/NNG+을/JKO
대폭	대폭/MAG
늘렸다고	늘리/VV+었/EP+다고/EC
신콰이바오가	신콰이바오/NNP+가/JKS
6일	6/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.30.2.2
'스두'와 '쿵차오'란 뭘까.

'스두'와	'/SS+스두/NNG+'/SS+와/JC
'쿵차오'란	'/SS+쿵차오/NNG+'/SS+란/JX
뭘까.	뭐/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000046.30.3.1
'스두'는 잃을 '실(失)' 자와 외동을 뜻하는 '독(獨)' 자의 조어로, 하나뿐인 자녀를 병이나 사고로 잃은 노인이 의지할 곳 없이 외롭고 가난하게 사는 현상을 말한다.

'스두'는	'/SS+스두/NNG+'/SS+는/JX
잃을	잃/VV+을/ETM
'실(失)'	'/SS+실/NNG+(/SS+失/SH+)/SS+'/SS
자와	자/NNG+와/JC
외동을	외동/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
'독(獨)'	'/SS+독/NNG+(/SS+獨/SH+)/SS+'/SS
자의	자/NNG+의/JKG
조어로,	조어/NNG+로/JKB+,/SP
하나뿐인	하나/NR+뿐/JX+이/VCP+ㄴ/ETM
자녀를	자녀/NNG+를/JKO
병이나	병/NNG+이나/JC
사고로	사고/NNG+로/JKB
잃은	잃/VV+은/ETM
노인이	노인/NNG+이/JKS
의지할	의지/NNG+하/XSV+ㄹ/ETM
곳	곳/NNG
없이	없이/MAG
외롭고	외롭/VA+고/EC
가난하게	가난/NNG+하/XSA+게/EC
사는	살/VV+는/ETM
현상을	현상/NNG+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.30.3.2
'쿵차오'는 비울 '공(空)' 자와 둥지 '소(巢)' 자의 조어로 자녀가 '둥지'인 집을 떠나 노인 홀로 덩그러니 남겨지는 현상을 뜻한다.

'쿵차오'는	'/SS+쿵차오/NNG+'/SS+는/JX
비울	비우/VV+ㄹ/ETM
'공(空)'	'/SS+공/NNG+(/SS+空/SH+)/SS+'/SS
자와	자/NNG+와/JC
둥지	둥지/NNG
'소(巢)'	'/SS+소/NNG+(/SS+巢/SH+)/SS+'/SS
자의	자/NNG+의/JKG
조어로	조어/NNG+로/JKB
자녀가	자녀/NNG+가/JKS
'둥지'인	'/SS+둥지/NNG+'/SS+이/VCP+ㄴ/ETM
집을	집/NNG+을/JKO
떠나	떠나/VV+아/EC
노인	노인/NNG
홀로	홀로/MAG
덩그러니	덩그러니/MAG
남겨지는	남기/VV+어/EC+지/VX+는/ETM
현상을	현상/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.30.3.3
중국에는 '스두 가정'이 100만 가구에 이르고, '쿵차오 노인'은 노령 인구 1억명 중 50%(2014년 기준)를 차지한다.

중국에는	중국/NNP+에/JKB+는/JX
'스두	'/SS+스두/NNG
가정'이	가정/NNG+'/SS+이/JKS
100만	100/SN+만/NR
가구에	가구/NNG+에/JKB
이르고,	이르/VV+고/EC+,/SP
'쿵차오	'/SS+쿵차오/NNG
노인'은	노인/NNG+'/SS+은/JX
노령	노령/NNG
인구	인구/NNG
1억명	1/SN+억/NR+명/NNB
중	중/NNB
50%(2014년	50/SN+%/SW+(/SS+2014/SN+년/NNB
기준)를	기준/NNG+)/SS+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.30.3.4
최근 매년 10만명의 노인이 고독사를 맞는다는 사실이 알려지면서 '스두'와 '쿵차오'는 중국의 주요 사회 이슈로 떠올랐다.

최근	최근/MAG
매년	매년/MAG
10만명의	10/SN+만/NR+명/NNB+의/JKG
노인이	노인/NNG+이/JKS
고독사를	고독사/NNG+를/JKO
맞는다는	맞/VV+는다는/ETM
사실이	사실/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
'스두'와	'/SS+스두/NNG+'/SS+와/JC
'쿵차오'는	'/SS+쿵차오/NNG+'/SS+는/JX
중국의	중국/NNP+의/JKG
주요	주요/NNG
사회	사회/NNG
이슈로	이슈/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.30.4.1
중국 매체는 이런 현상이 중국이 1979년 실시한 '한 가정 한 자녀' 정책의 여파라고 분석하면서 "중국 정부가 노후를 책임져 주겠다며 산아 제한을 했지만 결국 피해는 개인이 봤다"고 비판했다.

중국	중국/NNP
매체는	매체/NNG+는/JX
이런	이런/MMD
현상이	현상/NNG+이/JKS
중국이	중국/NNP+이/JKS
1979년	1979/SN+년/NNB
실시한	실시/NNG+하/XSV+ㄴ/ETM
'한	'/SS+한/MMN
가정	가정/NNG
한	한/MMN
자녀'	자녀/NNG+'/SS
정책의	정책/NNG+의/JKG
여파라고	여파/NNG+이/VCP+라고/EC
분석하면서	분석/NNG+하/XSV+면서/EC
"중국	"/SS+중국/NNP
정부가	정부/NNG+가/JKS
노후를	노후/NNG+를/JKO
책임져	책임지/VV+어/EC
주겠다며	주/VX+겠/EP+다며/EC
산아	산아/NNG
제한을	제한/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
결국	결국/MAG
피해는	피해/NNG+는/JX
개인이	개인/NNG+이/JKS
봤다"고	보/VV+았/EP+다/EF+"/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.30.4.2
현재 중국 도시에서 아내가 49세 이상인 '스두' 가정은 보상금으로 월 340위안(약 6만원)을 받는다.

현재	현재/MAG
중국	중국/NNP
도시에서	도시/NNG+에서/JKB
아내가	아내/NNG+가/JKS
49세	49/SN+세/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
'스두'	'/SS+스두/NNG+'/SS
가정은	가정/NNG+은/JX
보상금으로	보상금/NNG+으로/JKB
월	월/NNG
340위안(약	340/SN+위안/NNB+(/SS+약/MMA
6만원)을	6/SN+만/NR+원/NNB+)/SS+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000046.30.4.3
기본적인 생활을 유지하기에도 턱없이 부족한 금액이다.

기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
생활을	생활/NNG+을/JKO
유지하기에도	유지/NNG+하/XSV+기/ETN+에/JKB+도/JX
턱없이	턱없이/MAG
부족한	부족/NNG+하/XSA+ㄴ/ETM
금액이다.	금액/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.30.5.1
'쿵차오' 노인 중 10~20%는 심각한 우울증을 앓는다는 연구 결과도 있다.

'쿵차오'	'/SS+쿵차오/NNG+'/SS
노인	노인/NNG
중	중/NNB
10~20%는	10/SN+~/SO+20/SN+%/SW+는/JX
심각한	심각하/VA+ㄴ/ETM
우울증을	우울증/NNG+을/JKO
앓는다는	앓/VV+는다는/ETM
연구	연구/NNG
결과도	결과/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.30.5.2
중국은 2013년 12월에서야 '한 자녀' 정책을 완화해 부모 중 한 사람이 독자면 둘째를 가질 수 있도록 했다.

중국은	중국/NNP+은/JX
2013년	2013/SN+년/NNB
12월에서야	12/SN+월/NNB+에서/JKB+야/JX
'한	'/SS+한/MMN
자녀'	자녀/NNG+'/SS
정책을	정책/NNG+을/JKO
완화해	완화/NNG+하/XSV+아/EC
부모	부모/NNG
중	중/NNB
한	한/MMN
사람이	사람/NNG+이/JKS
독자면	독자/NNG+이/VCP+면/EC
둘째를	둘째/NNG+를/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


