# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.29
metadata : {}


# id : NWRW1800000046.29.1.1
[월드 톡톡] 美와 核합의 이뤄낸 이란에 '진짜 맥도널드 1호점' 생기나

[월드	[/SS+월드/NNG
톡톡]	톡톡/MAG+]/SS
美와	美/SH+와/JKB
核합의	核/SH+합의/NNG
이뤄낸	이루/VV+어/EC+내/VX+ㄴ/ETM
이란에	이란/NNP+에/JKB
'진짜	'/SS+진짜/NNG
맥도널드	맥도널드/NNP
1호점'	1/SN+호점/NNB+'/SS
생기나	생기/VV+나/EF


# id : NWRW1800000046.29.2.1
국교정상화 기대감 높아져… 맥도널드 "지점 신청 받아"

국교정상화	국교/NNG+정상/NNG+화/XSN
기대감	기대감/NNG
높아져…	높아지/VV+어/EF+…/SE
맥도널드	맥도널드/NNP
"지점	"/SS+지점/NNG
신청	신청/NNG
받아"	받/VV+아/EF+"/SS


# id : NWRW1800000046.29.3.1
"이란에 '진짜 맥도널드'가 문을 열면 당장 가야죠.

"이란에	"/SS+이란/NNP+에/JKB
'진짜	'/SS+진짜/NNG
맥도널드'가	맥도널드/NNP+'/SS+가/JKS
문을	문/NNG+을/JKO
열면	열/VV+면/EC
당장	당장/NNG
가야죠.	가/VV+아야지/EF+요/JX+./SF


# id : NWRW1800000046.29.3.2
맥도널드가 있는 사우디 메카로 성지 순례를 갔을 땐 매일 갈 정도였거든요."

맥도널드가	맥도널드/NNP+가/JKS
있는	있/VA+는/ETM
사우디	사우디/NNP
메카로	메카/NNP+로/JKB
성지	성지/NNG
순례를	순례/NNG+를/JKO
갔을	가/VV+았/EP+을/ETM
땐	때/NNG+ㄴ/JX
매일	매일/MAG
갈	가/VV+ㄹ/ETM
정도였거든요."	정도/NNG+이/VCP+었/EP+거든/EF+요/JX+./SF+"/SS


# id : NWRW1800000046.29.4.1
뉴욕타임스에 따르면 이란 수도 테헤란에 있는 패스트푸드점 '매시도널드(MashDonald's)'에서 이란 청년 시아바쉬 미르테키(29)가 '짝퉁 빅맥'을 한 입 베어 물며 이렇게 말했다.

뉴욕타임스에	뉴욕타임스/NNP+에/JKB
따르면	따르/VV+면/EC
이란	이란/NNP
수도	수도/NNG
테헤란에	테헤란/NNP+에/JKB
있는	있/VA+는/ETM
패스트푸드점	패스트푸드점/NNG
'매시도널드(MashDonald's)'에서	'/SS+매시도널드/NNP+(/SS+MashDonald/SL+'/SS+s/SL+)/SS+'/SS+에서/JKB
청년	청년/NNG
시아바쉬	시아바쉬/NNP
미르테키(29)가	미르테키/NNP+(/SS+29/SN+)/SS+가/JKS
'짝퉁	'/SS+짝퉁/NNG
빅맥'을	빅맥/NNG+'/SS+을/JKO
한	한/MMN
입	입/NNG
베어	베/VV+어/EC
물며	물/VV+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.29.4.2
'매시도널드'는 미국 패스트푸드 체인을 흉내 낸 '가짜 맥도널드(McDonald's)'다.

'매시도널드'는	'/SS+매시도널드/NNP+'/SS+는/JX
미국	미국/NNP
패스트푸드	패스트푸드/NNG
체인을	체인/NNG+을/JKO
흉내	흉내/NNG
낸	내/VV+ㄴ/ETM
'가짜	'/SS+가짜/NNG
맥도널드(McDonald's)'다.	맥도널드/NNP+(/SS+McDonald/SL+'/SS+s/SL+)/SS+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.29.5.1
지구촌에서 미국의 유명 패스트푸드 체인이 발도 못 붙인 몇 안 되는 곳이 이란이다.

지구촌에서	지구촌/NNG+에서/JKB
미국의	미국/NNP+의/JKG
유명	유명/NNG
패스트푸드	패스트푸드/NNG
체인이	체인/NNG+이/JKS
발도	발/NNG+도/JX
못	못/MAG
붙인	붙이/VV+ㄴ/ETM
몇	몇/NR
안	안/MAG
되는	되/VV+는/ETM
곳이	곳/NNG+이/JKS
이란이다.	이란/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000046.29.5.2
1979년 이슬람 혁명으로 미국과 단교한 이래 이란 정부는 자국 내 미국 프랜차이즈 입점을 불허했다.

1979년	1979/SN+년/NNB
이슬람	이슬람/NNG
혁명으로	혁명/NNG+으로/JKB
미국과	미국/NNP+과/JKB
단교한	단교/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
이란	이란/NNP
정부는	정부/NNG+는/JX
자국	자국/NNG
내	내/NNB
미국	미국/NNP
프랜차이즈	프랜차이즈/NNG
입점을	입점/NNG+을/JKO
불허했다.	불허/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.29.6.1
그런데 젊은이들의 미국 패스트푸드에 대한 관심과 호감이 부쩍 높아진 2000년대 초부터 이들의 기호를 겨냥한 '짝퉁 미국 패스트푸드 매장'이 속속 들어섰다.

그런데	그런데/MAJ
젊은이들의	젊은이/NNG+들/XSN+의/JKG
미국	미국/NNP
패스트푸드에	패스트푸드/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심과	관심/NNG+과/JC
호감이	호감/NNG+이/JKS
부쩍	부쩍/MAG
높아진	높아지/VV+ㄴ/ETM
2000년대	2000/SN+년대/NNB
초부터	초/NNB+부터/JX
이들의	이/NP+들/XSN+의/JKG
기호를	기호/NNG+를/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
'짝퉁	'/SS+짝퉁/NNG
패스트푸드	패스트푸드/NNG
매장'이	매장/NNG+'/SS+이/JKS
속속	속속/MAG
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.29.6.2
수도 테헤란 거리에는 'K.F.C.

수도	수도/NNG
테헤란	테헤란/NNP
거리에는	거리/NNG+에/JKB+는/JX
'K.F.C.	'/SS+K/SL+./SP+F/SL+./SP+C/SL+./SP


# id : NWRW1800000046.29.6.3
(Kabooki Fried Chicken·Kentucky 대신 Kabooki)', '버거하우스(버거킹)' '피자햇(피자헛)' 등 기존의 유명 체인의 이름을 교묘히 흉내 낸 매장이나, '스타벅스' 로고를 따라 한 커피전문점 등이 성업 중이다.

(Kabooki	(/SS+Kabooki/SL
Fried	Fried/SL
Chicken·Kentucky	Chicken/SL+·/SP+Kentucky/SL
대신	대신/NNG
Kabooki)',	Kabooki/SL+)/SS+'/SS+,/SP
'버거하우스(버거킹)'	'/SS+버거하우스/NNP+(/SS+버거킹/NNP+)/SS+'/SS
'피자햇(피자헛)'	'/SS+피자햇/NNP+(/SS+피자헛/NNP+)/SS+'/SS
등	등/NNB
기존의	기존/NNG+의/JKG
유명	유명/NNG
체인의	체인/NNG+의/JKG
이름을	이름/NNG+을/JKO
교묘히	교묘히/MAG
흉내	흉내/NNG
낸	내/VV+ㄴ/ETM
매장이나,	매장/NNG+이나/JC+,/SP
'스타벅스'	'/SS+스타벅스/NNP+'/SS
로고를	로고/NNG+를/JKO
따라	따르/VV+아/EC
한	하/VV+ㄴ/ETM
커피전문점	커피/NNG+전문점/NNG
등이	등/NNB+이/JKS
성업	성업/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.29.7.1
이랬던 이란에 진짜 '맥도널드 1호점'이 생길 수 있다는 기대감이 커지고 있다.

이랬던	이렇/VA+었/EP+던/ETM
이란에	이란/NNP+에/JKB
진짜	진짜/NNG
'맥도널드	'/SS+맥도널드/NNP
1호점'이	1/SN+호점/NNB+'/SS+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
기대감이	기대감/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.29.7.2
지난달 미국 등 서방 국가들과의 핵협상 타결로 국교 정상화에 대한 기대감이 높아지면서다.

지난달	지난달/NNG
미국	미국/NNP
등	등/NNB
서방	서방/NNG
국가들과의	국가/NNG+들/XSN+과/JKB+의/JKG
핵협상	핵/NNG+협상/NNG
타결로	타결/NNG+로/JKB
국교	국교/NNG
정상화에	정상/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
기대감이	기대감/NNG+이/JKS
높아지면서다.	높아지/VV+면서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000046.29.7.3
맥도널드는 최근 웹사이트를 통해 '이란 지점' 창업 신청을 받기 시작했다.

맥도널드는	맥도널드/NNP+는/JX
최근	최근/MAG
웹사이트를	웹/NNG+사이트/NNG+를/JKO
통해	통하/VV+아/EC
'이란	'/SS+이란/NNP
