# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.148
metadata : {}


# id : NWRW1800000030.148.1.1
"나는 시체처리반… 北에서 850구를 버렸다"

"나는	"/SS+나/NP+는/JX
시체처리반…	시체/NNG+처리반/NNG+…/SE
北에서	北/SH+에서/JKB
850구를	850/SN+구/NNB+를/JKO
버렸다"	버리/VV+었/EP+다/EF+"/SS


# id : NWRW1800000030.148.2.1
•50대 탈북자 이수복씨의 충격 증언

•50대	•/SW+50/SN+대/NNB
탈북자	탈북자/NNG
이수복씨의	이수복/NNP+씨/NNB+의/JKG
충격	충격/NNG
증언	증언/NNG


# id : NWRW1800000030.148.3.1
"시신에서 흘러나온 피와 체액으로 질퍽해진 바닥을 걸어본 적 있습니까.

"시신에서	"/SS+시신/NNG+에서/JKB
흘러나온	흘러나오/VV+ㄴ/ETM
피와	피/NNG+와/JC
체액으로	체액/NNG+으로/JKB
질퍽해진	질퍽하/VA+아/EC+지/VX+ㄴ/ETM
바닥을	바닥/NNG+을/JKO
걸어본	걷/VV+어/EC+보/VX+ㄴ/ETM
적	적/NNB
있습니까.	있/VA+습니까/EF+./SF


# id : NWRW1800000030.148.3.2
나는 매일 그랬습니다.

나는	나/NP+는/JX
매일	매일/MAG
그랬습니다.	그렇/VA+었/EP+습니다/EF+./SF


# id : NWRW1800000030.148.3.3
시신을 뜯어 먹고 살이 푸둥푸둥 찐 쥐를 본적 있습니까.

시신을	시신/NNG+을/JKO
뜯어	뜯/VV+어/EC
먹고	먹/VV+고/EC
살이	살/NNG+이/JKS
푸둥푸둥	푸둥푸둥/MAG
찐	찌/VV+ㄴ/ETM
쥐를	쥐/NNG+를/JKO
본적	보/VV+ㄴ/ETM+적/NNB
있습니까.	있/VA+습니까/EF+./SF


# id : NWRW1800000030.148.3.4
나는 매일 봤습니다."

나는	나/NP+는/JX
매일	매일/MAG
봤습니다."	보/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000030.148.4.1
이수복(55)씨는 북한 함경북도 회령시에 있는 전거리교화소 수감 시절에 시신 처리를 담당했다.

이수복(55)씨는	이수복/NNP+(/SS+55/SN+)/SS+씨/NNB+는/JX
북한	북한/NNP
함경북도	함경북도/NNP
회령시에	회령시/NNP+에/JKB
있는	있/VA+는/ETM
전거리교화소	전거리교화소/NNP
수감	수감/NNG
시절에	시절/NNG+에/JKB
시신	시신/NNG
처리를	처리/NNG+를/JKO
담당했다.	담당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.148.4.2
북한의 교화소는 우리나라의 교도소와 비슷한 곳으로 정치범·경제사범 등을 수용하는 것으로 알려져 있다.

북한의	북한/NNP+의/JKG
교화소는	교화소/NNG+는/JX
우리나라의	우리나라/NNG+의/JKG
교도소와	교도소/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
정치범·경제사범	정치범/NNG+·/SP+경제/NNG+사범/NNG
등을	등/NNB+을/JKO
수용하는	수용/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.148.4.3
그는 "교화소에서는 시신을 50~60구씩 쌓아 두었다"며 "지옥이 따로 있는 게 아니었다"고 그때의 끔찍한 기억을 떠올렸다.

그는	그/NP+는/JX
"교화소에서는	"/SS+교화소/NNG+에서/JKB+는/JX
시신을	시신/NNG+을/JKO
50~60구씩	50/SN+~/SO+60/SN+구/NNB+씩/XSN
쌓아	쌓/VV+아/EC
두었다"며	두/VX+었/EP+다/EF+"/SS+며/EC
"지옥이	"/SS+지옥/NNG+이/JKS
따로	따로/MAG
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니었다"고	아니/VCN+었/EP+다/EF+"/SS+고/JKQ
그때의	그때/NNG+의/JKG
끔찍한	끔찍하/VA+ㄴ/ETM
