# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.159
metadata : {}


# id : NWRW1800000037.159.1.1
[책의 향기]금융은 과연 나쁜가?… 실러, 따뜻한 금융을 말하다

[책의	[/SS+책/NNG+의/JKG
향기]금융은	향기/NNG+]/SS+금융/NNG+은/JX
과연	과연/MAG
나쁜가?…	나쁘/VA+ㄴ가/EF+?/SF+…/SE
실러,	실러/NNP+,/SP
따뜻한	따뜻하/VA+ㄴ/ETM
금융을	금융/NNG+을/JKO
말하다	말/NNG+하/XSV+다/EF


# id : NWRW1800000037.159.2.1
◇새로운 금융시대/로버트 실러 지음·노지양 조윤정 옮김/456쪽·1만7000원/알에치코리아

◇새로운	◇/SW+새롭/VA+ㄴ/ETM
금융시대/로버트	금융/NNG+시대/NNG+//SP+로버트/NNP
실러	실러/NNP
지음·노지양	짓/VV+음/ETN+·/SP+노지양/NNP
조윤정	조윤정/NNP
옮김/456쪽·1만7000원/알에치코리아	옮기/VV+ㅁ/ETN+//SP+456/SN+쪽/NNG+·/SP+1/SN+만/NR+7000/SN+원/NNB+//SP+알에치코리아/NNP


# id : NWRW1800000037.159.3.1
올해 노벨 경제학상을 받은 세 사람 중 한국인에게 가장 친숙한 사람은 행동경제학의 대부 로버트 실러 예일대 교수다.

올해	올해/NNG
노벨	노벨/NNP
경제학상을	경제학상/NNG+을/JKO
받은	받/VV+은/ETM
세	세/MMN
사람	사람/NNG
중	중/NNB
한국인에게	한국인/NNG+에게/JKB
가장	가장/MAG
친숙한	친숙/NNG+하/XSA+ㄴ/ETM
사람은	사람/NNG+은/JX
행동경제학의	행동/NNG+경제학/NNG+의/JKG
대부	대부/NNG
로버트	로버트/NNP
실러	실러/NNP
예일대	예일대/NNP
교수다.	교수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.159.3.2
그의 책 ‘야성적 충동(Animal Spirits)’은 2009년 2월 출간 즉시 세계 경제학계의 비상한 주목을 받았다.

그의	그/NP+의/JKG
책	책/NNG
‘야성적	‘/SS+야성/NNG+적/XSN
충동(Animal	충동/NNG+(/SS+Animal/SL
Spirits)’은	Spirits/SL+)/SS+’/SS+은/JX
2009년	2009/SN+년/NNB
2월	2/SN+월/NNB
출간	출간/NNG
즉시	즉시/MAG
세계	세계/NNG
경제학계의	경제학/NNG+계/XSN+의/JKG
비상한	비상/NNG+하/XSA+ㄴ/ETM
주목을	주목/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.159.3.3
그해 6월 국내에서도 번역 출판돼 지금까지 7쇄 3만3000부가 팔렸다.

그해	그해/NNG
6월	6/SN+월/NNB
국내에서도	국내/NNG+에서/JKB+도/JX
번역	번역/NNG
출판돼	출판/NNG+되/XSV+어/EC
지금까지	지금/NNG+까지/JX
7쇄	7/SN+쇄/NNG
3만3000부가	3/SN+만/NR+3000/SN+부/NNB+가/JKS
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.159.4.1
실러 교수는 자산가격 거품에 대한 이론을 펼치며 2000년 닷컴 버블 붕괴와 2007년 서브프라임 모기지 사태를 차례로 예언해 세상을 놀라게 했다.

실러	실러/NNP
교수는	교수/NNG+는/JX
자산가격	자산/NNG+가격/NNG
거품에	거품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이론을	이론/NNG+을/JKO
펼치며	펼치/VV+며/EC
2000년	2000/SN+년/NNB
닷컴	닷컴/NNG
버블	버블/NNG
붕괴와	붕괴/NNG+와/JC
2007년	2007/SN+년/NNB
서브프라임	서브프라임/NNG
모기지	모기지/NNG
사태를	사태/NNG+를/JKO
차례로	차례/NNG+로/JKB
예언해	예언/NNG+하/XSV+아/EC
세상을	세상/NNG+을/JKO
놀라게	놀라/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.159.4.2
이 같은 위기를 촉발한 주범으로 ‘금융업계의 탐욕과 무책임’이 지목됐고 ‘월가를 점령하라’는 구호까지 나왔다.

이	이/NP
같은	같/VA+은/ETM
위기를	위기/NNG+를/JKO
촉발한	촉발/NNG+하/XSV+ㄴ/ETM
주범으로	주범/NNG+으로/JKB
‘금융업계의	‘/SS+금융업/NNG+계/XSN+의/JKG
탐욕과	탐욕/NNG+과/JC
무책임’이	무/XPN+책임/NNG+’/SS+이/JKS
지목됐고	지목/NNG+되/XSV+었/EP+고/EC
‘월가를	‘/SS+월가/NNP+를/JKO
점령하라’는	점령/NNG+하/XSV+라/EF+’/SS+는/ETM
구호까지	구호/NNG+까지/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.159.4.3
금융에 대한 대중의 분노가 사그라지지 않은 상황에서 실러 교수가 “금융이 좋은 사회를 만드는 데 기여한다”는 주장을 담은 책을 내놓았다.

금융에	금융/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대중의	대중/NNG+의/JKG
분노가	분노/NNG+가/JKS
사그라지지	사그라지/VV+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
실러	실러/NNP
교수가	교수/NNG+가/JKS
“금융이	“/SS+금융/NNG+이/JKS
좋은	좋/VA+은/ETM
사회를	사회/NNG+를/JKO
만드는	만들/VV+는/ETM
데	데/NNB
기여한다”는	기여/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
주장을	주장/NNG+을/JKO
담은	담/VV+은/ETM
책을	책/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.159.5.1
금융은 원래부터 부도덕한 것인가?

금융은	금융/NNG+은/JX
원래부터	원래/NNG+부터/JX
부도덕한	부/XPN+도덕/NNG+하/XSA+ㄴ/ETM
것인가?	것/NNB+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000037.159.5.2
좋은 사회 건설의 걸림돌일까?

좋은	좋/VA+은/ETM
사회	사회/NNG
건설의	건설/NNG+의/JKG
걸림돌일까?	걸림돌/NNG+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000037.159.5.3
이 질문에 대해 실러 교수는 ‘노’라고 답한다.

이	이/MMD
질문에	질문/NNG+에/JKB
대해	대하/VV+아/EC
실러	실러/NNP
교수는	교수/NNG+는/JX
‘노’라고	‘/SS+노/NA+’/SS+라고/JKQ
답한다.	답/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.159.5.4
그는 영국의 산업혁명이 금융의 역할이 없었더라면 불가능했을 것이며, 미국의 서부 개척도 금융의 공로가 컸고, 최근 정보화 시대를 앞당길 수 있었던 것 역시 금융이 시장 리스크를 충분히 흡수해줬기 때문임을 호소력 있게 논증한다.

그는	그/NP+는/JX
영국의	영국/NNP+의/JKG
산업혁명이	산업/NNG+혁명/NNG+이/JKS
금융의	금융/NNG+의/JKG
역할이	역할/NNG+이/JKS
없었더라면	없/VA+었/EP+더라면/EC
불가능했을	불/XPN+가능/NNG+하/XSA+았/EP+을/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
미국의	미국/NNP+의/JKG
서부	서부/NNG
개척도	개척/NNG+도/JX
공로가	공로/NNG+가/JKS
컸고,	크/VA+었/EP+고/EC+,/SP
최근	최근/MAG
정보화	정보/NNG+화/XSN
시대를	시대/NNG+를/JKO
앞당길	앞당기/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것	것/NNB
역시	역시/MAG
금융이	금융/NNG+이/JKS
시장	시장/NNG
리스크를	리스크/NNG+를/JKO
충분히	충분히/MAG
흡수해줬기	흡수/NNG+하/XSV+아/EC+주/VX+었/EP+기/ETN
때문임을	때문/NNB+이/VCP+ㅁ/ETN+을/JKO
호소력	호소력/NNG
있게	있/VA+게/EC
논증한다.	논증/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.159.6.1
2008년 금융위기의 직접적 원인인 모기지(주택담보대출) 역시 자산유동화를 통해 대출금을 조기에 회수함으로써 더 많은 주택 구입자에게 대출 혜택을 주려고 만들어졌다.

2008년	2008/SN+년/NNB
금융위기의	금융/NNG+위기/NNG+의/JKG
직접적	직접/NNG+적/XSN
원인인	원인/NNG+이/VCP+ㄴ/ETM
모기지(주택담보대출)	모기지/NNG+(/SS+주택/NNG+담보/NNG+대출/NNG+)/SS
역시	역시/MAG
자산유동화를	자산/NNG+유동/NNG+화/XSN+를/JKO
통해	통하/VV+아/EC
대출금을	대출금/NNG+을/JKO
조기에	조기/NNG+에/JKB
회수함으로써	회수/NNG+하/XSV+ㅁ/ETN+으로써/JKB
더	더/MAG
많은	많/VA+은/ETM
주택	주택/NNG
구입자에게	구입자/NNG+에게/JKB
대출	대출/NNG
혜택을	혜택/NNG+을/JKO
주려고	주/VV+려고/EC
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.159.6.2
서브프라임 모기지 사태는 집값 상승에 대한 잘못된 예측과 부풀려진 신용평가의 문제이지 모기지라는 금융제도 자체의 문제가 아니었다는 게 그의 설명이다.

서브프라임	서브프라임/NNG
모기지	모기지/NNG
사태는	사태/NNG+는/JX
집값	집값/NNG
상승에	상승/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
예측과	예측/NNG+과/JC
부풀려진	부풀리/VV+어/EC+지/VX+ㄴ/ETM
신용평가의	신용/NNG+평가/NNG+의/JKG
문제이지	문제/NNG+이/VCP+지/EC
모기지라는	모기지/NNG+이/VCP+라는/ETM
금융제도	금융/NNG+제도/NNG
자체의	자체/NNG+의/JKG
문제가	문제/NNG+가/JKC
아니었다는	아니/VCN+었/EP+다는/ETM
게	거/NNB+이/JKS
그의	그/NP+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.159.7.1
저자는 앞으로도 금융이 좋은 사회를 만드는 데 기여할 것이라며 ‘금융의 민주화’를 이야기한다.

저자는	저자/NNG+는/JX
앞으로도	앞/NNG+으로/JKB+도/JX
금융이	금융/NNG+이/JKS
좋은	좋/VA+은/ETM
사회를	사회/NNG+를/JKO
만드는	만들/VV+는/ETM
데	데/NNB
기여할	기여/NNG+하/XSV+ㄹ/ETM
것이라며	것/NNB+이/VCP+라며/EC
‘금융의	‘/SS+금융/NNG+의/JKG
민주화’를	민주/NNG+화/XSN+’/SS+를/JKO
이야기한다.	이야기/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.159.7.2
인간 심리에 대한 충분한 이해가 그 시스템에 반영되는 ‘인간적 금융’이 돼야 한다는 것이다.

인간	인간/NNG
심리에	심리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
충분한	충분하/VA+ㄴ/ETM
이해가	이해/NNG+가/JKS
그	그/MMD
시스템에	시스템/NNG+에/JKB
반영되는	반영/NNG+되/XSV+는/ETM
‘인간적	‘/SS+인간/NNG+적/XSN
금융’이	금융/NNG+’/SS+이/JKC
돼야	되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.159.7.3
그 구체적인 사례로 마이크로크레디트를 활용한 방글라데시의 그라민은행을 든다.

그	그/MMD
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
사례로	사례/NNG+로/JKB
마이크로크레디트를	마이크로크레디트/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
방글라데시의	방글라데시/NNP+의/JKG
그라민은행을	그라민은행/NNP+을/JKO
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.159.7.4
또 금융공학의 알고리즘을 신장이식 환자와 기증자 연결에 적용해 그 성사 비율을 획기적으로 높인 앨빈 로스 하버드대 교수의 사례도 있다.

또	또/MAG
금융공학의	금융/NNG+공학/NNG+의/JKG
알고리즘을	알고리즘/NNG+을/JKO
신장이식	신장/NNG+이식/NNG
환자와	환자/NNG+와/JC
기증자	기증자/NNG
연결에	연결/NNG+에/JKB
적용해	적용/NNG+하/XSV+아/EC
그	그/MMD
성사	성사/NNG
비율을	비율/NNG+을/JKO
획기적으로	획기적/NNG+으로/JKB
높인	높이/VV+ㄴ/ETM
앨빈	앨빈/NNP
로스	로스/NNP
하버드대	하버드대/NNP
교수의	교수/NNG+의/JKG
사례도	사례/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.159.8.1
지금 한국 사회는 상생 나눔 배려의 가치를 필요로 한다.

지금	지금/MAG
한국	한국/NNP
사회는	사회/NNG+는/JX
상생	상생/NNG
나눔	나누/VV+ㅁ/ETN
배려의	배려/NNG+의/JKG
가치를	가치/NNG+를/JKO
필요로	필요/NNG+로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.159.8.2
금융을 사회적 가치를 증진하는 수단으로 재인식하고 금융 시스템의 변화와 개선을 모색할 때 우리는 금융의 피해자나 배척자가 아니라 주인이 될 수 있다.

금융을	금융/NNG+을/JKO
사회적	사회/NNG+적/XSN
가치를	가치/NNG+를/JKO
증진하는	증진/NNG+하/XSV+는/ETM
수단으로	수단/NNG+으로/JKB
재인식하고	재/XPN+인식/NNG+하/XSV+고/EC
금융	금융/NNG
시스템의	시스템/NNG+의/JKG
변화와	변화/NNG+와/JC
개선을	개선/NNG+을/JKO
모색할	모색/NNG+하/XSV+ㄹ/ETM
때	때/NNG
우리는	우리/NP+는/JX
금융의	금융/NNG+의/JKG
피해자나	피해자/NNG+나/JC
배척자가	배척자/NNG+가/JKC
아니라	아니/VCN+라/EC
주인이	주인/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.159.8.3
금융 전문가를 꿈꾸는 젊은이들에게 특히 일독을 권한다.

금융	금융/NNG
전문가를	전문가/NNG+를/JKO
꿈꾸는	꿈꾸/VV+는/ETM
젊은이들에게	젊은이/NNG+들/XSN+에게/JKB
특히	특히/MAG
일독을	일독/NNG+을/JKO
권한다.	권/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.159.8.4
원제 ‘Finance and the Good Society’(2012년).

원제	원제/NNG
‘Finance	‘/SS+Finance/SL
