# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.260
metadata : {}


# id : NWRW1800000048.260.1.1
“자취할 돈 없어 먼거리 통학하는데…” 대학생들, 경기도 버스요금 인상안에 반발

“자취할	“/SS+자취/NNG+하/XSV+ㄹ/ETM
돈	돈/NNG
없어	없/VA+어/EC
먼거리	멀/VA+ㄴ/ETM+거리/NNG
통학하는데…”	통학/NNG+하/XSV+는데/EC+…/SE+”/SS
대학생들,	대학/NNG+생/XSN+들/XSN+,/SP
경기도	경기도/NNP
버스요금	버스/NNG+요금/NNG
인상안에	인상안/NNG+에/JKB
반발	반발/NNG


# id : NWRW1800000048.260.2.1
“하루 1천원 이상 더 들어” 철회 촉구

“하루	“/SS+하루/NNG
1천원	1/SN+천/NR+원/NNB
이상	이상/NNG
더	더/MAG
들어”	들/VV+어/EF+”/SS
철회	철회/NNG
촉구	촉구/NNG


# id : NWRW1800000048.260.3.1
도의회 의장·시민단체도 “반대” 목청

도의회	도/NNG+의회/NNG
의장·시민단체도	의장/NNG+·/SP+시민/NNG+단체/NNG+도/JX
“반대”	“/SS+반대/NNG+”/SS
목청	목청/NNG


# id : NWRW1800000048.260.4.1
경기도가 버스 요금을 최대 1200원 올리는 방안을 강행하려 하자 경기도의회와 시민단체는 물론, 경기지역 대학생들이 인상안 철회를 요구하며 반발하고 나섰다.

경기도가	경기도/NNP+가/JKS
버스	버스/NNG
요금을	요금/NNG+을/JKO
최대	최대/NNG
1200원	1200/SN+원/NNB
올리는	올리/VV+는/ETM
방안을	방안/NNG+을/JKO
강행하려	강행/NNG+하/XSV+려/EC
하자	하/VX+자/EC
경기도의회와	경기도의회/NNP+와/JC
시민단체는	시민/NNG+단체/NNG+는/JX
물론,	물론/MAG+,/SP
경기지역	경기지역/NNP
대학생들이	대학/NNG+생/XSN+들/XSN+이/JKS
인상안	인상안/NNG
철회를	철회/NNG+를/JKO
요구하며	요구/NNG+하/XSV+며/EC
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.260.5.1
경실련경기도협의회, 경기시민사회단체연대회의는 27일 오전 경기도청 앞에서 기자회견을 열어 “광역버스 거리비례제 도입은 도민들의 부담을 가중시킨다.

경실련경기도협의회,	경실련경기도협의회/NNP+,/SP
경기시민사회단체연대회의는	경기시민사회단체연대회의/NNP+는/JX
27일	27/SN+일/NNB
오전	오전/NNG
경기도청	경기도청/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“광역버스	“/SS+광역/NNG+버스/NNG
거리비례제	거리/NNG+비례/NNG+제/XSN
도입은	도입/NNG+은/JX
도민들의	도민/NNG+들/XSN+의/JKG
부담을	부담/NNG+을/JKO
가중시킨다.	가중/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.260.5.2
남경필 지사는 버스 운송원가의 철저한 검증시스템을 구축하고 준공영제 도입 등 버스 개혁의 청사진을 제시하라”고 주장했다.

남경필	남경필/NNP
지사는	지사/NNG+는/JX
버스	버스/NNG
운송원가의	운송/NNG+원가/NNG+의/JKG
철저한	철저/NNG+하/XSA+ㄴ/ETM
검증시스템을	검증/NNG+시스템/NNG+을/JKO
구축하고	구축/NNG+하/XSV+고/EC
준공영제	준/XPN+공영/NNG+제/XSN
도입	도입/NNG
등	등/NNB
개혁의	개혁/NNG+의/JKG
청사진을	청사진/NNG+을/JKO
제시하라”고	제시/NNG+하/XSV+라/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.260.6.1
특히 기자회견에는 ‘경기도 버스요금 인상을 반대하는 대학생 모임’(회장 허인도 한신대 총학생회장)이 참석해 “돈 있으면 학교 주변에 방을 얻어 자취를 하지, 먼 거리에서 시간과 돈을 쓰며 통학하겠냐”며 요금 인상을 즉각 중지하라고 요구했다.

특히	특히/MAG
기자회견에는	기자/NNG+회견/NNG+에/JKB+는/JX
‘경기도	‘/SS+경기도/NNP
버스요금	버스/NNG+요금/NNG
인상을	인상/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
대학생	대학/NNG+생/XSN
모임’(회장	모임/NNG+’/SS+(/SS+회장/NNG
허인도	허인도/NNP
한신대	한신대/NNP
총학생회장)이	총학생회장/NNG+)/SS+이/JKS
참석해	참석/NNG+하/XSV+아/EC
“돈	“/SS+돈/NNG
있으면	있/VA+으면/EC
학교	학교/NNG
주변에	주변/NNG+에/JKB
방을	방/NNG+을/JKO
얻어	얻/VV+어/EC
자취를	자취/NNG+를/JKO
하지,	하/VV+지/EC+,/SP
먼	멀/VA+ㄴ/ETM
거리에서	거리/NNG+에서/JKB
시간과	시간/NNG+과/JC
돈을	돈/NNG+을/JKO
쓰며	쓰/VV+며/EC
통학하겠냐”며	통학/NNG+하/XSV+겠/EP+냐/EF+”/SS+며/EC
요금	요금/NNG
즉각	즉각/MAG
중지하라고	중지/NNG+하/XSV+라고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.260.6.2
대학생 모임에는 한신대와 성균관대, 경기대, 아주대, 수원대 등 5개 대학 학생들이 참여했다.

대학생	대학/NNG+생/XSN
모임에는	모임/NNG+에/JKB+는/JX
한신대와	한신대/NNP+와/JC
성균관대,	성균관대/NNP+,/SP
경기대,	경기대/NNP+,/SP
아주대,	아주대/NNP+,/SP
수원대	수원대/NNP
등	등/NNB
5개	5/SN+개/NNB
대학	대학/NNG
학생들이	학생/NNG+들/XSN+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.260.6.3
허인도 총학생회장은 “버스 요금이 오르면 서울 강남과 사당에서 학교까지 하루 1천원 이상의 추가 비용이 예상된다.

허인도	허인도/NNP
총학생회장은	총학생회장/NNG+은/JX
“버스	“/SS+버스/NNG
요금이	요금/NNG+이/JKS
오르면	오르/VV+면/EC
서울	서울/NNP
강남과	강남/NNP+과/JC
사당에서	사당/NNP+에서/JKB
학교까지	학교/NNG+까지/JX
하루	하루/NNG
1천원	1/SN+천/NR+원/NNB
이상의	이상/NNG+의/JKG
추가	추가/NNG
비용이	비용/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.260.6.4
수입이 느는 것도 아닌데 교통비 같은 필수 지출만 늘면 대학생들의 사정은 더 어려워진다.

수입이	수입/NNG+이/JKS
느는	늘/VV+는/ETM
것도	것/NNB+도/JX
아닌데	아니/VCN+ㄴ데/EC
교통비	교통비/NNG
같은	같/VA+은/ETM
필수	필수/NNG
지출만	지출/NNG+만/JX
늘면	늘/VV+면/EC
대학생들의	대학/NNG+생/XSN+들/XSN+의/JKG
사정은	사정/NNG+은/JX
더	더/MAG
어려워진다.	어렵/VA+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.260.6.5
버스 요금 인상 시 추가 행동도 불사하겠다”고 말했다.

버스	버스/NNG
요금	요금/NNG
인상	인상/NNG
시	시/NNB
추가	추가/NNG
행동도	행동/NNG+도/JX
불사하겠다”고	불사/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.260.7.1
경기도의회 강득구 의장(새정치민주연합·안양2)도 이례적으로 이날 도의회 브리핑룸에서 기자회견을 열어 “도민의 부담을 가중시키는 무리한 광역버스 거리비례제 확대 도입 계획을 철회하라”고 경기도에 요구했다.

경기도의회	경기도의회/NNP
강득구	강득구/NNP
의장(새정치민주연합·안양2)도	의장/NNG+(/SS+새정치민주연합/NNP+·/SP+안양/NNP+2/SN+)/SS+도/JX
이례적으로	이례/NNG+적/XSN+으로/JKB
이날	이날/NNG
도의회	도/NNG+의회/NNG
브리핑룸에서	브리핑룸/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“도민의	“/SS+도민/NNG+의/JKG
부담을	부담/NNG+을/JKO
가중시키는	가중/NNG+시키/XSV+는/ETM
무리한	무리/NNG+하/XSV+ㄴ/ETM
광역버스	광역/NNG+버스/NNG
거리비례제	거리/NNG+비례/NNG+제/XSN
확대	확대/NNG
도입	도입/NNG
계획을	계획/NNG+을/JKO
철회하라”고	철회/NNG+하/XSV+라/EF+”/SS+고/JKQ
경기도에	경기도/NNP+에/JKB
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.260.7.2
강 의장은 “거리비례제 확대 도입은 도의회와 당초 논의된 바 없고 경기도 특성상 시기상조”라고 지적했다.

강	강/NNP
의장은	의장/NNG+은/JX
“거리비례제	“/SS+거리/NNG+비례/NNG+제/XSN
확대	확대/NNG
도입은	도입/NNG+은/JX
도의회와	도/NNG+의회/NNG+와/JKB
당초	당초/NNG
논의된	논의/NNG+되/XSV+ㄴ/ETM
바	바/NNB
없고	없/VA+고/EC
경기도	경기도/NNP
특성상	특성/NNG+상/XSN
시기상조”라고	시기상조/NNG+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.260.8.1
경기도는 29일 소비자정책심의위원회를 열어 버스 유형별로 요금을 100~500원 올리는 3가지 인상안을 심의해 최종안을 확정할 예정이다.

경기도는	경기도/NNP+는/JX
29일	29/SN+일/NNB
소비자정책심의위원회를	소비자/NNG+정책/NNG+심의/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
버스	버스/NNG
유형별로	유형/NNG+별/XSN+로/JKB
요금을	요금/NNG+을/JKO
100~500원	100/SN+~/SO+500/SN+원/NNB
올리는	올리/VV+는/ETM
3가지	3/SN+가지/NNB
인상안을	인상안/NNG+을/JKO
심의해	심의/NNG+하/XSV+아/EC
최종안을	최종안/NNG+을/JKO
확정할	확정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.260.8.2
또 기본거리 30㎞를 넘으면 5㎞마다 100원씩 추가 요금을 물리는 거리비례제를 일반버스에서 광역버스까지 확대 적용하는 방안도 논의한다.

또	또/MAG
기본거리	기본/NNG+거리/NNG
30㎞를	30/SN+㎞/SW+를/JKO
넘으면	넘/VV+으면/EC
5㎞마다	5/SN+㎞/SW+마다/JX
100원씩	100/SN+원/NNB+씩/XSN
추가	추가/NNG
요금을	요금/NNG+을/JKO
물리는	물리/VV+는/ETM
거리비례제를	거리/NNG+비례/NNG+제/XSN+를/JKO
일반버스에서	일반/NNG+버스/NNG+에서/JKB
