# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.87
metadata : {}


# id : NWRW1800000056.87.1.1
유럽, 난민 자격 사전심사 아프리카로 외주화

유럽,	유럽/NNP+,/SP
난민	난민/NNG
자격	자격/NNG
사전심사	사전/NNG+심사/NNG
아프리카로	아프리카/NNP+로/JKB
외주화	외주/NNG+화/XSN


# id : NWRW1800000056.87.2.1
[한겨레] 니제르와 차드에서 난민 자격 사전심사

[한겨레]	[/SS+한겨레/NNP+]/SS
니제르와	니제르/NNP+와/JC
차드에서	차드/NNP+에서/JKB
난민	난민/NNG
자격	자격/NNG
사전심사	사전/NNG+심사/NNG


# id : NWRW1800000056.87.3.1
주요 출항지 리비아 국경 통제도 강화

주요	주요/NNG
출항지	출항지/NNG
리비아	리비아/NNP
국경	국경/NNG
통제도	통제/NNG+도/JX
강화	강화/NNG


# id : NWRW1800000056.87.4.1
난민 폭주와 지중해 인명사고 등 해법

난민	난민/NNG
폭주와	폭주/NNG+와/JC
지중해	지중해/NNP
인명사고	인명/NNG+사고/NNG
등	등/NNB
해법	해법/NNG


# id : NWRW1800000056.87.5.1
지난해 지중해 난민보트 5천명 사망

지난해	지난해/NNG
지중해	지중해/NNP
난민보트	난민/NNG+보트/NNG
5천명	5/SN+천/NR+명/NNB
사망	사망/NNG


# id : NWRW1800000056.87.6.1
유럽이 심각한 난민 문제를 해결하기 위해 아프리카의 니제르와 차드에서 사전 심사를 진행하기로 했다.

유럽이	유럽/NNP+이/JKS
심각한	심각하/VA+ㄴ/ETM
난민	난민/NNG
문제를	문제/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
아프리카의	아프리카/NNP+의/JKG
니제르와	니제르/NNP+와/JC
차드에서	차드/NNP+에서/JKB
사전	사전/NNG
심사를	심사/NNG+를/JKO
진행하기로	진행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.87.7.1
프랑스, 독일, 이탈리아, 스페인 정상들은 28일 파리에서 아프리카의 리비아, 니제르, 차드 정상들과 회담한 뒤 이같이 합의했다고 <에이피>(AP) 통신이 보도했다.

프랑스,	프랑스/NNP+,/SP
독일,	독일/NNP+,/SP
이탈리아,	이탈리아/NNP+,/SP
스페인	스페인/NNP
정상들은	정상/NNG+들/XSN+은/JX
28일	28/SN+일/NNB
파리에서	파리/NNP+에서/JKB
아프리카의	아프리카/NNP+의/JKG
리비아,	리비아/NNP+,/SP
니제르,	니제르/NNP+,/SP
차드	차드/NNP
정상들과	정상/NNG+들/XSN+과/JKB
회담한	회담/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이같이	이/NP+같이/JKB
합의했다고	합의/NNG+하/XSV+았/EP+다고/EC
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신이	통신/NNG+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.87.7.2
7개국 정상들은 지금까지 난민들이 최초로 도착한 유럽 국가에서 해온 난민 심사를 니제르와 차드에서 진행하며, 유럽행을 원하는 난민은 이 두 나라에서 등록하고 유엔 난민기구의 기준에 따라 심사받게 된다고 밝혔다.

7개국	7/SN+개국/NNB
정상들은	정상/NNG+들/XSN+은/JX
지금까지	지금/NNG+까지/JX
난민들이	난민/NNG+들/XSN+이/JKS
최초로	최초/NNG+로/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
유럽	유럽/NNP
국가에서	국가/NNG+에서/JKB
해온	하/VV+아/EC+오/VX+ㄴ/ETM
난민	난민/NNG
심사를	심사/NNG+를/JKO
니제르와	니제르/NNP+와/JC
차드에서	차드/NNP+에서/JKB
진행하며,	진행/NNG+하/XSV+며/EC+,/SP
유럽행을	유럽행/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
난민은	난민/NNG+은/JX
이	이/MMD
두	두/MMN
나라에서	나라/NNG+에서/JKB
등록하고	등록/NNG+하/XSV+고/EC
유엔	유엔/NNP
난민기구의	난민/NNG+기구/NNG+의/JKG
기준에	기준/NNG+에/JKB
따라	따르/VV+아/EC
심사받게	심사/NNG+받/XSV+게/EC
된다고	되/VV+ㄴ다고/EC
