# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.164
metadata : {}


# id : NWRW1800000046.164.1.1
檢 "박기춘 의원 건설비자금 증거인멸 정황"

檢	檢/SH
"박기춘	"/SS+박기춘/NNP
의원	의원/NNG
건설비자금	건설/NNG+비자금/NNG
증거인멸	증거/NNG+인멸/NNG
정황"	정황/NNG+"/SS


# id : NWRW1800000046.164.2.1
비자금 조성의혹 회사 대표와 압수수색 전후 수십차례 통화 朴의원측 "원래 친분 있었다"

비자금	비자금/NNG
조성의혹	조성/NNG+의혹/NNG
회사	회사/NNG
대표와	대표/NNG+와/JC
압수수색	압수/NNG+수색/NNG
전후	전후/NNG
수십차례	수십/NR+차례/NNG
통화	통화/NNG
朴의원측	朴/SH+의원/NNG+측/NNB
"원래	"/SS+원래/MAG
친분	친분/NNG
있었다"	있/VA+었/EP+다/EF+"/SS


# id : NWRW1800000046.164.3.1
국회 교통위원장인 새정치민주연합 박기춘(59) 의원이 비자금 조성 혐의를 받고 있는 아파트 분양 대행업체 대표와 검찰의 압수 수색을 전후한 시점에 수십 차례 전화 통화를 하는 등 증거인멸 정황이 포착돼 검찰이 수사 중인 것으로 6일 밝혀졌다.

국회	국회/NNG
교통위원장인	교통/NNG+위원장/NNG+이/VCP+ㄴ/ETM
새정치민주연합	새정치민주연합/NNP
박기춘(59)	박기춘/NNP+(/SS+59/SN+)/SS
의원이	의원/NNG+이/JKS
비자금	비자금/NNG
조성	조성/NNG
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
아파트	아파트/NNG
분양	분양/NNG
대행업체	대행업체/NNG
대표와	대표/NNG+와/JKB
검찰의	검찰/NNG+의/JKG
압수	압수/NNG
수색을	수색/NNG+을/JKO
전후한	전후/NNG+하/XSV+ㄴ/ETM
시점에	시점/NNG+에/JKB
수십	수십/NR
차례	차례/NNG
전화	전화/NNG
통화를	통화/NNG+를/JKO
하는	하/VV+는/ETM
등	등/NNB
증거인멸	증거/NNG+인멸/NNG
정황이	정황/NNG+이/JKS
포착돼	포착/NNG+되/XSV+어/EC
검찰이	검찰/NNG+이/JKS
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
6일	6/SN+일/NNB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.164.3.2
검찰은 이 업체가 박 의원 동생(55)과 금전 거래를 하는 등 박 의원과 유착한 의혹 등에 대해 집중적으로 수사를 벌이고 있다.

검찰은	검찰/NNG+은/JX
이	이/MMD
업체가	업체/NNG+가/JKS
박	박/NNP
의원	의원/NNG
동생(55)과	동생/NNG+(/SS+55/SN+)/SS+과/JKB
금전	금전/NNG
거래를	거래/NNG+를/JKO
하는	하/VV+는/ETM
등	등/NNB
의원과	의원/NNG+과/JKB
유착한	유착/NNG+하/XSV+ㄴ/ETM
의혹	의혹/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
집중적으로	집중/NNG+적/XSN+으로/JKB
수사를	수사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.164.4.1
서울중앙지검 특수4부(부장 배종혁)는 지난달 2일 분양 대행사인 I사에 대해 압수 수색을 실시했다.

서울중앙지검	서울중앙지검/NNP
특수4부(부장	특수/NNG+4/SN+부/NNG+(/SS+부장/NNG
배종혁)는	배종혁/NNP+)/SS+는/JX
지난달	지난달/NNG
2일	2/SN+일/NNB
분양	분양/NNG
대행사인	대행사/NNG+이/VCP+ㄴ/ETM
I사에	I/SL+사/NNG+에/JKB
대해	대하/VV+아/EC
압수	압수/NNG
수색을	수색/NNG+을/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.164.4.2
2008년 설립된 I사는 최근 2~3년 사이 매출이 수십 배 늘어났고, 로비를 통해 대기업 D사와 G사 등으로부터 사업 수주 특혜를 받았다는 의혹을 받아왔다.

2008년	2008/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
I사는	I/SL+사/NNG+는/JX
최근	최근/MAG
2~3년	2/SN+~/SO+3/SN+년/NNB
사이	사이/NNG
매출이	매출/NNG+이/JKS
수십	수십/NR
배	배/NNG
늘어났고,	늘어나/VV+았/EP+고/EC+,/SP
로비를	로비/NNG+를/JKO
통해	통하/VV+아/EC
대기업	대/XPN+기업/NNG
D사와	D/SL+사/NNG+와/JC
G사	G/SL+사/NNG
등으로부터	등/NNB+으로부터/JKB
사업	사업/NNG
수주	수주/NNG
특혜를	특혜/NNG+를/JKO
받았다는	받/VV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
