# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.435
metadata : {}


# id : NWRW1800000028.435.1.1
성남도 시장<민주당>-시의회<한나라당 과반> 예산갈등

성남도	성남/NNP+도/JX
시장<민주당>-시의회<한나라당	시장/NNG+</SS+민주당/NNP+>/SS+-/SO+시/NNG+의회/NNG+</SS+한나라당/NNP
과반>	과반/NNG+>/SS
예산갈등	예산/NNG+갈등/NNG


# id : NWRW1800000028.435.2.1
경기도 성남시의회가 이재명(민주당) 성남시장의 핵심 공약과 시 산하기관 상임이사 임명동의안을 부결시킨 데 이어 대표적 서민·복지예산으로 꼽히는 지역아동센터 지원금까지 깎자, 이 시장이 절차와 규정에 없는 의회 출석 요구에 응하지 않기로 하는 등 ‘준법 대응’에 나서기로 해 파장이 예상된다.

경기도	경기도/NNP
성남시의회가	성남시의회/NNP+가/JKS
이재명(민주당)	이재명/NNP+(/SS+민주당/NNP+)/SS
성남시장의	성남시장/NNG+의/JKG
핵심	핵심/NNG
공약과	공약/NNG+과/JC
시	시/NNG
산하기관	산하/NNG+기관/NNG
상임이사	상임/NNG+이사/NNG
임명동의안을	임명/NNG+동의안/NNG+을/JKO
부결시킨	부결/NNG+시키/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
대표적	대표/NNG+적/XSN
서민·복지예산으로	서민/NNG+·/SP+복지/NNG+예산/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
지역아동센터	지역/NNG+아동/NNG+센터/NNG
지원금까지	지원금/NNG+까지/JX
깎자,	깎/VV+자/EC+,/SP
이	이/NNP
시장이	시장/NNG+이/JKS
절차와	절차/NNG+와/JC
규정에	규정/NNG+에/JKB
없는	없/VA+는/ETM
의회	의회/NNG
출석	출석/NNG
요구에	요구/NNG+에/JKB
응하지	응하/VV+지/EC
않기로	않/VX+기/ETN+로/JKB
하는	하/VV+는/ETM
등	등/NNB
‘준법	‘/SS+준법/NNG
