# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.49
metadata : {}


# id : NWRW1800000030.49.1.1
뉴욕 교통안전 표지판에 섬뜩한 短詩

뉴욕	뉴욕/NNP
교통안전	교통안전/NNG
표지판에	표지판/NNG+에/JKB
섬뜩한	섬뜩/MAG+하/XSA+ㄴ/ETM
短詩	短詩/SH


# id : NWRW1800000030.49.2.1
•달려오는 차들/ 각각 3t짜리 총알/ 그리고 당신, 살과 뼈

•달려오는	•/SW+달려오/VV+는/ETM
차들/	차/NNG+들/XSN+//SP
각각	각각/MAG
3t짜리	3/SN+t/SW+짜리/XSN
총알/	총알/NNG+//SP
그리고	그리고/MAJ
당신,	당신/NP+,/SP
살과	살/NNG+과/JC
뼈	뼈/NNG


# id : NWRW1800000030.49.3.1
'앞다퉈 달려오는 차들/ 각각 3t짜리 총알/ 그리고 당신, 살과 뼈.'

'앞다퉈	'/SS+앞다투/VV+어/EC
달려오는	달려오/VV+는/ETM
차들/	차/NNG+들/XSN+//SP
각각	각각/MAG
3t짜리	3/SN+t/SW+짜리/XSN
총알/	총알/NNG+//SP
그리고	그리고/MAJ
당신,	당신/NP+,/SP
살과	살/NNG+과/JC
뼈.'	뼈/NNG+./SF+'/SS


# id : NWRW1800000030.49.4.1
미국 뉴욕시가 보행자와 자전거 운전자들의 안전을 위해 새로 도입한 교통표지판 문구를 '하이쿠(俳句)' 형식으로 만들었다.

미국	미국/NNP
뉴욕시가	뉴욕시/NNP+가/JKS
보행자와	보행자/NNG+와/JC
자전거	자전거/NNG
운전자들의	운전자/NNG+들/XSN+의/JKG
안전을	안전/NNG+을/JKO
위해	위하/VV+아/EC
새로	새로/MAG
도입한	도입/NNG+하/XSV+ㄴ/ETM
교통표지판	교통/NNG+표지판/NNG
문구를	문구/NNG+를/JKO
'하이쿠(俳句)'	'/SS+하이쿠/NNG+(/SS+俳句/SH+)/SS+'/SS
형식으로	형식/NNG+으로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.49.4.2
하이쿠는 일본 전통 시의 한 종류로 대개 17개 음(音)으로 구성된 한줄짜리 단시(短詩)다.

하이쿠는	하이쿠/NNG+는/JX
일본	일본/NNP
전통	전통/NNG
시의	시/NNG+의/JKG
한	한/MMN
종류로	종류/NNG+로/JKB
대개	대개/MAG
17개	17/SN+개/NNB
음(音)으로	음/NNG+(/SS+音/SH+)/SS+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
한줄짜리	한/MMN+줄/NNG+짜리/XSN
단시(短詩)다.	단시/NNG+(/SS+短詩/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.49.5.1
뉴욕시 교통국은 지난달 29일 "보행자와 자전거 운전자의 경각심을 불러일으키기 위한 안전 대책의 일환으로 '길가의 하이쿠' 캠페인을 진행하기로 했다"고 발표했다.

뉴욕시	뉴욕시/NNP
교통국은	교통국/NNG+은/JX
지난달	지난달/NNG
29일	29/SN+일/NNB
"보행자와	"/SS+보행자/NNG+와/JC
자전거	자전거/NNG
운전자의	운전자/NNG+의/JKG
경각심을	경각심/NNG+을/JKO
불러일으키기	불러일으키/VV+기/ETN
위한	위하/VV+ㄴ/ETM
안전	안전/NNG
대책의	대책/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
'길가의	'/SS+길가/NNG+의/JKG
하이쿠'	하이쿠/NNG+'/SS
캠페인을	캠페인/NNG+을/JKO
진행하기로	진행/NNG+하/XSV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
