# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.391
metadata : {}


# id : NWRW1800000033.391.1.1
새누리, 국채발행규모 9000억으로 낮춰

새누리,	새누리/NNP+,/SP
국채발행규모	국채/NNG+발행/NNG+규모/NNG
9000억으로	9000/SN+억/NR+으로/JKB
낮춰	낮추/VV+어/EF


# id : NWRW1800000033.391.2.1
민주당도 반대입장서 선회… 예산안 여야 합의처리 물꼬

민주당도	민주당/NNP+도/JX
반대입장서	반대/NNG+입장/NNG+서/JKB
선회…	선회/NNG+…/SE
예산안	예산안/NNG
여야	여야/NNG
합의처리	합의/NNG+처리/NNG
물꼬	물꼬/NNG


# id : NWRW1800000033.391.3.1
내년도 예산안 처리를 두고 대치하던 여야는 예산안 통과의 마지노선인 이달 말을 목전에 둔 28일 서로 조금씩 양보하며 협상의 물꼬를 텄다.

내년도	내년도/NNG
예산안	예산안/NNG
처리를	처리/NNG+를/JKO
두고	두/VV+고/EC
대치하던	대치/NNG+하/XSV+던/ETM
여야는	여야/NNG+는/JX
통과의	통과/NNG+의/JKG
마지노선인	마지노선/NNG+이/VCP+ㄴ/ETM
이달	이달/NNG
말을	말/NNB+을/JKO
목전에	목전/NNG+에/JKB
둔	두/VV+ㄴ/ETM
28일	28/SN+일/NNB
서로	서로/MAG
조금씩	조금/NNG+씩/XSN
양보하며	양보/NNG+하/XSV+며/EC
협상의	협상/NNG+의/JKG
물꼬를	물꼬/NNG+를/JKO
텄다.	트/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.391.3.2
이에 따라 현 정부 출범 후 4년 연속 여당 단독으로 처리됐던 예산안이 처음으로 여야 합의로 국회를 통과할지 주목된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
현	현/MMD
정부	정부/NNG
출범	출범/NNG
후	후/NNG
4년	4/SN+년/NNB
연속	연속/NNG
여당	여당/NNG
단독으로	단독/NNG+으로/JKB
처리됐던	처리/NNG+되/XSV+었/EP+던/ETM
예산안이	예산안/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
여야	여야/NNG
합의로	합의/NNG+로/JKB
국회를	국회/NNG+를/JKO
통과할지	통과/NNG+하/XSV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.391.4.1
새누리당은 19일 대선 승리 이후 박근혜 대통령 당선인의 대선 공약을 이행하기 위해 6조 원의 신규 예산을 반영해야 한다고 주장했다.

새누리당은	새누리당/NNP+은/JX
19일	19/SN+일/NNB
대선	대선/NNG
승리	승리/NNG
이후	이후/NNG
박근혜	박근혜/NNP
대통령	대통령/NNG
당선인의	당선인/NNG+의/JKG
공약을	공약/NNG+을/JKO
이행하기	이행/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
6조	6/SN+조/NR
원의	원/NNB+의/JKG
신규	신규/NNG
예산을	예산/NNG+을/JKO
반영해야	반영/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.391.4.2
이 경우 불필요한 사업을 줄이더라도 2조∼3조 원 규모의 신규 국채 발행이 불가피하다.

이	이/MMD
경우	경우/NNG
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
사업을	사업/NNG+을/JKO
줄이더라도	줄이/VV+더라도/EC
2조∼3조	2/SN+조/NR+∼/SO+3/SN+조/NR
원	원/NNB
규모의	규모/NNG+의/JKG
신규	신규/NNG
국채	국채/NNG
발행이	발행/NNG+이/JKS
불가피하다.	불가피하/VA+다/EF+./SF


# id : NWRW1800000033.391.5.1
하지만 민주당과의 협의를 거치며 대선 공약 예산을 5조 원 규모로 축소했다.

하지만	하지만/MAJ
민주당과의	민주당/NNP+과/JKB+의/JKG
협의를	협의/NNG+를/JKO
거치며	거치/VV+며/EC
대선	대선/NNG
공약	공약/NNG
예산을	예산/NNG+을/JKO
5조	5/SN+조/NR
원	원/NNB
규모로	규모/NNG+로/JKB
축소했다.	축소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.391.5.2
기존 예산 삭감에도 적극 나서 불필요한 예산을 3조3000억 원 줄이고 남은 1조7000억 원에 대해서만 국채를 발행하겠다고 했다.

기존	기존/NNG
예산	예산/NNG
삭감에도	삭감/NNG+에/JKB+도/JX
적극	적극/NNG
나서	나서/VV+어/EC
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
예산을	예산/NNG+을/JKO
3조3000억	3/SN+조/NR+3000/SN+억/NR
원	원/NNB
줄이고	줄이/VV+고/EC
남은	남/VV+은/ETM
1조7000억	1/SN+조/NR+7000/SN+억/NR
원에	원/NNB+에/JKB
대해서만	대하/VV+아서/EC+만/JX
국채를	국채/NNG+를/JKO
발행하겠다고	발행/NNG+하/XSV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.391.5.3
이후 협의 과정에서 기존 예산을 더 삭감했고 국채 발행 규모를 9000억 원까지 낮췄다.

이후	이후/NNG
협의	협의/NNG
과정에서	과정/NNG+에서/JKB
기존	기존/NNG
예산을	예산/NNG+을/JKO
더	더/MAG
삭감했고	삭감/NNG+하/XSV+았/EP+고/EC
국채	국채/NNG
발행	발행/NNG
규모를	규모/NNG+를/JKO
9000억	9000/SN+억/NR
원까지	원/NNB+까지/JX
낮췄다.	낮추/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.391.5.4
예산결산특별위원회 민주당 간사인 최재성 의원은 28일 기자간담회에서 “새누리당도 애를 많이 썼다”며 이례적으로 상대를 칭찬하기도 했다.

예산결산특별위원회	예산/NNG+결산/NNG+특별/NNG+위원회/NNG
민주당	민주당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
최재성	최재성/NNP
의원은	의원/NNG+은/JX
28일	28/SN+일/NNB
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“새누리당도	“/SS+새누리당/NNP+도/JX
애를	애/NNG+를/JKO
많이	많이/MAG
썼다”며	쓰/VV+었/EP+다/EF+”/SS+며/EC
이례적으로	이례/NNG+적/XSN+으로/JKB
상대를	상대/NNG+를/JKO
칭찬하기도	칭찬/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.391.6.1
