# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.394
metadata : {}


# id : NWRW1800000028.394.1.1
대우일렉, 엔텍합<이란계 다국적기업>과 매각 본계약 체결

대우일렉,	대우일렉/NNP+,/SP
엔텍합<이란계	엔텍합/NNP+</SS+이란/NNP+계/XSN
다국적기업>과	다국적/NNG+기업/NNG+>/SS+과/JKB
매각	매각/NNG
본계약	본계약/NNG
체결	체결/NNG


# id : NWRW1800000028.394.2.1
대우일렉트로닉스(대우일렉)가 이란계 다국적 기업인 엔텍합 그룹의 품에 안겼다.

대우일렉트로닉스(대우일렉)가	대우일렉트로닉스/NNP+(/SS+대우일렉/NNP+)/SS+가/JKS
이란계	이란/NNP+계/XSN
다국적	다국적/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
엔텍합	엔텍합/NNP
그룹의	그룹/NNG+의/JKG
품에	품/NNG+에/JKB
안겼다.	안기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.394.3.1
대우일렉 채권단은 8일 엔텍합 그룹과 대우일렉 매각 본계약을 체결했다고 밝혔다.

대우일렉	대우일렉/NNP
채권단은	채권단/NNG+은/JX
8일	8/SN+일/NNB
엔텍합	엔텍합/NNP
그룹과	그룹/NNG+과/JKB
매각	매각/NNG
본계약을	본계약/NNG+을/JKO
체결했다고	체결/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.394.3.2
이에 따라 대우일렉은 옛 대우전자 시절인 1999년 8월 기업개선작업(워크아웃)에 들어간 지 11년 만에 새 주인을 맞게 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
대우일렉은	대우일렉/NNP+은/JX
옛	옛/MMA
대우전자	대우전자/NNP
시절인	시절/NNG+이/VCP+ㄴ/ETM
1999년	1999/SN+년/NNB
8월	8/SN+월/NNB
기업개선작업(워크아웃)에	기업/NNG+개선/NNG+작업/NNG+(/SS+워크아웃/NNG+)/SS+에/JKB
들어간	들어가/VV+ㄴ/ETM
지	지/NNB
11년	11/SN+년/NNB
만에	만/NNB+에/JKB
새	새/MMA
주인을	주인/NNG+을/JKO
맞게	맞/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.394.3.3
엔텍합 그룹이 3개월 내 인수대금(약 5800억원)을 입금하면 이번 거래는 마무리된다.

엔텍합	엔텍합/NNP
그룹이	그룹/NNG+이/JKS
3개월	3/SN+개월/NNB
내	내/NNB
인수대금(약	인수/NNG+대금/NNG+(/SS+약/MMA
5800억원)을	5800/SN+억/NR+원/NNB+)/SS+을/JKO
입금하면	입금/NNG+하/XSV+면/EC
이번	이번/NNG
거래는	거래/NNG+는/JX
마무리된다.	마무리/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.394.4.1
대우일렉은 매각작업이 과거 세차례나 무산되는 등 우여곡절이 많았다.

대우일렉은	대우일렉/NNP+은/JX
매각작업이	매각/NNG+작업/NNG+이/JKS
과거	과거/NNG
세차례나	세/MMN+차례/NNG+나/JX
무산되는	무산/NNG+되/XSV+는/ETM
등	등/NNB
우여곡절이	우여곡절/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.394.4.2
지난 1월 채권단은 매각 작업을 재개해 지난 4월 엔텍합을 우선협상대상자로 선정했다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
채권단은	채권단/NNG+은/JX
매각	매각/NNG
작업을	작업/NNG+을/JKO
재개해	재개/NNG+하/XSV+아/EC
4월	4/SN+월/NNB
엔텍합을	엔텍합/NNP+을/JKO
우선협상대상자로	우선/NNG+협상/NNG+대상자/NNG+로/JKB
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.394.4.3
엔텍합은 대우일렉 인수 뒤 중동 및 아프리카지역에서 2013년까지 시장점유율 10% 확대를 목표로 대규모 투자를 하고 대우 브랜드를 프리미엄 브랜드로 육성한다는 계획을 내놓은 바 있다.

엔텍합은	엔텍합/NNP+은/JX
대우일렉	대우일렉/NNP
인수	인수/NNG
뒤	뒤/NNG
중동	중동/NNP
및	및/MAG
아프리카지역에서	아프리카지역/NNP+에서/JKB
2013년까지	2013/SN+년/NNB+까지/JX
시장점유율	시장/NNG+점유/NNG+율/XSN
10%	10/SN+%/SW
확대를	확대/NNG+를/JKO
목표로	목표/NNG+로/JKB
대규모	대/XPN+규모/NNG
투자를	투자/NNG+를/JKO
하고	하/VV+고/EC
대우	대우/NNP
브랜드를	브랜드/NNG+를/JKO
프리미엄	프리미엄/NNG
브랜드로	브랜드/NNG+로/JKB
육성한다는	육성/NNG+하/XSV+ㄴ다는/ETM
계획을	계획/NNG+을/JKO
내놓은	내놓/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


