# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.58
metadata : {}


# id : NWRW1800000052.58.1.1
무지 vs 브라운…막상막하 무승부

무지	무지/NNP
vs	vs/SL
브라운…막상막하	브라운/NNP+…/SE+막상막하/NNG
무승부	무/XPN+승부/NNG


# id : NWRW1800000052.58.2.1
[매거진 esc] 스타일

[매거진	[/SS+매거진/NNG
esc]	esc/SL+]/SS
스타일	스타일/NNG


# id : NWRW1800000052.58.3.1
모바일메신저 캐릭터 ‘카카오 프렌즈’와 ‘라인 프렌즈’ 열풍…협업상품·모바일게임도 인기몰이

모바일메신저	모바일/NNG+메신저/NNG
캐릭터	캐릭터/NNG
‘카카오	‘/SS+카카오/NNP
프렌즈’와	프렌즈/NNG+’/SS+와/JC
‘라인	‘/SS+라인/NNP
프렌즈’	프렌즈/NNG+’/SS
열풍…협업상품·모바일게임도	열풍/NNG+…/SE+협업/NNG+상품/NNG+·/SP+모바일/NNG+게임/NNG+도/JX
인기몰이	인기몰이/NNG


# id : NWRW1800000052.58.4.1
카카오의 카카오톡과 네이버의 라인은 한국의 대표적인 메신저 프로그램이다.

카카오의	카카오/NNP+의/JKG
카카오톡과	카카오톡/NNP+과/JC
네이버의	네이버/NNP+의/JKG
라인은	라인/NNP+은/JX
한국의	한국/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
메신저	메신저/NNG
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.58.4.2
메신저 프로그램의 꽃은 감정을 직관적으로 표현하고 이해할 수 있는 스티커.

메신저	메신저/NNG
프로그램의	프로그램/NNG+의/JKG
꽃은	꽃/NNG+은/JX
감정을	감정/NNG+을/JKO
직관적으로	직관/NNG+적/XSN+으로/JKB
표현하고	표현/NNG+하/XSV+고/EC
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
스티커.	스티커/NNG+./SF


# id : NWRW1800000052.58.4.3
특히 웃고, 울고, 화내고, 위로하는 오욕칠정을 귀엽게 드러내는 스티커 가운데, 두 프로그램의 대표 캐릭터인 ‘카카오 프렌즈’와 ‘라인 프렌즈’는 휴대전화 바깥으로 나와 오프라인 세상에서도 폭발적인 인기를 끌고 있다.

특히	특히/MAG
웃고,	웃/VV+고/EC+,/SP
울고,	울/VV+고/EC+,/SP
