# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.311
metadata : {}


# id : NWRW1800000038.311.1.1
[주용중의 터치! 코리아] 내년 지방선거에선 '엄석대('우리들의 일그러진 영웅' 속 등장인물)'를 가려내자

[주용중의	[/SS+주용중/NNP+의/JKG
터치!	터치/NNG+!/SF
코리아]	코리아/NNP+]/SS
내년	내년/NNG
지방선거에선	지방/NNG+선거/NNG+에서/JKB+ㄴ/JX
'엄석대('우리들의	'/SS+엄석대/NNP+(/SS+'/SS+우리/NP+들/XSN+의/JKG
일그러진	일그러지/VV+ㄴ/ETM
영웅'	영웅/NNG+'/SS
속	속/NNG
등장인물)'를	등장인물/NNG+)/SS+'/SS+를/JKO
가려내자	가려내/VV+자/EF


# id : NWRW1800000038.311.2.1
요즘 여야 정치인들은 낮에 만나면 작년 대선 얘기를 하고, 밤에 만나면 내년 지방선거 얘기를 한다.

요즘	요즘/NNG
여야	여야/NNG
정치인들은	정치인/NNG+들/XSN+은/JX
낮에	낮/NNG+에/JKB
만나면	만나/VV+면/EC
작년	작년/NNG
대선	대선/NNG
얘기를	얘기/NNG+를/JKO
하고,	하/VV+고/EC+,/SP
밤에	밤/NNG+에/JKB
내년	내년/NNG
지방선거	지방/NNG+선거/NNG
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.311.2.2
그들의 진짜 관심은 지방선거에 있다.

그들의	그/NP+들/XSN+의/JKG
진짜	진짜/NNG
관심은	관심/NNG+은/JX
지방선거에	지방/NNG+선거/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.311.2.3
야당이 대선에 시비(是非)를 거는 것도, 여당이 대선 불복이라고 역공하는 것도 지방선거를 겨냥한 전략이다.

야당이	야당/NNG+이/JKS
대선에	대선/NNG+에/JKB
시비(是非)를	시비/NNG+(/SS+是非/SH+)/SS+를/JKO
거는	걸/VV+는/ETM
것도,	것/NNB+도/JX+,/SP
여당이	여당/NNG+이/JKS
대선	대선/NNG
불복이라고	불복/NNG+이/VCP+라고/EC
역공하는	역공/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
지방선거를	지방/NNG+선거/NNG+를/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.3.1
내년 선거는 박근혜 정권에 대한 중간평가이자, 2016년 총선과 2017년 대선의 가늠자다.

내년	내년/NNG
선거는	선거/NNG+는/JX
박근혜	박근혜/NNP
정권에	정권/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중간평가이자,	중간/NNG+평가/NNG+이/VCP+자/EC+,/SP
2016년	2016/SN+년/NNB
총선과	총선/NNG+과/JC
2017년	2017/SN+년/NNB
대선의	대선/NNG+의/JKG
가늠자다.	가늠자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.311.3.2
