# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.289
metadata : {}


# id : NWRW1800000037.289.1.1
[송평인 칼럼]‘알 권리’ 주의자들의 ‘모를 의무’ 주장

[송평인	[/SS+송평인/NNP
칼럼]‘알	칼럼/NNG+]/SS+‘/SS+알/VV+ㄹ/ETM
권리’	권리/NNG+’/SS
주의자들의	주의자/NNG+들/XSN+의/JKG
‘모를	‘/SS+모르/VV+ㄹ/ETM
의무’	의무/NNG+’/SS
주장	주장/NNG


# id : NWRW1800000037.289.2.1
국민의 알 권리를 외쳐 온 사람들이 북방한계선(NLL) 대화록에 대해선 유독 국민의 모를 의무를 주장하고 있다.

국민의	국민/NNG+의/JKG
알	알/VV+ㄹ/ETM
권리를	권리/NNG+를/JKO
외쳐	외치/VV+어/EC
온	오/VX+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
북방한계선(NLL)	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS
대화록에	대화록/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
유독	유독/MAG
모를	모르/VV+ㄹ/ETM
의무를	의무/NNG+를/JKO
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.289.2.2
그들은 입만 열면 국가안보에 ‘명백하고 현존한 위험’을 초래하지 않는 한 알 권리를 보장해야 한다고 주장해 온 사람이다.

그들은	그/NP+들/XSN+은/JX
입만	입/NNG+만/JX
열면	열/VV+면/EC
국가안보에	국가/NNG+안보/NNG+에/JKB
‘명백하고	‘/SS+명백하/VA+고/EC
현존한	현존/NNG+하/XSV+ㄴ/ETM
위험’을	위험/NNG+’/SS+을/JKO
초래하지	초래/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
한	한/NNG
알	알/VV+ㄹ/ETM
권리를	권리/NNG+를/JKO
보장해야	보장/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장해	주장/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
사람이다.	사람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.289.2.3
그런 이들이 지금 ‘국익 훼손’이라는 명백하지도 현존하지도 않는 이유로 국민의 알 권리를 부인하고 있다.

그런	그런/MMD
이들이	이/NP+들/XSN+이/JKS
지금	지금/MAG
‘국익	‘/SS+국익/NNG
훼손’이라는	훼손/NNG+’/SS+이/VCP+라는/ETM
명백하지도	명백하/VA+지/EC+도/JX
현존하지도	현존/NNG+하/XSV+지/EC+도/JX
않는	않/VX+는/ETM
이유로	이유/NNG+로/JKB
국민의	국민/NNG+의/JKG
알	알/VV+ㄹ/ETM
권리를	권리/NNG+를/JKO
부인하고	부인/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.289.3.1
국가의 일은 개인의 일과 달리 공개가 원칙이다.

국가의	국가/NNG+의/JKG
일은	일/NNG+은/JX
개인의	개인/NNG+의/JKG
일과	일/NNG+과/JKB
달리	달리/MAG
공개가	공개/NNG+가/JKS
원칙이다.	원칙/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.289.3.2
대통령기록물관리법은 알 권리라는 측면에서 공공기록물관리법과 달리 심각한 문제를 안고 있다.

대통령기록물관리법은	대통령/NNG+기록물/NNG+관리법/NNG+은/JX
알	알/VV+ㄹ/ETM
권리라는	권리/NNG+이/VCP+라는/ETM
