# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.174
metadata : {}


# id : NWRW1800000049.174.1.1
장기 결석자 찾을 생각도 않는 ‘3無 교육현장’

장기	장기/NNG
결석자	결석자/NNG
찾을	찾/VV+을/ETM
생각도	생각/NNG+도/JX
않는	않/VV+는/ETM
‘3無	‘/SS+3/SN+無/SH
교육현장’	교육/NNG+현장/NNG+’/SS


# id : NWRW1800000049.174.2.1
[위기의 가정, 무관심한 학교]

[위기의	[/SS+위기/NNG+의/JKG
가정,	가정/NNG+,/SP
무관심한	무/XPN+관심/NNG+하/XSA+ㄴ/ETM
학교]	학교/NNG+]/SS


# id : NWRW1800000049.174.3.1
인천 11세 여아 학대, 부천 초등생 시신 훼손 살해, 그리고 부천 여중생 백골 시신 사건은 학생의 안전을 최일선에서 책임져야 할 교육 시스템이 망가진 현실을 적나라하게 보여줬다.

인천	인천/NNP
11세	11/SN+세/NNB
여아	여아/NNG
학대,	학대/NNG+,/SP
부천	부천/NNP
초등생	초등/NNG+생/XSN
시신	시신/NNG
훼손	훼손/NNG
살해,	살해/NNG+,/SP
그리고	그리고/MAJ
여중생	여중/NNG+생/XSN
백골	백골/NNG
사건은	사건/NNG+은/JX
학생의	학생/NNG+의/JKG
안전을	안전/NNG+을/JKO
최일선에서	최/XPN+일선/NNG+에서/JKB
책임져야	책임지/VV+어야/EC
할	하/VX+ㄹ/ETM
교육	교육/NNG
시스템이	시스템/NNG+이/JKS
망가진	망가지/VV+ㄴ/ETM
현실을	현실/NNG+을/JKO
적나라하게	적나라하/VA+게/EC
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.174.3.2
희생자들은 모두 장기결석 끝에 ‘정원 외 관리대상’으로 분류됐지만 학교는 더 이상 관심을 기울이지 않았다.

희생자들은	희생자/NNG+들/XSN+은/JX
모두	모두/MAG
장기결석	장기/NNG+결석/NNG
끝에	끝/NNG+에/JKB
‘정원	‘/SS+정원/NNG
외	외/NNB
관리대상’으로	관리/NNG+대상/NNG+’/SS+으로/JKB
분류됐지만	분류/NNG+되/XSV+었/EP+지만/EC
학교는	학교/NNG+는/JX
더	더/MAG
이상	이상/NNG
관심을	관심/NNG+을/JKO
기울이지	기울이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.174.3.3
학생 개개인에게 관심을 쏟는 학교문화가 사라진 것이 큰 이유라는 분석이 나온다.

학생	학생/NNG
개개인에게	개개인/NNG+에게/JKB
관심을	관심/NNG+을/JKO
쏟는	쏟/VV+는/ETM
학교문화가	학교/NNG+문화/NNG+가/JKS
사라진	사라지/VV+ㄴ/ETM
것이	것/NNB+이/JKS
큰	크/VA+ㄴ/ETM
이유라는	이유/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.174.4.1
○ ‘직장인’이 돼버린 교사

○	○/SW
‘직장인’이	‘/SS+직장인/NNG+’/SS+이/JKC
돼버린	되/VV+어/EC+버리/VX+ㄴ/ETM
교사	교사/NNG


# id : NWRW1800000049.174.5.1
담임교사가 결석 학생의 가정을 방문하고 끝까지 신변을 확인하려고 노력했다면 아이들이 숨지는 사태는 막을 수 있었다.

담임교사가	담임/NNG+교사/NNG+가/JKS
결석	결석/NNG
학생의	학생/NNG+의/JKG
가정을	가정/NNG+을/JKO
방문하고	방문/NNG+하/XSV+고/EC
끝까지	끝/NNG+까지/JX
신변을	신변/NNG+을/JKO
확인하려고	확인/NNG+하/XSV+려고/EC
노력했다면	노력/NNG+하/XSV+았/EP+다면/EC
아이들이	아이/NNG+들/XSN+이/JKS
숨지는	숨지/VV+는/ETM
사태는	사태/NNG+는/JX
막을	막/VV+을/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.174.5.2
하지만 수사 결과 담임을 비롯한 학교 관계자들은 전화나 우편으로 출석을 독려했을 뿐 아이들을 직접 찾아 나서지 않았다.

하지만	하지만/MAJ
수사	수사/NNG
결과	결과/NNG
담임을	담임/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
학교	학교/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
전화나	전화/NNG+나/JX
우편으로	우편/NNG+으로/JKB
출석을	출석/NNG+을/JKO
독려했을	독려/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
아이들을	아이/NNG+들/XSN+을/JKO
