# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.61
metadata : {}


# id : NWRW1800000044.61.1.1
갤럭시S5, 아이폰5s에 밀려

갤럭시S5,	갤럭시S5/NNP+,/SP
아이폰5s에	아이폰5s/NNP+에/JKB
밀려	밀리/VV+어/EF


# id : NWRW1800000044.61.2.1
[한겨레] 5월 스마트폰 판매량 집계 결과

[한겨레]	[/SS+한겨레/NNP+]/SS
5월	5/SN+월/NNB
스마트폰	스마트폰/NNG
판매량	판매량/NNG
집계	집계/NNG
결과	결과/NNG


# id : NWRW1800000044.61.3.1
삼성전자의 최신 전략 스마트폰 ‘갤럭시 S5’가 세계 시장 판매량에서 애플의 구형 ‘아이폰 5s’에 밀린 것으로 나타났다.

삼성전자의	삼성전자/NNP+의/JKG
최신	최신/NNG
전략	전략/NNG
스마트폰	스마트폰/NNG
‘갤럭시	‘/SS+갤럭시/NNP
S5’가	S/SL+5/SN+’/SS+가/JKS
세계	세계/NNG
시장	시장/NNG
판매량에서	판매량/NNG+에서/JKB
애플의	애플/NNP+의/JKG
구형	구형/NNG
‘아이폰	‘/SS+아이폰/NNP
5s’에	5/SN+s/SL+’/SS+에/JKB
밀린	밀리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.61.3.2
중국의 중저가 스마트폰 업체들의 공세로 지난 2분기 실적이 크게 감소한 가운데, 삼성전자가 프리미엄 시장에서도 경쟁력을 잃고 있는 게 아니냐는 우려가 나온다.

중국의	중국/NNP+의/JKG
중저가	중저가/NNG
스마트폰	스마트폰/NNG
업체들의	업체/NNG+들/XSN+의/JKG
공세로	공세/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
2분기	2/SN+분기/NNG
실적이	실적/NNG+이/JKS
크게	크/VA+게/EC
감소한	감소/NNG+하/XSV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
삼성전자가	삼성전자/NNP+가/JKS
프리미엄	프리미엄/NNG
시장에서도	시장/NNG+에서/JKB+도/JX
경쟁력을	경쟁력/NNG+을/JKO
잃고	잃/VV+고/EC
있는	있/VX+는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.61.4.1
홍콩 기반의 시장조사업체 카운터포인트리서치는 지난 5월 주요 35개국 이동통신 시장의 스마트폰 판매량을 집계한 결과, 아이폰 5s가 선두를 차지했다고 14일(현지시각) 발표했다.

홍콩	홍콩/NNP
기반의	기반/NNG+의/JKG
시장조사업체	시장/NNG+조사/NNG+업체/NNG
카운터포인트리서치는	카운터포인트리서치/NNP+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
주요	주요/NNG
35개국	35/SN+개국/NNB
이동통신	이동/NNG+통신/NNG
시장의	시장/NNG+의/JKG
스마트폰	스마트폰/NNG
판매량을	판매량/NNG+을/JKO
집계한	집계/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
아이폰	아이폰/NNP
5s가	5/SN+s/SL+가/JKS
선두를	선두/NNG+를/JKO
차지했다고	차지/NNG+하/XSV+았/EP+다고/EC
14일(현지시각)	14/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.61.4.2
삼성전자의 갤럭시 S5가 2위로 그 뒤를 이었지만, 판매량 면에선 1위와 다소 격차가 있었다고 카운터포인트리서치는 전했다.

삼성전자의	삼성전자/NNP+의/JKG
갤럭시	갤럭시/NNP
S5가	S/SL+5/SN+가/JKS
2위로	2/SN+위/NNB+로/JKB
그	그/MMD
뒤를	뒤/NNG+를/JKO
이었지만,	잇/VV+었/EP+지만/EC+,/SP
판매량	판매량/NNG
면에선	면/NNG+에서/JKB+ㄴ/JX
1위와	1/SN+위/NNB+와/JKB
다소	다소/MAG
격차가	격차/NNG+가/JKS
있었다고	있/VA+었/EP+다고/EC
카운터포인트리서치는	카운터포인트리서치/NNP+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.61.4.3
업체는 두 제품의 구체적인 판매량을 밝히지 않았다.

업체는	업체/NNG+는/JX
두	두/MMN
제품의	제품/NNG+의/JKG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
판매량을	판매량/NNG+을/JKO
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.61.5.1
갤럭시 S시리즈와 아이폰 시리즈는 프리미엄 스마트폰 시장을 사실상 양분하고 있는 삼성전자와 애플이 자존심을 걸고 있는 대표 상품이다.

갤럭시	갤럭시/NNP
S시리즈와	S/SL+시리즈/NNG+와/JC
아이폰	아이폰/NNP
시리즈는	시리즈/NNG+는/JX
프리미엄	프리미엄/NNG
스마트폰	스마트폰/NNG
시장을	시장/NNG+을/JKO
사실상	사실/NNG+상/XSN
양분하고	양분/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
삼성전자와	삼성전자/NNP+와/JC
애플이	애플/NNP+이/JKS
자존심을	자존심/NNG+을/JKO
걸고	걸/VV+고/EC
대표	대표/NNG
상품이다.	상품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.61.5.2
갤럭시 S5가 지난 4월11일 세계 시장에 출시된 신제품이라, 출시 8개월이나 지난 아이폰5s보다 적게 팔렸다는 점에서 충격이 클 수밖에 없다.

갤럭시	갤럭시/NNP
S5가	S/SL+5/SN+가/JKS
지난	지나/VV+ㄴ/ETM
4월11일	4/SN+월/NNB+11/SN+일/NNB
세계	세계/NNG
시장에	시장/NNG+에/JKB
출시된	출시/NNG+되/XSV+ㄴ/ETM
신제품이라,	신/XPN+제품/NNG+이/VCP+라/EC+,/SP
출시	출시/NNG
8개월이나	8/SN+개월/NNB+이나/JX
아이폰5s보다	아이폰5s/NNP+보다/JKB
적게	적/VA+게/EC
팔렸다는	팔리/VV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
충격이	충격/NNG+이/JKS
클	크/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.61.5.3
사실상 신제품 효과를 거의 보지 못 했다는 의미로, 충성 고객 이탈 징후로 받아들일 수 있기 때문이다.

사실상	사실/NNG+상/XSN
신제품	신/XPN+제품/NNG
효과를	효과/NNG+를/JKO
거의	거의/MAG
보지	보/VV+지/EC
못	못/MAG
했다는	하/VV+았/EP+다는/ETM
의미로,	의미/NNG+로/JKB+,/SP
충성	충성/NNG
고객	고객/NNG
이탈	이탈/NNG
징후로	징후/NNG+로/JKB
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.61.5.4
특히 애플이 오는 9월께 대형화면(4.7~5.5인치) 스마트폰인 아이폰6를 새로 출시할 예정이라, 프리미엄 제품에 크게 기대고 있는 삼성전자의 걱정은 더욱 커질 수밖에 없다.

특히	특히/MAG
애플이	애플/NNP+이/JKS
오는	오/VV+는/ETM
