# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.8
metadata : {}


# id : NWRW1800000052.8.1.1
‘목돈 마련’ 대표상품도 못 피한 저금리 칼날…믿었던 재형저축도 연 2%대로 ‘뚝’

‘목돈	‘/SS+목돈/NNG
마련’	마련/NNG+’/SS
대표상품도	대표/NNG+상품/NNG+도/JX
못	못/MAG
피한	피하/VV+ㄴ/ETM
저금리	저/XPN+금리/NNG
칼날…믿었던	칼날/NNG+…/SE+믿/VV+었/EP+던/ETM
재형저축도	재형저축/NNG+도/JX
연	연/NNG
2%대로	2/SN+%/SW+대/XSN+로/JKB
‘뚝’	‘/SS+뚝/MAG+’/SS


# id : NWRW1800000052.8.2.1
고정 금리 기한 3년 지나자마자

고정	고정/NNG
금리	금리/NNG
기한	기한/NNG
3년	3/SN+년/NNB
지나자마자	지나/VV+자마자/EC


# id : NWRW1800000052.8.3.1
은행들 일제히 최대 1.5%p 인하

은행들	은행/NNG+들/XSN
일제히	일제히/MAG
최대	최대/NNG
1.5%p	1/SN+./SP+5/SN+%p/SW
인하	인하/NNG


# id : NWRW1800000052.8.4.1
190만 가입 계좌 91%가 해당

190만	190/SN+만/NR
가입	가입/NNG
계좌	계좌/NNG
91%가	91/SN+%/SW+가/JKS
해당	해당/NNG


# id : NWRW1800000052.8.5.1
일반 적금과 금리차 0.5%p 불과

일반	일반/NNG
적금과	적금/NNG+과/JKB
금리차	금리/NNG+차/NNG
0.5%p	0/SN+./SP+5/SN+%p/SW
불과	불과/MAG


# id : NWRW1800000052.8.6.1
당국 “예측 가능 범위 벗어났다”

당국	당국/NNG
“예측	“/SS+예측/NNG
가능	가능/NNG
범위	범위/NNG
벗어났다”	벗어나/VV+았/EP+다/EF+”/SS


# id : NWRW1800000052.8.7.1
은행들 “상황 맞춰 조정한 것뿐”

은행들	은행/NNG+들/XSN
“상황	“/SS+상황/NNG
맞춰	맞추/VV+어/EC
조정한	조정/NNG+하/XSV+ㄴ/ETM
것뿐”	것/NNB+뿐/JX+”/SS


# id : NWRW1800000052.8.8.1
서민 자산 불리기의 디딤돌을 제공하겠다며 정부 주도로 도입된 재형저축(변동형)의 금리가 이달 들어 큰 폭으로 떨어졌다.

서민	서민/NNG
자산	자산/NNG
불리기의	불리/VV+기/ETN+의/JKG
디딤돌을	디딤돌/NNG+을/JKO
제공하겠다며	제공/NNG+하/XSV+겠/EP+다며/EC
정부	정부/NNG
주도로	주도/NNG+로/JKB
도입된	도입/NNG+되/XSV+ㄴ/ETM
재형저축(변동형)의	재형저축/NNG+(/SS+변동/NNG+형/XSN+)/SS+의/JKG
금리가	금리/NNG+가/JKS
이달	이달/NNG
들어	들/VV+어/EC
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.8.8.2
재형저축 가입자의 90%가량은 가입 뒤 일정기간이 지나면 금리를 조정하는 변동형을 선택했는데, 이번달부터 순차적으로 바뀐 금리를 적용 받게 되는 가입자들은 볼멘소리를 내놓고 있다.

재형저축	재형저축/NNG
가입자의	가입자/NNG+의/JKG
90%가량은	90/SN+%/SW+가량/XSN+은/JX
가입	가입/NNG
뒤	뒤/NNG
일정기간이	일정/NNG+기간/NNG+이/JKS
지나면	지나/VV+면/EC
금리를	금리/NNG+를/JKO
조정하는	조정/NNG+하/XSV+는/ETM
변동형을	변동/NNG+형/XSN+을/JKO
선택했는데,	선택/NNG+하/XSV+았/EP+는데/EC+,/SP
이번달부터	이번/NNG+달/NNG+부터/JX
순차적으로	순차/NNG+적/XSN+으로/JKB
바뀐	바뀌/VV+ㄴ/ETM
적용	적용/NNG
받게	받/VV+게/EC
되는	되/VV+는/ETM
가입자들은	가입자/NNG+들/XSN+은/JX
볼멘소리를	볼멘소리/NNG+를/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.8.9.1
8일 주요 시중은행들이 공개한 재형저축 금리를 보면, 케이비(KB)국민은행은 연 4.2%였던 금리를 2.7%로 1.5%포인트 인하했고, 케이이비(KEB)하나은행도 연 4.1%에서 2.6%로 내렸다.

8일	8/SN+일/NNB
주요	주요/NNG
시중은행들이	시중/NNG+은행/NNG+들/XSN+이/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
재형저축	재형저축/NNG
금리를	금리/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
케이비(KB)국민은행은	케이비/NNP+(/SS+KB/SL+)/SS+국민은행/NNP+은/JX
연	연/NNG
4.2%였던	4/SN+./SP+2/SN+%/SW+이/VCP+었/EP+던/ETM
2.7%로	2/SN+./SP+7/SN+%/SW+로/JKB
1.5%포인트	1/SN+./SP+5/SN+%/SW+포인트/NNG
인하했고,	인하/NNG+하/XSV+았/EP+고/EC+,/SP
케이이비(KEB)하나은행도	케이이비/NNP+(/SS+KEB/SL+)/SS+하나은행/NNP+도/JX
4.1%에서	4/SN+./SP+1/SN+%/SW+에서/JKB
2.6%로	2/SN+./SP+6/SN+%/SW+로/JKB
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.8.9.2
우리은행과 신한은행은 연 2.55%와 연 2.85%로 종전보다 각각 1.3%포인트, 1.0%포인트씩 낮췄다.

우리은행과	우리은행/NNP+과/JC
신한은행은	신한은행/NNP+은/JX
연	연/NNG
2.55%와	2/SN+./SP+55/SN+%/SW+와/JC
2.85%로	2/SN+./SP+85/SN+%/SW+로/JKB
종전보다	종전/NNG+보다/JKB
각각	각각/NNG
1.3%포인트,	1/SN+./SP+3/SN+%/SW+포인트/NNG+,/SP
1.0%포인트씩	1/SN+./SP+0/SN+%/SW+포인트/NNG+씩/XSN
낮췄다.	낮추/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.8.9.3
그나마 아이비케이(IBK)기업은행의 금리인하 폭(0.6%포인트)이 가장 적었다.

그나마	그나마/MAG
아이비케이(IBK)기업은행의	아이비케이/NNP+(/SS+IBK/SL+)/SS+기업은행/NNP+의/JKG
금리인하	금리/NNG+인하/NNG
폭(0.6%포인트)이	폭/NNG+(/SS+0/SN+./SP+6/SN+%/SW+포인트/NNG+)/SS+이/JKS
가장	가장/MAG
적었다.	적/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.8.9.4
모두 지난 4~6일 동안 금리가 조정됐다.

모두	모두/MAG
지난	지나/VV+ㄴ/ETM
4~6일	4/SN+~/SO+6/SN+일/NNB
동안	동안/NNG
금리가	금리/NNG+가/JKS
조정됐다.	조정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.8.10.1
재형저축은 연 2%대의 고정금리를 제공하는 ‘고정형’과, 가입 뒤 3년 동안은 연 4%대의 고정금리가 적용되고 이후 변동금리로 바뀌는 ‘변동형(혼합형)’으로 나뉜다.

재형저축은	재형저축/NNG+은/JX
연	연/NNG
2%대의	2/SN+%/SW+대/XSN+의/JKG
고정금리를	고정/NNG+금리/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
‘고정형’과,	‘/SS+고정/NNG+형/XSN+’/SS+과/JC+,/SP
가입	가입/NNG
뒤	뒤/NNG
3년	3/SN+년/NNB
동안은	동안/NNG+은/JX
4%대의	4/SN+%/SW+대/XSN+의/JKG
고정금리가	고정/NNG+금리/NNG+가/JKS
적용되고	적용/NNG+되/XSV+고/EC
이후	이후/NNG
변동금리로	변동/NNG+금리/NNG+로/JKB
바뀌는	바뀌/VV+는/ETM
‘변동형(혼합형)’으로	‘/SS+변동/NNG+형/XSN+(/SS+혼합/NNG+형/XSN+)/SS+’/SS+으로/JKB
