# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.361
metadata : {}


# id : NWRW1800000033.361.1.1
朴 “경찰인력 5년간 2만명 늘리겠다”

朴	朴/SH
“경찰인력	“/SS+경찰/NNG+인력/NNG
5년간	5/SN+년/NNB+간/XSN
2만명	2/SN+만/NR+명/NNB
늘리겠다”	늘리/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000033.361.2.1
검경 수사권 분리 관련 “양측 협의해 분점” 원칙론 21일쯤 정수장학회 입장표명

검경	검경/NNG
수사권	수사/NNG+권/XSN
분리	분리/NNG
관련	관련/NNG
“양측	“/SS+양측/NNG
협의해	협의/NNG+하/XSV+아/EC
분점”	분점/NNG+”/SS
원칙론	원칙/NNG+론/XSN
21일쯤	21/SN+일/NNB+쯤/XSN
정수장학회	정수장학회/NNP
입장표명	입장/NNG+표명/NNG


# id : NWRW1800000033.361.3.1
새누리당 박근혜 대선후보는 19일 경찰의 날(21일)을 맞아 “늘어나는 치안 수요에 대응하기 위해 경찰인력을 5년 동안 매년 4000명씩 2만 명을 증원해 경찰관 1인당 담당 인구를 선진국 수준인 400명 이내로 만들겠다”고 밝혔다.

새누리당	새누리당/NNP
박근혜	박근혜/NNP
대선후보는	대선/NNG+후보/NNG+는/JX
19일	19/SN+일/NNB
경찰의	경찰/NNG+의/JKG
날(21일)을	날/NNG+(/SS+21/SN+일/NNB+)/SS+을/JKO
맞아	맞/VV+아/EC
“늘어나는	“/SS+늘어나/VV+는/ETM
치안	치안/NNG
수요에	수요/NNG+에/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
경찰인력을	경찰/NNG+인력/NNG+을/JKO
5년	5/SN+년/NNB
동안	동안/NNG
매년	매년/MAG
4000명씩	4000/SN+명/NNB+씩/XSN
2만	2/SN+만/NR
명을	명/NNB+을/JKO
증원해	증원/NNG+하/XSV+아/EC
경찰관	경찰관/NNG
1인당	1/SN+인/NNG+당/XSN
담당	담당/NNG
인구를	인구/NNG+를/JKO
선진국	선진국/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
400명	400/SN+명/NNB
이내로	이내/NNG+로/JKB
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.361.3.2
