# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.366
metadata : {}


# id : NWRW1800000030.366.1.1
[수도권I] 이 봄엔 수원화성서 활기를 충전하세요

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
이	이/MMD
봄엔	봄/NNG+에/JKB+ㄴ/JX
수원화성서	수원/NNP+화성/NNP+서/JKB
활기를	활기/NNG+를/JKO
충전하세요	충전/NNG+하/XSV+시/EP+어요/EF


# id : NWRW1800000030.366.2.1
•무예24기·군례 눈길 끌어…조총사격도 체험해볼만 국궁쏘기·타종 두루 인기

•무예24기·군례	•/SW+무예24기/NNP+·/SP+군례/NNG
눈길	눈길/NNG
끌어…조총사격도	끌/VV+어/EC+…/SE+조총/NNG+사격/NNG+도/JX
체험해볼만	체험/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM+만/NNB
국궁쏘기·타종	국궁/NNG+쏘/VV+기/ETN+·/SP+타종/NNG
두루	두루/MAG
인기	인기/NNG


# id : NWRW1800000030.366.3.1
세계문화유산 수원화성(華城)은 최근 문화체육관광부가 선정한 '한국을 대표하는 관광으뜸명소' 8곳 가운데 하나로 지정됐다.

세계문화유산	세계/NNG+문화유산/NNG
수원화성(華城)은	수원/NNP+화성/NNP+(/SS+華城/SH+)/SS+은/JX
최근	최근/NNG
문화체육관광부가	문화/NNG+체육/NNG+관광부/NNG+가/JKS
선정한	선정/NNG+하/XSV+ㄴ/ETM
'한국을	'/SS+한국/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
관광으뜸명소'	관광/NNG+으뜸/NNG+명소/NNG+'/SS
8곳	8/SN+곳/NNG
가운데	가운데/NNG
하나로	하나/NR+로/JKB
지정됐다.	지정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.366.3.2
수원화성은 정조대왕(1752~1800)의 효심(孝心)이 성을 쌓는 근본이 되었고 당쟁을 타파한 강력한 왕도정치 실현이라는 정치구상의 중심지다.

수원화성은	수원/NNP+화성/NNP+은/JX
정조대왕(1752~1800)의	정조/NNP+대왕/NNG+(/SS+1752/SN+~/SO+1800/SN+)/SS+의/JKG
효심(孝心)이	효심/NNG+(/SS+孝心/SH+)/SS+이/JKS
성을	성/NNG+을/JKO
쌓는	쌓/VV+는/ETM
근본이	근본/NNG+이/JKC
되었고	되/VV+었/EP+고/EC
당쟁을	당쟁/NNG+을/JKO
타파한	타파/NNG+하/XSV+ㄴ/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
왕도정치	왕도/NNG+정치/NNG
실현이라는	실현/NNG+이/VCP+라는/ETM
정치구상의	정치/NNG+구상/NNG+의/JKG
중심지다.	중심지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.366.3.3
또 수도인 한양 남쪽의 국방요새로 활용하기 위한 것이기도 했다.

또	또/MAG
수도인	수도/NNG+이/VCP+ㄴ/ETM
한양	한양/NNP
남쪽의	남쪽/NNG+의/JKG
국방요새로	국방/NNG+요새/NNG+로/JKB
활용하기	활용/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이기도	것/NNB+이/VCP+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.366.3.4
수원화성은 정약용(1762~1836) 선생이 동·서양의 기술서를 참고해 만든 '성화주략(1793)'을 지침서로 재상을 지낸 영중추부사 채제공(1720~1799)의 총괄아래 1794년 1월에 착공에 들어가 1796년 9월에 완공됐다.

수원화성은	수원/NNP+화성/NNP+은/JX
정약용(1762~1836)	정약용/NNP+(/SS+1762/SN+~/SO+1836/SN+)/SS
선생이	선생/NNG+이/JKS
동·서양의	동·서양/NNG+의/JKG
기술서를	기술서/NNG+를/JKO
참고해	참고/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
'성화주략(1793)'을	'/SS+성화주략/NNP+(/SS+1793/SN+)/SS+'/SS+을/JKO
지침서로	지침서/NNG+로/JKB
재상을	재상/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
영중추부사	영중추부사/NNG
채제공(1720~1799)의	채제공/NNP+(/SS+1720/SN+~/SO+1799/SN+)/SS+의/JKG
총괄아래	총괄/NNG+아래/NNG
1794년	1794/SN+년/NNB
1월에	1/SN+월/NNB+에/JKB
착공에	착공/NNG+에/JKB
들어가	들어가/VV+아/EC
1796년	1796/SN+년/NNB
9월에	9/SN+월/NNB+에/JKB
완공됐다.	완공/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.366.3.5
이런 역사적 배경을 가진 수원화성을 정부가 내·외국인 관광객에게 추천할 만한 국내대표명소로 인정한 점은 그 의미가 크다.

이런	이런/MMD
역사적	역사/NNG+적/XSN
배경을	배경/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
