# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.60
metadata : {}


# id : NWRW1800000036.60.1.1
발끝까지 따뜻해야 겨울준비 완성!

발끝까지	발끝/NNG+까지/JX
따뜻해야	따뜻하/VA+아야/EC
겨울준비	겨울/NNG+준비/NNG
완성!	완성/NNG+!/SF


# id : NWRW1800000036.60.2.1
[한겨레] 미끄럼방지·방수기능 갖춘

[한겨레]	[/SS+한겨레/NNP+]/SS
미끄럼방지·방수기능	미끄럼/NNG+방지/NNG+·/SP+방수/NNG+기능/NNG
갖춘	갖추/VV+ㄴ/ETM


# id : NWRW1800000036.60.3.1
방한 신발 판매 크게 늘어

방한	방한/NNG
신발	신발/NNG
판매	판매/NNG
크게	크/VA+게/EC
늘어	늘/VV+어/EF


# id : NWRW1800000036.60.4.1
매서운 겨울 추위가 예년보다 일찍 찾아오면서 시린 발을 따뜻하게 감싸줄 방한 신발 판매량이 크게 늘고 있다.

매서운	매섭/VA+ㄴ/ETM
겨울	겨울/NNG
추위가	추위/NNG+가/JKS
예년보다	예년/NNG+보다/JKB
일찍	일찍/MAG
찾아오면서	찾아오/VV+면서/EC
시린	시리/VA+ㄴ/ETM
발을	발/NNG+을/JKO
따뜻하게	따뜻하/VA+게/EC
감싸줄	감싸/VV+아/EC+주/VX+ㄹ/ETM
방한	방한/NNG
신발	신발/NNG
판매량이	판매량/NNG+이/JKS
크게	크/VA+게/EC
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.60.4.2
특히 올해는 유난히 강한 추위와 폭설 등이 예상됨에 따라, 스타일뿐만 아니라 보온성, 방수, 미끄럼방지까지 다양한 기능을 갖춘 제품들이 인기를 끌고 있다.

특히	특히/MAG
올해는	올해/NNG+는/JX
유난히	유난히/MAG
강한	강하/VA+ㄴ/ETM
추위와	추위/NNG+와/JC
폭설	폭설/NNG
등이	등/NNB+이/JKS
예상됨에	예상/NNG+되/XSV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
스타일뿐만	스타일/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
보온성,	보온/NNG+성/XSN+,/SP
방수,	방수/NNG+,/SP
미끄럼방지까지	미끄럼/NNG+방지/NNG+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
기능을	기능/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
제품들이	제품/NNG+들/XSN+이/JKS
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.60.5.1
크록스는 최근 올겨울 새 제품인 ‘슈퍼몰디드 커프트 퍼프 부츠’(사진)의 1차 수입물량(2000켤레)이 모두 팔려 2차 물량 주문에 들어갔다고 밝혔다.

크록스는	크록스/NNP+는/JX
최근	최근/MAG
올겨울	올겨울/NNG
새	새/MMA
제품인	제품/NNG+이/VCP+ㄴ/ETM
‘슈퍼몰디드	‘/SS+슈퍼몰디드/NNP
커프트	커프트/NNP
퍼프	퍼프/NNP
부츠’(사진)의	부츠/NNP+’/SS+(/SS+사진/NNG+)/SS+의/JKG
1차	1/SN+차/NNB
수입물량(2000켤레)이	수입/NNG+물량/NNG+(/SS+2000/SN+켤레/NNB+)/SS+이/JKS
모두	모두/MAG
팔려	팔리/VV+어/EC
2차	2/SN+차/NNB
물량	물량/NNG
주문에	주문/NNG+에/JKB
들어갔다고	들어가/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.60.5.2
슈퍼몰디드 커프트 퍼프 부츠는 크록스가 자체 개발한 크로슬라이트 소재로 만들어 620g의 초경량에 쿠션감을 갖췄고, 우수한 정지마찰력으로 미끄러운 눈길에서도 안정감을 주는 제품이다.

슈퍼몰디드	슈퍼몰디드/NNP
커프트	커프트/NNP
퍼프	퍼프/NNP
부츠는	부츠/NNP+는/JX
크록스가	크록스/NNP+가/JKS
