# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.109
metadata : {}


# id : NWRW1800000049.109.1.1
“아가씨의 에로틱 스릴러” vs “때론 놀랍지만 지루”

“아가씨의	“/SS+아가씨/NNG+의/JKG
에로틱	에로틱/NNG
스릴러”	스릴러/NNG+”/SS
vs	vs/SL
“때론	“/SS+때로/MAG+ㄴ/JX
놀랍지만	놀랍/VA+지만/EC
지루”	지루/XR+”/SS


# id : NWRW1800000049.109.2.1
박찬욱 ‘아가씨’ 칸서 엇갈린 반응

박찬욱	박찬욱/NNP
‘아가씨’	‘/SS+아가씨/NNP+’/SS
칸서	칸/NNP+서/JKB
엇갈린	엇갈리/VV+ㄴ/ETM
반응	반응/NNG


# id : NWRW1800000049.109.3.1
박찬욱 감독이 3년 만에 내놓은 신작 ‘아가씨’가 14일 오후(현지 시간) 프랑스 칸 뤼미에르극장에서 열린 제69회 칸국제영화제 공식상영에서 첫선을 보였다.

박찬욱	박찬욱/NNP
감독이	감독/NNG+이/JKS
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
내놓은	내놓/VV+은/ETM
신작	신작/NNG
‘아가씨’가	‘/SS+아가씨/NNP+’/SS+가/JKS
14일	14/SN+일/NNB
오후(현지	오후/NNG+(/SS+현지/NNG
시간)	시간/NNG+)/SS
프랑스	프랑스/NNP
칸	칸/NNP
뤼미에르극장에서	뤼미에르극장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
제69회	제/XPN+69/SN+회/NNB
칸국제영화제	칸/NNP+국제/NNG+영화제/NNG
공식상영에서	공식/NNG+상영/NNG+에서/JKB
첫선을	첫선/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.109.3.2
‘아가씨’는 한국영화로는 4년 만에 칸영화제 공식경쟁 부문에 초청됐다.

‘아가씨’는	‘/SS+아가씨/NNP+’/SS+는/JX
한국영화로는	한국/NNP+영화/NNG+로/JKB+는/JX
4년	4/SN+년/NNB
만에	만/NNB+에/JKB
칸영화제	칸/NNP+영화제/NNG
공식경쟁	공식/NNG+경쟁/NNG
부문에	부문/NNG+에/JKB
초청됐다.	초청/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.109.4.1
부모를 일찍 여의고 이모부(조진웅) 밑에서 자란 귀족 아가씨 히데코(김민희)와 그 재산을 노리는 백작(하정우), 백작을 돕기 위해 길거리 소매치기 신분을 숨기고 아가씨의 하녀가 된 숙희(김태리)가 벌이는 얽히고설킨 사기극이 중심 얼개다.

부모를	부모/NNG+를/JKO
일찍	일찍/MAG
여의고	여의/VV+고/EC
이모부(조진웅)	이모부/NNG+(/SS+조진웅/NNP+)/SS
밑에서	밑/NNG+에서/JKB
자란	자라/VV+ㄴ/ETM
귀족	귀족/NNG
아가씨	아가씨/NNG
히데코(김민희)와	히데코/NNP+(/SS+김민희/NNP+)/SS+와/JC
그	그/MMD
재산을	재산/NNG+을/JKO
노리는	노리/VV+는/ETM
백작(하정우),	백작/NNG+(/SS+하정우/NNP+)/SS+,/SP
백작을	백작/NNG+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
길거리	길거리/NNG
소매치기	소매치기/NNG
신분을	신분/NNG+을/JKO
숨기고	숨기/VV+고/EC
아가씨의	아가씨/NNG+의/JKG
하녀가	하녀/NNG+가/JKC
된	되/VV+ㄴ/ETM
숙희(김태리)가	숙희/NNP+(/SS+김태리/NNP+)/SS+가/JKS
벌이는	벌이/VV+는/ETM
얽히고설킨	얽히고설키/VV+ㄴ/ETM
사기극이	사기극/NNG+이/JKS
중심	중심/NNG
얼개다.	얼개/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.109.4.2
19세기 영국이 배경인 원작소설 ‘핑거스미스’를 1930년대 일제강점기로 옮겨왔다.

19세기	19/SN+세기/NNG
영국이	영국/NNP+이/JKS
배경인	배경/NNG+이/VCP+ㄴ/ETM
원작소설	원작/NNG+소설/NNG
‘핑거스미스’를	‘/SS+핑거스미스/NNP+’/SS+를/JKO
1930년대	1930/SN+년대/NNB
일제강점기로	일제/NNG+강점기/NNG+로/JKB
옮겨왔다.	옮기/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.109.5.1
공식상영 다음 날인 15일 오전(현지 시간) 뤼미에르극장 인근 호텔에서 만난 박 감독은 “권선징악적 줄거리와 명쾌한 결말 등 상업영화 요소가 강해 영화제 경쟁 부문에 초청될지는 전혀 예상하지 못했다”며 “공식상영이 끝난 뒤 티에리 프레모 칸영화제 집행위원장이 ‘사람들의 박수를 봐라.

공식상영	공식/NNG+상영/NNG
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
15일	15/SN+일/NNB
오전(현지	오전/NNG+(/SS+현지/NNG
시간)	시간/NNG+)/SS
뤼미에르극장	뤼미에르극장/NNP
인근	인근/NNG
호텔에서	호텔/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
박	박/NNP
감독은	감독/NNG+은/JX
“권선징악적	“/SS+권선징악/NNG+적/XSN
줄거리와	줄거리/NNG+와/JC
명쾌한	명쾌하/VA+ㄴ/ETM
결말	결말/NNG
등	등/NNB
상업영화	상업/NNG+영화/NNG
요소가	요소/NNG+가/JKS
강해	강하/VA+아/EC
영화제	영화제/NNG
경쟁	경쟁/NNG
부문에	부문/NNG+에/JKB
초청될지는	초청/NNG+되/XSV+ㄹ지/EF+는/JX
전혀	전혀/MAG
예상하지	예상/NNG+하/XSV+지/EC
못했다”며	못하/VX+았/EP+다/EF+”/SS+며/EC
“공식상영이	“/SS+공식/NNG+상영/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
티에리	티에리/NNP
프레모	프레모/NNP
칸영화제	칸/NNP+영화제/NNG
집행위원장이	집행/NNG+위원장/NNG+이/JKS
‘사람들의	‘/SS+사람/NNG+들/XSN+의/JKG
박수를	박수/NNG+를/JKO
봐라.	보/VV+아라/EF+./SF


# id : NWRW1800000049.109.5.2
이게 상업영화에 보내는 박수냐’고 반문했지만 역시 칸영화제에 어울리는 영화는 아니라는 생각에 수상은 기대하지 않고 있다”고 말했다.

이게	이거/NP+이/JKS
상업영화에	상업/NNG+영화/NNG+에/JKB
보내는	보내/VV+는/ETM
박수냐’고	박수/NNG+이/VCP+냐/EF+’/SS+고/JKQ
반문했지만	반문/NNG+하/XSV+았/EP+지만/EC
역시	역시/MAG
칸영화제에	칸/NNP+영화제/NNG+에/JKB
어울리는	어울리/VV+는/ETM
영화는	영화/NNG+는/JX
아니라는	아니/VCN+라는/ETM
생각에	생각/NNG+에/JKB
수상은	수상/NNG+은/JX
기대하지	기대/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.109.6.1
시대 배경을 살린 아름다운 의상과 세트를 집요할 정도로 세밀하게 배치해 관객을 압도한다는 점에서 박 감독의 면모가 잘 살아 있다.

시대	시대/NNG
배경을	배경/NNG+을/JKO
살린	살리/VV+ㄴ/ETM
아름다운	아름답/VA+ㄴ/ETM
의상과	의상/NNG+과/JC
세트를	세트/NNG+를/JKO
집요할	집요하/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
세밀하게	세밀하/VA+게/EC
배치해	배치/NNG+하/XSV+아/EC
관객을	관객/NNG+을/JKO
압도한다는	압도/NNG+하/XSV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
박	박/NNP
감독의	감독/NNG+의/JKG
면모가	면모/NNG+가/JKS
잘	잘/MAG
살아	살/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.109.6.2
외롭고 예민한 아가씨와 그런 아가씨에게 연민과 사랑을 느끼는 숙희의 동성애 베드신 묘사도 적나라하다.

외롭고	외롭/VA+고/EC
예민한	예민하/VA+ㄴ/ETM
아가씨와	아가씨/NNG+와/JC
그런	그런/MMD
아가씨에게	아가씨/NNG+에게/JKB
연민과	연민/NNG+과/JC
사랑을	사랑/NNG+을/JKO
느끼는	느끼/VV+는/ETM
숙희의	숙희/NNP+의/JKG
동성애	동성애/NNG
베드신	베드신/NNG
묘사도	묘사/NNG+도/JX
적나라하다.	적나라하/VA+다/EF+./SF


# id : NWRW1800000049.109.6.3
데뷔작에서 능수능란하게 역할을 소화하며 전라 노출까지 감행한 김태리, 섬세한 감정 연기로 새로운 면모를 보인 김민희도 인상적이다.

데뷔작에서	데뷔작/NNG+에서/JKB
능수능란하게	능수능란하/VA+게/EC
역할을	역할/NNG+을/JKO
소화하며	소화/NNG+하/XSV+며/EC
전라	전라/NNG
노출까지	노출/NNG+까지/JX
감행한	감행/NNG+하/XSV+ㄴ/ETM
김태리,	김태리/NNP+,/SP
섬세한	섬세하/VA+ㄴ/ETM
감정	감정/NNG
연기로	연기/NNG+로/JKB
새로운	새롭/VA+ㄴ/ETM
면모를	면모/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
김민희도	김민희/NNP+도/JX
인상적이다.	인상/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000049.109.6.4
동화를 연상시키는 이야기 구조이되 남성 대신 여성이 서로를 구원하는 것으로 치환한 점, 일제강점기 조선에 근대가 이식되던 시대상을 담아낸 점 등은 영화를 풍부하게 해석할 여지를 제공한다.

동화를	동화/NNG+를/JKO
연상시키는	연상/NNG+시키/XSV+는/ETM
이야기	이야기/NNG
구조이되	구조/NNG+이/VCP+되/EC
남성	남성/NNG
대신	대신/NNG
여성이	여성/NNG+이/JKS
서로를	서로/NNG+를/JKO
구원하는	구원/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
치환한	치환/NNG+하/XSV+ㄴ/ETM
점,	점/NNG+,/SP
일제강점기	일제/NNG+강점기/NNG
조선에	조선/NNP+에/JKB
근대가	근대/NNG+가/JKS
이식되던	이식/NNG+되/XSV+던/ETM
시대상을	시대상/NNG+을/JKO
담아낸	담아내/VV+ㄴ/ETM
점	점/NNG
등은	등/NNB+은/JX
영화를	영화/NNG+를/JKO
풍부하게	풍부하/VA+게/EC
해석할	해석/NNG+하/XSV+ㄹ/ETM
여지를	여지/NNB+를/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.109.7.1
하지만 박 감독의 전매특허였던 피가 난무하는 폭력 장면은 거의 등장하지 않는다.

하지만	하지만/MAJ
박	박/NNP
감독의	감독/NNG+의/JKG
전매특허였던	전매특허/NNG+이/VCP+었/EP+던/ETM
피가	피/NNG+가/JKS
난무하는	난무/NNG+하/XSV+는/ETM
폭력	폭력/NNG
장면은	장면/NNG+은/JX
거의	거의/MAG
등장하지	등장/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000049.109.7.2
줄거리도 여성 간의 사랑이라는 점을 제외하면 통속극에 가깝다.

줄거리도	줄거리/NNG+도/JX
여성	여성/NNG
간의	간/NNB+의/JKG
