# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.181
metadata : {}


# id : NWRW1800000046.181.1.1
현대車 '역사 에세이' 한국근현대史서 첫 출제

현대車	현대/NNP+車/SH
'역사	'/SS+역사/NNG
에세이'	에세이/NNG+'/SS
한국근현대史서	한국/NNP+근현대/NNG+史/SH+서/JKB
첫	첫/MMN
출제	출제/NNG


# id : NWRW1800000046.181.2.1
응시 수험생 "신문 社說 등 꾸준히 정독해야 쓸 수 있어"

응시	응시/NNG
수험생	수험/NNG+생/XSN
"신문	"/SS+신문/NNG
社說	社說/SH
등	등/NNB
꾸준히	꾸준히/MAG
정독해야	정독/NNG+하/XSV+아야/EC
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있어"	있/VA+어/EF+"/SS


# id : NWRW1800000046.181.3.1
'우리나라는 6·25전쟁의 폐허에서 반세기 만에 '한강의 기적'이라 할 만큼 세계에서 유례를 찾기 어려운 경제성장을 이뤘다.

'우리나라는	'/SS+우리나라/NNG+는/JX
6·25전쟁의	6/SN+·/SP+25/SN+전쟁/NNG+의/JKG
폐허에서	폐허/NNG+에서/JKB
반세기	반세기/NNG
만에	만/NNB+에/JKB
'한강의	'/SS+한강/NNP+의/JKG
기적'이라	기적/NNG+'/SS+이라/JKQ
할	하/VV+ㄹ/ETM
만큼	만큼/NNB
세계에서	세계/NNG+에서/JKB
유례를	유례/NNG+를/JKO
찾기	찾/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
경제성장을	경제/NNG+성장/NNG+을/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.181.3.2
우리나라 경제 발전에 가장 큰 영향을 미쳤다고 생각하는 역사적 사실·사건을 한 가지 선택하고 선정 기준과 이유를 서술하라.'

우리나라	우리나라/NNG
경제	경제/NNG
발전에	발전/NNG+에/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미쳤다고	미치/VV+었/EP+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
역사적	역사/NNG+적/XSN
사실·사건을	사실/NNG+·/SP+사건/NNG+을/JKO
한	한/MMN
가지	가지/NNB
선택하고	선택/NNG+하/XSV+고/EC
선정	선정/NNG
기준과	기준/NNG+과/JC
이유를	이유/NNG+를/JKO
서술하라.'	서술/NNG+하/XSV+라/EF+./SF+'/SS


# id : NWRW1800000046.181.4.1
'인류 역사 발전에 가장 큰 영향력을 미친 역사적 사건은 무엇이라고 생각하며, 그것이 인류 발전에 어떤 의의를 갖는지 서술하라.'

'인류	'/SS+인류/NNG
역사	역사/NNG
발전에	발전/NNG+에/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
역사적	역사/NNG+적/XSN
사건은	사건/NNG+은/JX
무엇이라고	무엇/NP+이/VCP+라고/EC
생각하며,	생각/NNG+하/XSV+며/EC+,/SP
그것이	그것/NP+이/JKS
인류	인류/NNG
어떤	어떤/MMD
의의를	의의/NNG+를/JKO
갖는지	갖/VV+는지/EC
서술하라.'	서술/NNG+하/XSV+라/EF+./SF+'/SS


# id : NWRW1800000046.181.5.1
현대자동차가 9일 국내 주요 대기업 가운데 처음으로 실시한 올 하반기 대졸자 공채 인적성 검사(HMAT)에서 나온 '역사 에세이' 주제다.

현대자동차가	현대자동차/NNP+가/JKS
9일	9/SN+일/NNB
국내	국내/NNG
주요	주요/NNG
대기업	대/XPN+기업/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
올	올/NNG
하반기	하반기/NNG
대졸자	대졸자/NNG
공채	공채/NNG
인적성	인적성/NNG
검사(HMAT)에서	검사/NNG+(/SS+HMAT/SL+)/SS+에서/JKB
나온	나오/VV+ㄴ/ETM
'역사	'/SS+역사/NNG
에세이'	에세이/NNG+'/SS
주제다.	주제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.181.5.2
전국 주요 도시에서 2만여 명이 응시했다.

전국	전국/NNG
주요	주요/NNG
도시에서	도시/NNG+에서/JKB
2만여	2/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
응시했다.	응시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.181.5.3
현대차는 2013년 하반기 공채부터 역사 에세이 문제를 내왔는데, 이번에 처음으로 한국 근현대사와 관련된 문제가 나온 것이다.

현대차는	현대차/NNP+는/JX
2013년	2013/SN+년/NNB
하반기	하반기/NNG
공채부터	공채/NNG+부터/JX
역사	역사/NNG
에세이	에세이/NNG
문제를	문제/NNG+를/JKO
내왔는데,	내오/VV+았/EP+는데/EC+,/SP
이번에	이번/NNG+에/JKB
처음으로	처음/NNG+으로/JKB
한국	한국/NNP
근현대사와	근현대사/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
문제가	문제/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.181.6.1
올 4월 상반기 공채 때는 '현대차그룹의 핵심 가치를 찾아볼 수 있는 역사적 사건을 설명하고 핵심 가치 두 가지 이상과 연관지어 서술하라' '콜럼버스의 신대륙 발견은 미국 탄생의 토대라는 긍정적 부분도 있지만 약탈·노예 문제와 같은 부정적 부분도 있었다.

올	올/NNG
4월	4/SN+월/NNB
상반기	상반기/NNG
공채	공채/NNG
때는	때/NNG+는/JX
'현대차그룹의	'/SS+현대차그룹/NNP+의/JKG
핵심	핵심/NNG
가치를	가치/NNG+를/JKO
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
역사적	역사/NNG+적/XSN
사건을	사건/NNG+을/JKO
설명하고	설명/NNG+하/XSV+고/EC
가치	가치/NNG
두	두/MMN
가지	가지/NNB
이상과	이상/NNG+과/JKB
연관지어	연관/NNG+짓/VV+어/EC
서술하라'	서술/NNG+하/XSV+라/EF+'/SS
'콜럼버스의	'/SS+콜럼버스/NNP+의/JKG
신대륙	신/XPN+대륙/NNG
발견은	발견/NNG+은/JX
미국	미국/NNP
탄생의	탄생/NNG+의/JKG
토대라는	토대/NNG+이/VCP+라는/ETM
긍정적	긍정/NNG+적/XSN
부분도	부분/NNG+도/JX
있지만	있/VA+지만/EC
약탈·노예	약탈/NNG+·/SP+노예/NNG
문제와	문제/NNG+와/JKB
같은	같/VA+은/ETM
부정적	부정/NNG+적/XSN
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.181.6.2
이를 평가하라' 등이 출제됐다.

이를	이/NP+를/JKO
평가하라'	평가/NNG+하/XSV+라/EF+'/SS
