# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.377
metadata : {}


# id : NWRW1800000032.377.1.1
‘6·15 정상회담 주역’ 임동원 전 장관 인터뷰 “핵심은 적대적 대북정책…대표단 잘못 따질 일 아니다”

‘6·15	‘/SS+6/SN+·/SP+15/SN
정상회담	정상/NNG+회담/NNG
주역’	주역/NNG+’/SS
임동원	임동원/NNP
전	전/MMD
장관	장관/NNG
인터뷰	인터뷰/NNG
“핵심은	“/SS+핵심/NNG+은/JX
적대적	적대/NNG+적/XSN
대북정책…대표단	대북/NNG+정책/NNG+…/SE+대표단/NNG
잘못	잘못/NNG
따질	따지/VV+ㄹ/ETM
일	일/NNG
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000032.377.2.1
정권말기 급하게 정상회담 추진 잘될리 있나

정권말기	정권/NNG+말기/NNG
급하게	급하/VA+게/EC
정상회담	정상/NNG+회담/NNG
추진	추진/NNG
잘될리	잘/MAG+되/XSV+ㄹ/ETM+리/NNB
있나	있/VA+나/EF


# id : NWRW1800000032.377.3.1
인도적 지원 재개해야 북도 진정성 믿어줄것

인도적	인도/NNG+적/XSN
지원	지원/NNG
재개해야	재개/NNG+하/XSV+아야/EC
북도	북/NNP+도/JX
진정성	진정/NNG+성/XSN
믿어줄것	믿/VV+어/EC+주/VX+ㄹ/ETM+것/NNB


# id : NWRW1800000032.377.4.1
2000년 1차 남북정상회담의 산파역을 했던 임동원(사진) 전 통일부 장관은 2일 북한의 남북 비밀접촉 전격 공개와 관련해 “정부의 대북 적대시 정책이 낳은 사건”이라고 말했다.

2000년	2000/SN+년/NNB
1차	1/SN+차/NNB
남북정상회담의	남북/NNP+정상/NNG+회담/NNG+의/JKG
산파역을	산파역/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
임동원(사진)	임동원/NNP+(/SS+사진/NNG+)/SS
전	전/MMD
통일부	통일부/NNG
장관은	장관/NNG+은/JX
2일	2/SN+일/NNB
북한의	북한/NNP+의/JKG
남북	남북/NNP
비밀접촉	비밀/NNG+접촉/NNG
전격	전격/NNG
공개와	공개/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“정부의	“/SS+정부/NNG+의/JKG
대북	대북/NNG
적대시	적대/NNG+시/XSN
정책이	정책/NNG+이/JKS
낳은	낳/VV+은/ETM
사건”이라고	사건/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.377.4.2
국민의 정부 시절 대북정책을 총괄했던 임 전 장관은 이날 와 한 전화인터뷰에서 “이번 사건이 비밀접촉 과정의 실무적 실수나 미숙함 때문에 벌어진 일이라고 생각하지 않는다”며 “정부의 대북정책이 바뀌지 않으면 남북관계 회복은 어려울 것”이라고 전망했다.

국민의	국민/NNG+의/JKG
정부	정부/NNG
시절	시절/NNG
대북정책을	대북/NNG+정책/NNG+을/JKO
총괄했던	총괄/NNG+하/XSV+았/EP+던/ETM
임	임/NNP
전	전/MMD
장관은	장관/NNG+은/JX
이날	이날/NNG
와	와/JKB
한	한/MMN
전화인터뷰에서	전화/NNG+인터뷰/NNG+에서/JKB
“이번	“/SS+이번/NNG
사건이	사건/NNG+이/JKS
비밀접촉	비밀/NNG+접촉/NNG
과정의	과정/NNG+의/JKG
실무적	실무/NNG+적/XSN
실수나	실수/NNG+나/JC
미숙함	미숙/NNG+하/XSA+ㅁ/ETN
때문에	때문/NNB+에/JKB
벌어진	벌어지/VV+ㄴ/ETM
일이라고	일/NNG+이/VCP+라고/EC
생각하지	생각/NNG+하/XSV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“정부의	“/SS+정부/NNG+의/JKG
대북정책이	대북/NNG+정책/NNG+이/JKS
바뀌지	바뀌/VV+지/EC
않으면	않/VX+으면/EC
남북관계	남북/NNP+관계/NNG
회복은	회복/NNG+은/JX
어려울	어렵/VA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.377.4.3
임 전 장관은 “북한이 남쪽의 적대정책이 변하지 않은 상황에서 남북 정상회담을 해봐야 무슨 소용이 있겠느냐고 판단한 것”이라고 분석했다.

임	임/NNP
전	전/MMD
장관은	장관/NNG+은/JX
“북한이	“/SS+북한/NNP+이/JKS
남쪽의	남쪽/NNG+의/JKG
적대정책이	적대/NNG+정책/NNG+이/JKS
변하지	변하/VV+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
남북	남북/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
해봐야	하/VV+아/EC+보/VX+아야/EC
무슨	무슨/MMD
소용이	소용/NNG+이/JKS
있겠느냐고	있/VA+겠/EP+느냐고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.377.5.1
-어디서부터 잘못된 것인가?

-어디서부터	-/SO+어디/NP+서부터/JKB
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
것인가?	것/NNB+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000032.377.6.1
“정부의 대북정책이 애초 잘못됐다.

“정부의	“/SS+정부/NNG+의/JKG
대북정책이	대북/NNG+정책/NNG+이/JKS
애초	애초/NNG
잘못됐다.	잘못/MAG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.377.6.2
정부는 북한의 핵 태도 변화, 천안함·연평도 사건 사과 등 몇 가지 원칙을 내걸었다.

정부는	정부/NNG+는/JX
북한의	북한/NNP+의/JKG
핵	핵/NNG
태도	태도/NNG
변화,	변화/NNG+,/SP
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건	사건/NNG
사과	사과/NNG
등	등/NNB
몇	몇/NR
가지	가지/NNB
원칙을	원칙/NNG+을/JKO
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.377.6.3
그리고 남북교류를 중단시켰다.

그리고	그리고/MAJ
남북교류를	남북/NNP+교류/NNG+를/JKO
중단시켰다.	중단/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.377.6.4
이제 와서 내년 정권 말기 총선·대선을 앞두고 급하게 정상회담을 하려고 하니 잘되겠는가?

이제	이제/MAG
와서	오/VV+아서/EC
내년	내년/NNG
정권	정권/NNG
말기	말기/NNG
총선·대선을	총선/NNG+·/SP+대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
급하게	급하/VA+게/EC
정상회담을	정상/NNG+회담/NNG+을/JKO
하려고	하/VV+려고/EC
하니	하/VX+니/EC
잘되겠는가?	잘/MAG+되/XSV+겠/EP+는가/EF+?/SF


# id : NWRW1800000032.377.6.5
접근 방법도 잘못됐고, 진정성도 없다고 북이 생각했을 것이다.”

접근	접근/NNG
방법도	방법/NNG+도/JX
잘못됐고,	잘못/MAG+되/XSV+었/EP+고/EC+,/SP
진정성도	진정/NNG+성/XSN+도/JX
없다고	없/VA+다고/EC
북이	북/NNP+이/JKS
생각했을	생각/NNG+하/XSV+았/EP+을/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000032.377.7.1
-그럼 어떻게 해야 했나?

-그럼	-/SO+그럼/MAJ
어떻게	어떻/VA+게/EC
해야	하/VV+아야/EC
했나?	하/VX+았/EP+나/EF+?/SF


# id : NWRW1800000032.377.8.1
“정상회담 개최 자체가 중요한 것이 아니다.

“정상회담	“/SS+정상/NNG+회담/NNG
개최	개최/NNG
자체가	자체/NNG+가/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000032.377.8.2
정상회담을 해서 무엇을 논의하고 해결할 것인가, 이런 본질적인 내용이 중요한 것이다.

정상회담을	정상/NNG+회담/NNG+을/JKO
해서	하/VV+아서/EC
무엇을	무엇/NP+을/JKO
논의하고	논의/NNG+하/XSV+고/EC
해결할	해결/NNG+하/XSV+ㄹ/ETM
것인가,	것/NNB+이/VCP+ㄴ가/EF+,/SP
이런	이런/MMD
본질적인	본질/NNG+적/XSN+이/VCP+ㄴ/ETM
내용이	내용/NNG+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.377.8.3
상대를 붕괴시키겠다고 하면서 정상회담을 해봐야 무슨 소용이 있겠는가.”

상대를	상대/NNG+를/JKO
붕괴시키겠다고	붕괴/NNG+시키/XSV+겠/EP+다고/EC
하면서	하/VV+면서/EC
정상회담을	정상/NNG+회담/NNG+을/JKO
해봐야	하/VV+아/EC+보/VX+아야/EC
무슨	무슨/MMD
소용이	소용/NNG+이/JKS
있겠는가.”	있/VA+겠/EP+는가/EF+./SF+”/SS


# id : NWRW1800000032.377.9.1
-어떻게 풀어야 하나?

-어떻게	-/SO+어떻/VA+게/EC
풀어야	풀/VV+어야/EC
하나?	하/VX+나/EF+?/SF


# id : NWRW1800000032.377.10.1
“인도적 지원도 하고 금강산 관광도 재개하고 중단됐던 남북 왕래를 다시 해야 한다.

“인도적	“/SS+인도/NNG+적/XSN
지원도	지원/NNG+도/JX
하고	하/VV+고/EC
금강산	금강산/NNP
관광도	관광/NNG+도/JX
재개하고	재개/NNG+하/XSV+고/EC
중단됐던	중단/NNG+되/XSV+었/EP+던/ETM
남북	남북/NNP
왕래를	왕래/NNG+를/JKO
다시	다시/MAG
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.377.10.2
5·24 조처 이후 모든 게 중단되지 않았나.

5·24	5/SN+·/SP+24/SN
조처	조처/NNG
이후	이후/NNG
모든	모든/MMN
게	거/NNB+이/JKS
중단되지	중단/NNG+되/XSV+지/EC
않았나.	않/VX+았/EP+나/EF+./SF


# id : NWRW1800000032.377.10.3
이렇게 해나가야 북쪽에서도 ‘남쪽이 진정성이 있구나’라고 생각할 것이다.

이렇게	이렇/VA+게/EC
해나가야	하/VV+아/EC+나가/VX+아야/EC
북쪽에서도	북쪽/NNG+에서/JKB+도/JX
‘남쪽이	‘/SS+남쪽/NNG+이/JKS
진정성이	진정/NNG+성/XSN+이/JKS
있구나’라고	있/VA+구나/EF+’/SS+라고/JKQ
생각할	생각/NNG+하/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.377.10.4
정부의 조건 중 핵 문제는 남북이 논의해서 결론을 낼 수 있는 게 아니다.

정부의	정부/NNG+의/JKG
조건	조건/NNG
중	중/NNB
핵	핵/NNG
문제는	문제/NNG+는/JX
남북이	남북/NNP+이/JKS
논의해서	논의/NNG+하/XSV+아서/EC
결론을	결론/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000032.377.10.5
그리고 천안함 사건은 북이 ‘우리가 한 게 아니다’라고 말하고 있어서 어떻게 하기 어렵지만, 연평도 사건은 북한도 민간인 피격에 대해 유감을 밝히지 않았느냐.

그리고	그리고/MAJ
