# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.396
metadata : {}


# id : NWRW1800000037.396.1.1
[수도권]화동고갯길 공사장서 유물 발견

[수도권]화동고갯길	[/SS+수도/NNG+권/XSN+]/SS+화동고갯길/NNP
공사장서	공사장/NNG+서/JKB
유물	유물/NNG
발견	발견/NNG


# id : NWRW1800000037.396.2.1
문화유적지도 ‘김옥균 집터’ 표시 지역 대형 화장실-관광안내소 신축 진행… 주민-시민단체 “공사 백지화해야”

문화유적지도	문화/NNG+유적/NNG+지도/NNG
‘김옥균	‘/SS+김옥균/NNP
집터’	집터/NNG+’/SS
표시	표시/NNG
지역	지역/NNG
대형	대형/NNG
화장실-관광안내소	화장실/NNG+-/SO+관광/NNG+안내소/NNG
신축	신축/NNG
진행…	진행/NNG+…/SE
주민-시민단체	주민/NNG+-/SO+시민/NNG+단체/NNG
“공사	“/SS+공사/NNG
백지화해야”	백지/NNG+화/XSN+하/XSV+아야/EC+”/SS


# id : NWRW1800000037.396.3.1
서울 종로구가 외국인 관광객을 위해 북촌 화동고갯길에 짓고 있는 관광안내소 공사 현장에서 유물과 집터가 발견돼 공사가 중단됐다.

서울	서울/NNP
종로구가	종로구/NNP+가/JKS
외국인	외국인/NNG
관광객을	관광객/NNG+을/JKO
위해	위하/VV+아/EC
북촌	북촌/NNP
화동고갯길에	화동고갯길/NNP+에/JKB
짓고	짓/VV+고/EC
있는	있/VX+는/ETM
관광안내소	관광/NNG+안내소/NNG
공사	공사/NNG
현장에서	현장/NNG+에서/JKB
유물과	유물/NNG+과/JC
집터가	집터/NNG+가/JKS
발견돼	발견/NNG+되/XSV+어/EC
공사가	공사/NNG+가/JKS
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.396.3.2
종로구청은 절차를 밟아 전면적인 발굴 조사에 들어갈 계획이다.

종로구청은	종로구청/NNP+은/JX
절차를	절차/NNG+를/JKO
밟아	밟/VV+아/EC
