# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.262
metadata : {}


# id : NWRW1800000029.262.1.1
맨유, 선수 관리시스템 철저 “산소탱크 3,4년은 건재할 것”

맨유,	맨유/NNP+,/SP
선수	선수/NNG
관리시스템	관리/NNG+시스템/NNG
철저	철저/NNG
“산소탱크	“/SS+산소/NNG+탱크/NNG
3,4년은	3/SN+,/SP+4/SN+년/NNB+은/JX
건재할	건재/NNG+하/XSA+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000029.262.2.1
■ EPL서 얼마나 더 뛸 수 있을까

■	■/SW
EPL서	EPL/SL+서/JKB
얼마나	얼마나/MAG
더	더/MAG
뛸	뛰/VV+ㄹ/ETM
수	수/NNB
있을까	있/VA+을까/EF


# id : NWRW1800000029.262.3.1
한국 축구대표팀 주치의인 송준섭 유나이티드병원 원장(42)은 2009년 11월 잉글랜드 프리미어리그 맨체스터 유나이티드를 방문해 ‘이런 게 선진 축구구나’를 실감했다.

한국	한국/NNP
축구대표팀	축구/NNG+대표/NNG+팀/NNG
주치의인	주치의/NNG+이/VCP+ㄴ/ETM
송준섭	송준섭/NNP
유나이티드병원	유나이티드병원/NNP
원장(42)은	원장/NNG+(/SS+42/SN+)/SS+은/JX
2009년	2009/SN+년/NNB
11월	11/SN+월/NNB
잉글랜드	잉글랜드/NNP
프리미어리그	프리미어리그/NNG
맨체스터	맨체스터/NNP
유나이티드를	유나이티드/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
‘이런	‘/SS+이런/MMD
게	거/NNB+이/JKS
선진	선진/NNG
축구구나’를	축구/NNG+이/VCP+구나/EF+’/SS+를/JKO
실감했다.	실감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.262.3.2
당시 박지성이 자주 출전하지 못한 데 대해 국내에서는 ‘주전 경쟁에서 밀렸다’는 등 설이 많았다.

당시	당시/NNG
박지성이	박지성/NNP+이/JKS
자주	자주/MAG
출전하지	출전/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
국내에서는	국내/NNG+에서/JKB+는/JX
‘주전	‘/SS+주전/NNG
경쟁에서	경쟁/NNG+에서/JKB
밀렸다’는	밀리/VV+었/EP+다/EF+’/SS+는/ETM
등	등/NNB
설이	설/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.262.3.3
그러나 선수의 현재 컨디션과 향후 선수 생명까지 감안해 철저히 출전 경기 수를 계산한 결과였던 것이다.

그러나	그러나/MAJ
선수의	선수/NNG+의/JKG
현재	현재/MAG
컨디션과	컨디션/NNG+과/JC
향후	향후/NNG
선수	선수/NNG
생명까지	생명/NNG+까지/JX
감안해	감안/NNG+하/XSV+아/EC
철저히	철저히/MAG
출전	출전/NNG
경기	경기/NNG
수를	수/NNG+를/JKO
계산한	계산/NNG+하/XSV+ㄴ/ETM
