# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.360
metadata : {}


# id : NWRW1800000029.360.1.1
“영관급 장교 4명 北-中국경서 1999년 북한에 체포-납치됐다”

“영관급	“/SS+영관급/NNG
장교	장교/NNG
4명	4/SN+명/NNB
北-中국경서	北/SH+-/SO+中/SH+국경/NNG+서/JKB
1999년	1999/SN+년/NNB
북한에	북한/NNP+에/JKB
체포-납치됐다”	체포/NNG+-/SO+납치/NNG+되/XSV+었/EP+다/EF+”/SS


# id : NWRW1800000029.360.2.1
‘흑금성’ 공판서 前기자 증언

‘흑금성’	‘/SS+흑금성/NNP+’/SS
공판서	공판/NNG+서/JKB
前기자	前/SH+기자/NNG
증언	증언/NNG


# id : NWRW1800000029.360.3.1
국군 영관급 장교 4명이 1차 연평해전이 있었던 1999년 북한에 납치됐다는 법정 증언이 나왔다.

국군	국군/NNG
영관급	영관급/NNG
장교	장교/NNG
4명이	4/SN+명/NNB+이/JKS
1차	1/SN+차/NNB
연평해전이	연평/NNP+해전/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
1999년	1999/SN+년/NNB
북한에	북한/NNP+에/JKB
납치됐다는	납치/NNG+되/XSV+었/EP+다는/ETM
법정	법정/NNG
증언이	증언/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.360.4.1
20일 서울고법에 따르면 전날 형사2부(부장판사 김용섭) 심리로 열린 ‘흑금성’ 박채서 씨(57) 공판에 증인으로 나온 전직 일간지 북한전문기자 정모 씨가 이 같은 내용을 공개했다.

20일	20/SN+일/NNB
서울고법에	서울고법/NNP+에/JKB
따르면	따르/VV+면/EC
전날	전날/NNG
형사2부(부장판사	형사/NNG+2/SN+부/NNG+(/SS+부장/NNG+판사/NNG
김용섭)	김용섭/NNP+)/SS
심리로	심리/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
‘흑금성’	‘/SS+흑금성/NNP+’/SS
박채서	박채서/NNP
씨(57)	씨/NNB+(/SS+57/SN+)/SS
공판에	공판/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
나온	나오/VV+ㄴ/ETM
전직	전직/NNG
일간지	일간지/NNG
북한전문기자	북한/NNP+전문/NNG+기자/NNG
정모	정/NNP+모/NP
씨가	씨/NNB+가/JKS
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.360.4.2
정 씨는 “합동참모본부 중령이 1999년 중국 국경에서 납치됐고, 이모 대령이 북한에 체포됐으며 또 다른 이모 대령과 박모 대령이 북한에 납치·체포된 사실을 알고 있느냐”는 변호인의 질문에 “그렇다”고 답변했다.

정	정/NNP
씨는	씨/NNB+는/JX
“합동참모본부	“/SS+합동/NNG+참모/NNG+본부/NNG
중령이	중령/NNG+이/JKS
1999년	1999/SN+년/NNB
중국	중국/NNP
국경에서	국경/NNG+에서/JKB
납치됐고,	납치/NNG+되/XSV+었/EP+고/EC+,/SP
이모	이/NNP+모/NP
대령이	대령/NNG+이/JKS
북한에	북한/NNP+에/JKB
체포됐으며	체포/NNG+되/XSV+었/EP+으며/EC
또	또/MAG
다른	다른/MMD
대령과	대령/NNG+과/JC
박모	박/NNP+모/NP
납치·체포된	납치/NNG+·/SP+체포/NNG+되/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
