# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.203
metadata : {}


# id : NWRW1800000049.203.1.1
“수시적성검사 강화, 운전 부적격자 걸러내야”

“수시적성검사	“/SS+수시/NNG+적성/NNG+검사/NNG
강화,	강화/NNG+,/SP
운전	운전/NNG
부적격자	부/XPN+적격자/NNG
걸러내야”	거르/VV+어/EC+내/VX+어야/EC+”/SS


# id : NWRW1800000049.203.2.1
‘해운대 17명 사상’ 교통사고 운전자는 뇌전증 환자 7월 정기적성검사서 통과돼… 병원 “약 복용 안하면 의식 잃을 수도” 운전자 “사고 기억안나”… 원인 가능성

‘해운대	‘/SS+해운대/NNP
17명	17/SN+명/NNB
사상’	사상/NNG+’/SS
교통사고	교통사고/NNG
운전자는	운전자/NNG+는/JX
뇌전증	뇌전증/NNG
환자	환자/NNG
7월	7/SN+월/NNB
정기적성검사서	정기/NNG+적성/NNG+검사/NNG+서/JKB
통과돼…	통과/NNG+되/XSV+어/EF+…/SE
병원	병원/NNG
“약	“/SS+약/NNG
복용	복용/NNG
안하면	안/MAG+하/VV+면/EC
의식	의식/NNG
잃을	잃/VV+을/ETM
수도”	수/NNB+도/JX+”/SS
운전자	운전자/NNG
“사고	“/SS+사고/NNG
기억안나”…	기억/NNG+안/MAG+나/VV+아/EF+”/SS+…/SE
원인	원인/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000049.203.3.1
지난달 31일 17명의 사상자가 발생한 부산 해운대 교통사고의 가해 차량 운전자 김모 씨(53)가 뇌질환의 일종인 뇌전증을 앓고 있는 것으로 확인됐다.

지난달	지난달/NNG
31일	31/SN+일/NNB
17명의	17/SN+명/NNB+의/JKG
사상자가	사상자/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
부산	부산/NNP
해운대	해운대/NNP
교통사고의	교통사고/NNG+의/JKG
가해	가해/NNG
차량	차량/NNG
운전자	운전자/NNG
김모	김/NNP+모/NP
씨(53)가	씨/NNB+(/SS+53/SN+)/SS+가/JKS
뇌질환의	뇌/NNG+질환/NNG+의/JKG
일종인	일종/NNG+이/VCP+ㄴ/ETM
뇌전증을	뇌전증/NNG+을/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.203.3.2
뇌전증은 과거 간질로 불리던 질병이다.

뇌전증은	뇌전증/NNG+은/JX
과거	과거/NNG
간질로	간질/NNG+로/JKB
불리던	불리/VV+던/ETM
질병이다.	질병/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.203.3.3
순간적으로 의식을 잃거나 발작을 일으킬 수 있다.

순간적으로	순간/NNG+적/XSN+으로/JKB
의식을	의식/NNG+을/JKO
잃거나	잃/VV+거나/EC
발작을	발작/NNG+을/JKO
일으킬	일으키/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.203.3.4
경찰은 김 씨의 질병이 사고의 원인일 가능성을 높게 보고 있다.

경찰은	경찰/NNG+은/JX
김	김/NNP
씨의	씨/NNB+의/JKG
질병이	질병/NNG+이/JKS
사고의	사고/NNG+의/JKG
원인일	원인/NNG+이/VCP+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
높게	높/VA+게/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.203.4.1
1일 경찰에 따르면 김 씨는 지난해 9월 울산의 한 병원에서 뇌전증 진단을 받았다.

1일	1/SN+일/NNB
경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
김	김/NNP
씨는	씨/NNB+는/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
울산의	울산/NNP+의/JKG
한	한/MMN
병원에서	병원/NNG+에서/JKB
뇌전증	뇌전증/NNG
진단을	진단/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.203.4.2
경찰은 “병원 측에 확인한 결과 김 씨는 지난해 11월부터 매일 두 차례씩 뇌전증 치료약을 복용 중이었다”라고 밝혔다.

경찰은	경찰/NNG+은/JX
“병원	“/SS+병원/NNG
측에	측/NNB+에/JKB
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
김	김/NNP
씨는	씨/NNB+는/JX
지난해	지난해/NNG
11월부터	11/SN+월/NNB+부터/JX
매일	매일/MAG
두	두/MMN
차례씩	차례/NNG+씩/XSN
뇌전증	뇌전증/NNG
치료약을	치료/NNG+약/NNG+을/JKO
복용	복용/NNG
중이었다”라고	중/NNB+이/VCP+었/EP+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.203.4.3
병원 측은 “김 씨의 경우 하루라도 약을 복용하지 않으면 순간적으로 의식을 잃을 수 있다”라는 소견을 경찰에 밝혔다.

병원	병원/NNG
측은	측/NNB+은/JX
“김	“/SS+김/NNP
씨의	씨/NNB+의/JKG
경우	경우/NNG
하루라도	하루/NNG+이/VCP+라도/EC
약을	약/NNG+을/JKO
복용하지	복용/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
순간적으로	순간/NNG+적/XSN+으로/JKB
의식을	의식/NNG+을/JKO
잃을	잃/VV+을/ETM
수	수/NNB
있다”라는	있/VA+다/EF+”/SS+이/VCP+라는/ETM
소견을	소견/NNG+을/JKO
경찰에	경찰/NNG+에/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.203.4.4
사고 직후 김 씨는 “사고 순간이 기억나지 않고, 오늘(사고 발생일) 뇌질환 약을 먹지 않았다”라고 경찰에 진술했다.

사고	사고/NNG
직후	직후/NNG
김	김/NNP
씨는	씨/NNB+는/JX
“사고	“/SS+사고/NNG
순간이	순간/NNG+이/JKS
기억나지	기억나/VV+지/EC
않고,	않/VX+고/EC+,/SP
오늘(사고	오늘/MAG+(/SS+사고/NNG
발생일)	발생일/NNG+)/SS
뇌질환	뇌/NNG+질환/NNG
약을	약/NNG+을/JKO
먹지	먹/VV+지/EC
않았다”라고	않/VX+았/EP+다/EF+”/SS+라고/JKQ
