# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.11
metadata : {}


# id : NWRW1800000046.11.1.1
'反긴축' 그리스 새 정부, 公기업 민영화 중단

'反긴축'	'/SS+反/SH+긴축/NNG+'/SS
그리스	그리스/NNP
새	새/MMA
정부,	정부/NNG+,/SP
公기업	公/SH+기업/NNG
민영화	민영/NNG+화/XSN
중단	중단/NNG


# id : NWRW1800000046.11.2.1
최저임금도 인상은행株 44% 폭락 등 금융시장 불안감 커져

최저임금도	최저/NNG+임금/NNG+도/JX
인상은행株	인상/NNG+은행/NNG+株/SH
44%	44/SN+%/SW
폭락	폭락/NNG
등	등/NNB
금융시장	금융/NNG+시장/NNG
불안감	불안감/NNG
커져	커지/VV+어/EF


# id : NWRW1800000046.11.3.1
알렉시스 치프라스(41) 그리스 신임 총리가 28일 첫 내각 회의에서 공기업 민영화 중단과 최저 임금 인상 등 반(反)긴축정책을 본격화하자 주식시장이 폭락하는 등 그리스 경제가 혼돈으로 빠져들고 있다.

알렉시스	알렉시스/NNP
치프라스(41)	치프라스/NNP+(/SS+41/SN+)/SS
그리스	그리스/NNP
신임	신임/NNG
총리가	총리/NNG+가/JKS
28일	28/SN+일/NNB
첫	첫/MMN
내각	내각/NNG
회의에서	회의/NNG+에서/JKB
공기업	공기업/NNG
민영화	민영/NNG+화/XSN
중단과	중단/NNG+과/JC
최저	최저/NNG
임금	임금/NNG
인상	인상/NNG
등	등/NNB
반(反)긴축정책을	반/XPN+(/SS+反/SH+)/SS+긴축/NNG+정책/NNG+을/JKO
본격화하자	본격/NNG+화/XSN+하/XSV+자/EC
주식시장이	주식/NNG+시장/NNG+이/JKS
폭락하는	폭락/NNG+하/XSV+는/ETM
경제가	경제/NNG+가/JKS
혼돈으로	혼돈/NNG+으로/JKB
빠져들고	빠져들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.11.4.1
그리스는 2010·2012년 유럽연합(EU)과 유럽중앙은행(ECB) 등 국제 채권단으로부터 2400억유로(약 296조원)의 구제금융을 받는 대가로 최저임금을 22% 삭감하고 공기업 자산을 매각하는 등 긴축정책을 추진해 왔다.

그리스는	그리스/NNP+는/JX
2010·2012년	2010/SN+·/SP+2012/SN+년/NNB
유럽연합(EU)과	유럽연합/NNP+(/SS+EU/SL+)/SS+과/JC
유럽중앙은행(ECB)	유럽중앙은행/NNP+(/SS+ECB/SL+)/SS
등	등/NNB
국제	국제/NNG
채권단으로부터	채권단/NNG+으로부터/JKB
2400억유로(약	2400/SN+억/NR+유로/NNB+(/SS+약/MMA
296조원)의	296/SN+조/NR+원/NNB+)/SS+의/JKG
구제금융을	구제/NNG+금융/NNG+을/JKO
받는	받/VV+는/ETM
대가로	대가/NNG+로/JKB
최저임금을	최저/NNG+임금/NNG+을/JKO
22%	22/SN+%/SW
삭감하고	삭감/NNG+하/XSV+고/EC
공기업	공기업/NNG
자산을	자산/NNG+을/JKO
매각하는	매각/NNG+하/XSV+는/ETM
긴축정책을	긴축/NNG+정책/NNG+을/JKO
추진해	추진/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.11.4.2
하지만 치프라스 정부는 이날 최저임금을 10% 인상하고, 전력공사(PPC) 등의 민영화 작업을 즉각 중단하겠다고 발표했다.

하지만	하지만/MAJ
치프라스	치프라스/NNP
정부는	정부/NNG+는/JX
이날	이날/NNG
최저임금을	최저/NNG+임금/NNG+을/JKO
10%	10/SN+%/SW
인상하고,	인상/NNG+하/XSV+고/EC+,/SP
전력공사(PPC)	전력/NNG+공사/NNG+(/SS+PPC/SL+)/SS
등의	등/NNB+의/JKG
민영화	민영/NNG+화/XSN
작업을	작업/NNG+을/JKO
즉각	즉각/MAG
중단하겠다고	중단/NNG+하/XSV+겠/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.11.5.1
치프라스 정부의 반긴축 계획이 발표된 28일 그리스 주가는 하루 동안 9% 폭락하며 2012년 이후 최저치를 기록했다.

치프라스	치프라스/NNP
정부의	정부/NNG+의/JKG
반긴축	반/XPN+긴축/NNG
계획이	계획/NNG+이/JKS
발표된	발표/NNG+되/XSV+ㄴ/ETM
28일	28/SN+일/NNB
그리스	그리스/NNP
주가는	주가/NNG+는/JX
하루	하루/NNG
동안	동안/NNG
9%	9/SN+%/SW
폭락하며	폭락/NNG+하/XSV+며/EC
2012년	2012/SN+년/NNB
이후	이후/NNG
최저치를	최저/NNG+치/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.11.5.2
특히 은행주(株)는 치프라스 집권 후 사흘 동안 44%나 떨어졌다.

특히	특히/MAG
은행주(株)는	은행주/NNG+(/SS+株/SH+)/SS+는/JX
치프라스	치프라스/NNP
집권	집권/NNG
후	후/NNG
사흘	사흘/NNG
동안	동안/NNG
44%나	44/SN+%/SW+나/JX
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.11.5.3
또 28일 그리스의 10년 만기 국채 금리도 0.86% 상승하며 10.34%를 기록했다.

또	또/MAG
28일	28/SN+일/NNB
그리스의	그리스/NNP+의/JKG
10년	10/SN+년/NNB
만기	만기/NNG
국채	국채/NNG
금리도	금리/NNG+도/JX
0.86%	0/SN+./SP+86/SN+%/SW
상승하며	상승/NNG+하/XSV+며/EC
10.34%를	10/SN+./SP+34/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.11.6.1
금융시장 불안에도 치프라스는 "비현실적인 재정 흑자는 불가능하고, 그리스 개혁은 부채 감소가 아닌 성장을 위한 투자"라며 긴축정책 폐기를 재확인했다.

금융시장	금융/NNG+시장/NNG
불안에도	불안/NNG+에/JKB+도/JX
치프라스는	치프라스/NNP+는/JX
"비현실적인	"/SS+비/XPN+현실/NNG+적/XSN+이/VCP+ㄴ/ETM
재정	재정/NNG
흑자는	흑자/NNG+는/JX
불가능하고,	불/XPN+가능/NNG+하/XSA+고/EC+,/SP
그리스	그리스/NNP
개혁은	개혁/NNG+은/JX
부채	부채/NNG
감소가	감소/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
성장을	성장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투자"라며	투자/NNG+"/SS+이/VCP+라며/EC
긴축정책	긴축/NNG+정책/NNG
폐기를	폐기/NNG+를/JKO
재확인했다.	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.11.6.2
반면 독일과 프랑스는 그리스의 채무 조정에 반대한다는 입장을 발표했다.

반면	반면/NNG
독일과	독일/NNP+과/JC
프랑스는	프랑스/NNP+는/JX
그리스의	그리스/NNP+의/JKG
채무	채무/NNG
조정에	조정/NNG+에/JKB
반대한다는	반대/NNG+하/XSV+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.11.6.3
다만 지그마르 가브리엘 독일 경제장관이 "대규모 빚 탕감은 불가능하다"고 말해 어느 정도 협상의 여지는 남겨 뒀다.

다만	다만/MAG
지그마르	지그마르/NNP
가브리엘	가브리엘/NNP
독일	독일/NNP
경제장관이	경제/NNG+장관/NNG+이/JKS
"대규모	"/SS+대/XPN+규모/NNG
빚	빚/NNG
탕감은	탕감/NNG+은/JX
불가능하다"고	불/XPN+가능/NNG+하/XSA+다/EF+"/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
어느	어느/MMD
정도	정도/NNG
협상의	협상/NNG+의/JKG
여지는	여지/NNB+는/JX
남겨	남기/VV+어/EC
뒀다.	두/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.11.7.1
투자자 불안감도 커지고 있다.

투자자	투자자/NNG
불안감도	불안감/NNG+도/JX
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.11.7.2
신용 평가사 무디스는 지난 두 달 동안 그리스 민간 은행 예금이 80억유로(약 10조원) 감소했다며 뱅크런(대규모 예금 인출) 가능성을 시사했다.

신용	신용/NNG
평가사	평가사/NNG
무디스는	무디스/NNP+는/JX
지난	지나/VV+ㄴ/ETM
두	두/MMN
달	달/NNB
동안	동안/NNG
그리스	그리스/NNP
민간	민간/NNG
은행	은행/NNG
예금이	예금/NNG+이/JKS
80억유로(약	80/SN+억/NR+유로/NNB+(/SS+약/MMA
10조원)	10/SN+조/NR+원/NNB+)/SS
감소했다며	감소/NNG+하/XSV+았/EP+다며/EC
뱅크런(대규모	뱅크/NNG+런/NNG+(/SS+대/XPN+규모/NNG
예금	예금/NNG
인출)	인출/NNG+)/SS
가능성을	가능/NNG+성/XSN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.11.7.3
알러트 갈로 RBS 유럽 신용전략 부문 대표는 "그리스의 반긴축정책은 마치 핵폭탄 같은 충격이 될 것"이라고 말했다.

알러트	알러트/NNP
갈로	갈로/NNP
RBS	RBS/SL
유럽	유럽/NNP
신용전략	신용/NNG+전략/NNG
부문	부문/NNG
대표는	대표/NNG+는/JX
"그리스의	"/SS+그리스/NNP+의/JKG
반긴축정책은	반/XPN+긴축/NNG+정책/NNG+은/JX
마치	마치/MAG
핵폭탄	핵폭탄/NNG
같은	같/VA+은/ETM
충격이	충격/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


