# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.86
metadata : {}


# id : NWRW1800000044.86.1.1
“북한 오판 대비해 미·중 긴밀 소통 필요”

“북한	“/SS+북한/NNP
오판	오판/NNG
대비해	대비/NNG+하/XSV+아/EC
미·중	미/NNP+·/SP+중/NNP
긴밀	긴밀/XR
소통	소통/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000044.86.2.1
[한겨레] 미 국방패널 ‘QDR 평가서’서 제시

[한겨레]	[/SS+한겨레/NNP+]/SS
미	미/NNP
국방패널	국방/NNG+패널/NNG
‘QDR	‘/SS+QDR/SL
평가서’서	평가서/NNG+’/SS+서/JKB
제시	제시/NNG


# id : NWRW1800000044.86.3.1
북은 핵무기·탄도미사일 개발 집중

북은	북/NNP+은/JX
핵무기·탄도미사일	핵무기/NNG+·/SP+탄도/NNG+미사일/NNG
개발	개발/NNG
집중	집중/NNG


# id : NWRW1800000044.86.4.1
한반도 비상때 미 지상군 신속 전개

한반도	한반도/NNP
비상때	비상/NNG+때/NNG
미	미/NNP
지상군	지상군/NNG
신속	신속/NNG
전개	전개/NNG


# id : NWRW1800000044.86.5.1
북핵 겨냥 정밀무기 배치 계획짜야

북핵	북핵/NNG
겨냥	겨냥/NNG
정밀무기	정밀/NNG+무기/NNG
배치	배치/NNG
계획짜야	계획/NNG+짜/VV+아야/EC


# id : NWRW1800000044.86.6.1
미국 전직 국방부 고위 관리들이 미국 정부가 한반도 비상사태에 대비해 중국 지도부와 긴밀히 소통해야 한다고 제언했다.

미국	미국/NNP
전직	전직/NNG
국방부	국방부/NNG
고위	고위/NNG
관리들이	관리/NNG+들/XSN+이/JKS
정부가	정부/NNG+가/JKS
한반도	한반도/NNP
비상사태에	비상사태/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
중국	중국/NNP
지도부와	지도부/NNG+와/JKB
긴밀히	긴밀히/MAG
소통해야	소통/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
제언했다.	제언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.86.7.1
윌리엄 페리 전 국방장관과 존 아비자이드 전 중부사령관이 공동의장을 맡은 미국 국방패널(NDP)은 31일(현지시각) 4개년 국방전략 검토보고서(QDR)에 대한 평가보고서를 통해 “한미 연합군에 가장 우려되는 개연성이 큰 비상사태는 한반도 전쟁 또는 북한 정권의 붕괴로 이어지는 내부 위기”라며 이렇게 밝혔다.

윌리엄	윌리엄/NNP
페리	페리/NNP
전	전/MMD
국방장관과	국방/NNG+장관/NNG+과/JC
존	존/NNP
아비자이드	아비자이드/NNP
중부사령관이	중부/NNG+사령관/NNG+이/JKS
공동의장을	공동/NNG+의장/NNG+을/JKO
맡은	맡/VV+은/ETM
미국	미국/NNP
국방패널(NDP)은	국방/NNG+패널/NNG+(/SS+NDP/SL+)/SS+은/JX
31일(현지시각)	31/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
4개년	4/SN+개년/NNB
국방전략	국방/NNG+전략/NNG
검토보고서(QDR)에	검토/NNG+보고서/NNG+(/SS+QDR/SL+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
평가보고서를	평가/NNG+보고서/NNG+를/JKO
통해	통하/VV+아/EC
“한미	“/SS+한미/NNP
연합군에	연합군/NNG+에/JKB
가장	가장/MAG
우려되는	우려/NNG+되/XSV+는/ETM
개연성이	개연/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
비상사태는	비상사태/NNG+는/JX
한반도	한반도/NNP
전쟁	전쟁/NNG
또는	또는/MAG
북한	북한/NNP
정권의	정권/NNG+의/JKG
붕괴로	붕괴/NNG+로/JKB
이어지는	이어지/VV+는/ETM
내부	내부/NNG
위기”라며	위기/NNG+”/SS+이/VCP+라며/EC
이렇게	이렇/VA+게/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.86.7.2
국방패널은 의회의 요청에 따라 초당파적인 국방 전문가 10명이 모여 국방정책을 평가하는 기구다.

국방패널은	국방/NNG+패널/NNG+은/JX
의회의	의회/NNG+의/JKG
요청에	요청/NNG+에/JKB
따라	따르/VV+아/EC
초당파적인	초/XPN+당파/NNG+적/XSN+이/VCP+ㄴ/ETM
국방	국방/NNG
전문가	전문가/NNG
10명이	10/SN+명/NNB+이/JKS
모여	모이/VV+어/EC
국방정책을	국방/NNG+정책/NNG+을/JKO
평가하는	평가/NNG+하/XSV+는/ETM
기구다.	기구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.86.8.1
패널은 “김정은 체제는 부분적으로는 한-미와의 벼랑끝 전술을 통해 권력을 계속 공고화하고 있다”며 “재래식 군사역량이 부족한 북한은 핵무기와 탄도미사일 개발에 집중하고 있다”고 지적했다.

패널은	패널/NNG+은/JX
“김정은	“/SS+김정은/NNP
체제는	체제/NNG+는/JX
부분적으로는	부분/NNG+적/XSN+으로/JKB+는/JX
한-미와의	한-미/NNP+와/JKB+의/JKG
벼랑끝	벼랑/NNG+끝/NNG
전술을	전술/NNG+을/JKO
통해	통하/VV+아/EC
권력을	권력/NNG+을/JKO
계속	계속/MAG
공고화하고	공고/NNG+화/XSN+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“재래식	“/SS+재래식/NNG
군사역량이	군사/NNG+역량/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
북한은	북한/NNP+은/JX
핵무기와	핵무기/NNG+와/JC
탄도미사일	탄도/NNG+미사일/NNG
개발에	개발/NNG+에/JKB
집중하고	집중/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.86.8.2
패널은 이어 “한반도가 심각한 불안정을 겪을 경우 미국은 한국군과의 합동작전을 수행하기 위해 상당한 육·해·공군의 파병을 필요로 할 것”이라고 덧붙였다.

패널은	패널/NNG+은/JX
이어	이어/MAG
“한반도가	“/SS+한반도/NNP+가/JKS
심각한	심각하/VA+ㄴ/ETM
불안정을	불/XPN+안정/NNG+을/JKO
겪을	겪/VV+을/ETM
경우	경우/NNG
미국은	미국/NNP+은/JX
한국군과의	한국군/NNG+과/JKB+의/JKG
